"India/State/ UT",Enrolment of age group 11-13 years,,,,,
"",Upper Primary (1to 8),,Secondary (9-10),,,
"",Boys,Girls,Total,Boys,Girls,Total
(1),(44),(45),(46),(47),(48),(49)
India,25977220,24557845,50535065,3604202,3351455,6955657
Andaman and Nicobar Islands,7100,6933,14033,991,934,1925
Andhra Pradesh,796662,731982,1528644,216461,233661,450122
Arunachal Pradesh,27965,29631,57596,4648,4429,9077
Assam,730199,777985,1508184,51818,55915,107733
Bihar,2953258,3060744,6014002,548314,558589,1106903
Chandigarh,28610,24378,52988,2963,2917,5880
Chhattisgarh,650385,644816,1295201,36218,40058,76276
Dadra and Nagar Haveli,9019,8126,17145,1595,1461,3056
Daman and Diu,4404,3905,8309,313,425,738
Delhi,460518,406319,866837,82739,58220,140959
Goa,30606,28927,59533,1724,1394,3118
Gujarat,1350661,1178436,2529097,164908,126384,291292
Haryana,571553,462347,1033900,133487,119799,253286
Himachal Pradesh,137215,123358,260573,34913,32597,67510
Jammu and Kashmir,207153,188949,396102,55530,47691,103221
Jharkhand,852105,852578,1704683,70508,65534,136042
Karnataka,1275179,1178666,2453845,238780,240428,479208
Kerala,632851,606821,1239672,80364,76667,157031
Ladakh,4075,4294,8369,664,716,1380
Lakshadweep,1145,1228,2373,161,155,316
Madhya Pradesh,1732838,1577773,3310611,200237,179369,379606
Maharashtra,2413737,2149422,4563159,163416,153595,317011
Manipur,61724,60475,122199,9371,9269,18640
Meghalaya,65646,73246,138892,2314,3015,5329
Mizoram,21644,21488,43132,998,1094,2092
Nagaland,36672,35955,72627,2125,2171,4296
Odisha,766324,723437,1489761,8348,9517,17865
Puducherry,24519,23392,47911,6515,6197,12712
Punjab,418268,387013,805281,5402,6445,11847
Rajasthan,1602001,1356026,2958027,242797,191727,434524
Sikkim,10885,11370,22255,689,947,1636
Tamil Nadu,1314873,1274262,2589135,2711,3022,5733
Telangana,644290,606981,1251271,120826,146293,267119
Tripura,91033,89690,180723,2206,2317,4523
Uttar Pradesh,4125963,3903866,8029829,905055,753922,1658977
Uttarakhand,233883,210962,444845,47375,41274,88649
West Bengal,1682257,1732064,3414321,156718,173307,330025
