"India/State/ UT",Projected population  by age group – All Social Categories,,,,,,,,
"",Age 6-13,Age 14-15,Age 16-17,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,100151200,91844600,191993800,26026200,23824400,49850600,26635800,24238800,50875200
Andaman and Nicobar Islands,30782,28427,59210,8485,7492,15976,8698,7560,16257
Andhra Pradesh,3157000,2985200,6142600,862000,815200,1677200,900200,846400,1747800
Arunachal Pradesh,128213,124796,253009,35159,34231,69390,32410,31845,64255
Assam,2698800,2586400,5286200,693200,664800,1358000,697400,663200,1360200
Bihar,11614200,10916200,22530200,2847200,2634200,5481800,2825200,2564200,5388800
Chandigarh,94756,74810,169566,25799,19322,45121,28478,20309,48787
Chhattisgarh,2197200,2118400,4315000,555200,538200,1093400,564400,547600,1112000
Dadra and Nagar Haveli,35476,30897,66373,8149,6630,14778,8273,6028,14301
Daman and Diu,17781,15063,32844,4808,3512,8320,6977,3612,10589
Delhi,1315800,1119400,2435600,357200,305000,662200,372600,320200,693800
Goa,104761,94654,199415,27842,24596,52438,27965,25041,53006
Gujarat,4913600,4273800,9186400,1270000,1104000,2374000,1301200,1124800,2426000
Haryana,2156200,1782600,3938400,564600,465600,1030200,581400,478600,1059400
Himachal Pradesh,469200,420200,889200,126200,112200,238400,129800,115200,245000
Jammu and Kashmir,1131800,988600,2120400,295400,260400,555800,289000,257800,546200
Jharkhand,3200800,3050400,6250600,813800,775800,1588400,817600,773600,1591200
Karnataka,4223000,3981800,8205200,1108600,1042200,2150800,1140200,1064800,2205400
Kerala,2058000,1975400,4035600,532000,509400,1041000,540800,516000,1056800
Ladakh,23305,20939,44244,6161,5820,11981,6297,5822,12119
Lakshadweep,5250,5266,10517,1408,1338,2746,1399,1474,2873
Madhya Pradesh,6636000,6178000,12812600,1670800,1543600,3214400,1701800,1561600,3263400
Maharashtra,8133400,7223600,15357600,2162400,1922600,4085000,2219000,1967000,4185000
Manipur,225407,211441,436848,62168,59434,121602,58377,57735,116111
Meghalaya,283023,273603,556626,71068,69067,140135,70942,68866,139808
Mizoram,86695,82963,169658,22599,21559,44158,23795,22972,46767
Nagaland,182201,168107,350308,50078,45754,95832,49497,47384,96882
Odisha,3132400,2972400,6104800,817400,785200,1603000,831800,803200,1634800
Puducherry,98688,91144,189832,26350,23690,50039,25714,23354,49068
Punjab,1915600,1601000,3516000,533000,433400,966400,559000,449600,1008800
Rajasthan,6518800,5838800,12356400,1643800,1487400,3131200,1669800,1507400,3176800
Sikkim,45789,44234,90023,13358,13029,26386,14297,13987,28284
Tamil Nadu,4432400,4159000,8592000,1167800,1101200,2269000,1201600,1128800,2330000
Telangana,2391600,2232200,4625200,652800,614800,1267000,680000,640200,1320600
Tripura,257673,244683,502357,70986,67143,138129,77065,70843,147908
Uttar Pradesh,19214600,17256200,36469600,5001600,4488600,9489800,5184800,4623600,9808400
Uttarakhand,830200,726000,1555800,225600,200000,426000,233000,208200,441800
West Bengal,6190800,5948000,12139600,1691200,1618000,3309200,1755000,1670000,3425000
