"India/State/ UT","TotalSchools","Schools forwhichaffiliationboard is NotApplicableup toelementary",Affiliation Board at Secondary Level,Affiliation Board at Higher Secondary Level,,,,,,,,,,
"",,,"Affiliationboard notapplicableforsecondaryandapplicablefor highersecondary","StateGovt.Board",CBSE,"BothCBSEandState",ICSE,Others,"Affiliationboard notapplicablefor highersecondary","StateGovt.Board",CBSE,"BothCBSEandState",ICSE,Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15)
India,1551000,1270374,15382,234796,21452,440,1814,6742,150604,109878,13893,2392,744,3115
Andaman and Nicobar Islands,414,298,0,0,115,1,0,0,50,0,66,0,0,0
Andhra Pradesh,63621,48926,1937,10979,205,63,41,1470,12513,2173,0,0,0,9
Arunachal Pradesh,3793,3330,2,10,428,4,11,8,302,3,153,0,2,3
Assam,66324,56527,889,8508,280,13,5,102,7568,2015,152,5,2,55
Bihar,89224,80627,359,7055,701,33,17,432,3666,3863,432,23,12,601
Chandigarh,229,61,0,2,160,0,4,2,72,0,93,0,2,1
Chhattisgarh,56274,49181,10,6671,395,0,17,0,2702,4045,336,0,10,0
Dadra and Nagar Haveli,346,299,1,35,11,0,0,0,23,16,8,0,0,0
Daman and Diu,140,92,2,37,7,0,0,2,24,20,3,0,0,1
Delhi,5703,3567,0,0,2126,0,2,8,367,0,1759,0,2,8
Goa,1486,968,98,396,17,0,4,3,404,101,12,0,1,0
Gujarat,54581,42347,802,10685,389,12,30,316,4846,7008,270,6,22,82
Haryana,23534,15385,3,6620,1490,4,19,13,3176,3738,1211,4,10,10
Himachal Pradesh,18212,14023,8,3792,257,3,24,105,1726,2201,186,3,15,58
Jammu and Kashmir,28654,24341,3,4112,127,4,0,67,3091,1106,101,0,0,15
Jharkhand,45908,40982,288,3833,508,19,100,178,3351,1189,266,5,50,65
Karnataka,78233,57356,3896,13899,2681,14,317,70,15388,3409,1973,23,29,55
Kerala,16701,11812,62,3217,1398,5,154,53,1927,2172,679,2,64,45
Ladakh,1054,901,1,126,13,0,1,12,109,37,5,0,0,2
Lakshadweep,45,30,0,6,4,5,0,0,2,11,2,0,0,0
Madhya Pradesh,154064,136597,8,16354,1018,1,30,56,8262,8281,841,0,24,59
Maharashtra,109942,82496,2574,23491,970,38,234,139,17404,9479,411,19,44,89
Manipur,4844,3684,70,1015,64,1,1,9,914,191,48,0,1,6
Meghalaya,14669,12901,197,1536,25,2,7,1,1418,328,19,0,2,1
Mizoram,3913,3044,180,679,10,0,0,0,683,181,5,0,0,0
Nagaland,2752,1990,15,658,30,1,1,57,577,154,18,0,1,12
Odisha,68717,56804,1952,8799,1115,0,1,46,9514,174,8,2206,1,10
Puducherry,739,363,6,338,25,1,2,4,197,161,14,0,2,2
Punjab,28637,18994,180,8036,1251,0,174,2,4484,4238,880,0,39,2
Rajasthan,105883,75229,2,29190,1141,79,15,227,10587,18923,926,37,13,168
Sikkim,1290,1036,0,0,233,0,9,12,146,0,94,1,5,8
Tamil Nadu,59152,45381,16,12461,908,11,82,293,5828,7262,490,4,37,150
Telangana,42355,28109,1758,12250,201,0,32,5,11847,2317,58,0,5,19
Tripura,4945,3823,0,1020,54,1,4,43,669,393,35,0,2,23
Uttar Pradesh,273235,241990,25,26300,2337,109,206,2268,12083,16085,1753,45,165,1114
Uttarakhand,23559,19768,20,3073,519,16,95,68,1341,1893,427,9,75,46
West Bengal,97828,87112,18,9613,239,0,175,671,3343,6711,159,0,107,396
