"India/State /UT",Number of teachers by Gender and Classes Taught – Others,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,8652,6808,15460,78318,60954,139272,2777,1786,4563
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0
Andhra Pradesh,0,1,1,202,329,531,5,2,7
Arunachal Pradesh,24,29,53,31,31,62,0,0,0
Assam,53,62,115,2946,1253,4199,188,97,285
Bihar,3868,1945,5813,37074,23591,60665,826,470,1296
Chandigarh,0,13,13,20,144,164,3,20,23
Chhattisgarh,36,40,76,107,188,295,0,0,0
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0
Daman and Diu,2,0,2,2,0,2,0,0,0
Delhi,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0
Gujarat,0,1,1,3,9,12,0,2,2
Haryana,24,51,75,765,1640,2405,17,54,71
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,14,0,14,4,7,11,0,0,0
Jharkhand,2345,2224,4569,13353,13002,26355,391,252,643
Karnataka,0,0,0,18,5,23,0,0,0
Kerala,21,172,193,288,3284,3572,15,114,129
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,13,7,20,1742,2610,4352,0,0,0
Maharashtra,48,80,128,369,878,1247,38,55,93
Manipur,134,171,305,227,156,383,2,0,2
Meghalaya,20,96,116,72,187,259,24,53,77
Mizoram,27,30,57,35,18,53,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,197,331,528,1295,2264,3559,43,36,79
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,0,0,0,122,962,1084,0,0,0
Rajasthan,78,45,123,655,381,1036,108,46,154
Sikkim,0,0,0,0,0,0,0,0,0
Tamil Nadu,18,96,114,117,609,726,39,98,137
Telangana,33,54,87,20,24,44,1,0,1
Tripura,13,8,21,59,4,63,0,0,0
Uttar Pradesh,1656,1302,2958,11353,6250,17603,700,409,1109
Uttarakhand,10,30,40,283,267,550,1,1,2
West Bengal,18,20,38,7156,2861,10017,376,77,453
