"India/State/ UT",Enrolment – All Types of Management,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,6492773,5462859,11955632,62509126,57721044,120230170,33159087,31107939,64267026,95668213,88828983,184497196
Andaman and Nicobar Islands,4413,4092,8505,15248,14587,29835,9300,8957,18257,24548,23544,48092
Andhra Pradesh,0,0,0,1909109,1703014,3612123,1083809,1010513,2094322,2992918,2713527,5706445
Arunachal Pradesh,9248,8192,17440,86215,83219,169434,42616,45106,87722,128831,128325,257156
Assam,273452,250111,523563,1853314,1816419,3669733,895777,956005,1851782,2749091,2772424,5521515
Bihar,368392,228833,597225,6653044,6442653,13095697,3259255,3377716,6636971,9912299,9820369,19732668
Chandigarh,14125,12395,26520,50102,44099,94201,35665,29790,65455,85767,73889,159656
Chhattisgarh,145997,128176,274173,1350470,1285811,2636281,768077,749245,1517322,2118547,2035056,4153603
Dadra and Nagar Haveli,1869,1411,3280,21900,19588,41488,10511,9251,19762,32411,28839,61250
Daman and Diu,1306,1153,2459,10197,8882,19079,5554,4844,10398,15751,13726,29477
Delhi,143385,129143,272528,960317,843183,1803500,598198,525240,1123438,1558515,1368423,2926938
Goa,15014,14365,29379,64005,59877,123882,37453,34504,71957,101458,94381,195839
Gujarat,154507,119753,274260,2869419,2549065,5418484,1745148,1511660,3256808,4614567,4060725,8675292
Haryana,187558,142750,330308,1398262,1148267,2546529,800210,656307,1456517,2198472,1804574,4003046
Himachal Pradesh,55553,46063,101616,303536,277143,580679,179424,161514,340938,482960,438657,921617
Jammu and Kashmir,176338,155428,331766,566321,517635,1083956,298216,270460,568676,864537,788095,1652632
Jharkhand,311115,243514,554629,2082267,1946604,4028871,992493,1001063,1993556,3074760,2947667,6022427
Karnataka,326896,269651,596547,2862959,2639544,5502503,1590525,1481692,3072217,4453484,4121236,8574720
Kerala,281291,263774,545065,1258948,1205351,2464299,757739,725904,1483643,2016687,1931255,3947942
Ladakh,5568,5149,10717,11355,11162,22517,5716,5909,11625,17071,17071,34142
Lakshadweep,585,543,1128,2470,2364,4834,1206,1308,2514,3676,3672,7348
Madhya Pradesh,316983,256770,573753,3942871,3621229,7564100,2223832,2007490,4231322,6166703,5628719,11795422
Maharashtra,469420,406240,875660,5268893,4652459,9921352,3095100,2731600,5826700,8363993,7384059,15748052
Manipur,35299,33149,68448,171156,163186,334342,78849,76724,155573,250005,239910,489915
Meghalaya,114325,109045,223370,261738,258411,520149,109540,122128,231668,371278,380539,751817
Mizoram,19280,18354,37634,70525,66627,137152,34018,32438,66456,104543,99065,203608
Nagaland,45545,41850,87395,96158,91183,187341,50339,49776,100115,146497,140959,287456
Odisha,85983,70516,156499,1864042,1741497,3605539,1106087,1020956,2127043,2970129,2762453,5732582
Puducherry,16684,15367,32051,52345,49494,101839,31400,30019,61419,83745,79513,163258
Punjab,410213,345180,755393,1250693,1056325,2307018,748335,621609,1369944,1999028,1677934,3676962
Rajasthan,594716,457749,1052465,4278269,3805179,8083448,2187909,1845666,4033575,6466178,5650845,12117023
Sikkim,9945,9472,19417,26268,23326,49594,17431,17409,34840,43699,40735,84434
Tamil Nadu,661392,575942,1237334,2748544,2556001,5304545,1616260,1521003,3137263,4364804,4077004,8441808
Telangana,78359,66157,144516,1587999,1464116,3052115,865036,819005,1684041,2453035,2283121,4736156
Tripura,16729,13888,30617,168537,162844,331381,99608,98075,197683,268145,260919,529064
Uttar Pradesh,204057,155087,359144,11788991,10997867,22786858,5449361,5165012,10614373,17238352,16162879,33401231
Uttarakhand,71099,56430,127529,564850,496740,1061590,311273,281285,592558,876123,778025,1654148
West Bengal,866132,807167,1673299,4037789,3896093,7933882,2017817,2100756,4118573,6055606,5996849,12052455
