"India/State /UT",Number of Schools – Government Aided,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,84623,18556,12290,10339,7281,8736,8098,5816,6817,4151,2539
Andaman and Nicobar Islands,2,0,0,0,0,0,0,2,0,0,0
Andhra Pradesh,2346,1464,278,0,6,454,0,0,1,0,143
Arunachal Pradesh,64,11,20,0,24,0,0,9,0,0,0
Assam,5065,0,3,3919,6,108,768,5,27,5,224
Bihar,698,41,345,26,66,94,60,4,26,36,0
Chandigarh,7,0,0,0,0,0,0,6,1,0,0
Chhattisgarh,434,214,44,68,6,1,1,23,43,34,0
Dadra and Nagar Haveli,10,6,0,0,4,0,0,0,0,0,0
Daman and Diu,4,0,0,0,1,0,0,2,1,0,0
Delhi,253,47,11,11,11,14,0,93,65,1,0
Goa,514,105,6,7,165,142,2,0,0,0,87
Gujarat,5734,70,177,278,3,13,1951,36,82,3073,51
Haryana,26,3,0,0,3,2,0,13,5,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,1,0,1,0,0,0,0,0,0,0,0
Jharkhand,1177,499,482,15,14,115,10,17,9,3,13
Karnataka,7417,235,2673,57,74,42,3433,15,9,272,607
Kerala,7195,3373,1809,571,97,290,105,112,568,265,5
Ladakh,28,25,3,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,874,391,150,53,7,5,23,76,83,85,1
Maharashtra,23554,3170,4133,1,6488,3785,28,4455,787,19,688
Manipur,587,400,69,26,33,38,16,1,0,0,4
Meghalaya,4181,2505,17,928,5,134,470,6,18,38,60
Mizoram,231,0,0,74,0,0,138,0,0,0,19
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,5770,274,35,1563,40,2212,1037,0,3,0,606
Puducherry,33,3,0,0,19,0,0,11,0,0,0
Punjab,458,54,34,3,50,27,1,188,101,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0,0
Sikkim,19,6,2,0,1,2,0,4,4,0,0
Tamil Nadu,8355,5031,1485,29,31,564,4,83,1121,7,0
Telangana,707,290,124,0,47,217,0,0,0,0,29
Tripura,46,10,2,0,4,0,1,21,8,0,0
Uttar Pradesh,8090,247,372,2511,70,416,41,586,3564,282,1
Uttarakhand,616,11,12,194,3,52,9,39,264,31,1
West Bengal,127,71,3,5,3,9,0,9,27,0,0
