"India/State/ UT",Enrolment of age group >17 years,,,,,
"",Secondary (9-10),Higher Secondary (11-12),,,,
"",Boys,Girls,Total,Boys,Girls,Total
(1),(89),(90),(91),(92),(93),(94)
India,344791,279749,624540,2865849,2498062,5363911
Andaman and Nicobar Islands,93,99,192,1035,903,1938
Andhra Pradesh,2052,1047,3099,29835,18127,47962
Arunachal Pradesh,926,808,1734,3256,3257,6513
Assam,6926,6639,13565,47651,44492,92143
Bihar,11361,11577,22938,87286,80605,167891
Chandigarh,273,249,522,4370,3149,7519
Chhattisgarh,6764,6172,12936,81343,75587,156930
Dadra and Nagar Haveli,110,59,169,735,524,1259
Daman and Diu,42,30,72,317,245,562
Delhi,4220,6432,10652,38181,46198,84379
Goa,587,344,931,6141,5595,11736
Gujarat,10043,6073,16116,87938,68155,156093
Haryana,10217,7111,17328,51218,34882,86100
Himachal Pradesh,715,459,1174,13183,11335,24518
Jammu and Kashmir,1235,883,2118,28717,24405,53122
Jharkhand,8483,10086,18569,56822,61419,118241
Karnataka,4347,2876,7223,0,0,0
Kerala,1407,1026,2433,46814,49929,96743
Ladakh,51,40,91,454,678,1132
Lakshadweep,5,0,5,242,83,325
Madhya Pradesh,37994,29889,67883,197574,161107,358681
Maharashtra,40869,21404,62273,506727,365603,872330
Manipur,189,133,322,4496,3606,8102
Meghalaya,4386,4671,9057,10993,13517,24510
Mizoram,1612,1180,2792,4390,4079,8469
Nagaland,1350,1279,2629,5448,5069,10517
Odisha,20734,18378,39112,275292,295587,570879
Puducherry,11,7,18,923,483,1406
Punjab,43418,21365,64783,241263,160765,402028
Rajasthan,41702,34595,76297,244288,186688,430976
Sikkim,1463,1526,2989,3944,4633,8577
Tamil Nadu,5064,2817,7881,192664,185847,378511
Telangana,3980,2477,6457,82160,79548,161708
Tripura,567,606,1173,5451,4814,10265
Uttar Pradesh,55081,48373,103454,362678,328526,691204
Uttarakhand,2440,2658,5098,23819,25390,49209
West Bengal,14074,26381,40455,118201,143232,261433
