"India/State /UT",Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,471194,348653,819847,4298,1793,6091,1250,1003,2253,54348,102357,156705
Andaman and Nicobar Islands,16,57,73,0,1,1,0,0,0,2,15,17
Andhra Pradesh,4816,3999,8815,0,0,0,875,390,1265,1678,1609,3287
Arunachal Pradesh,529,395,924,0,0,0,2,3,5,104,171,275
Assam,27364,9767,37131,0,0,0,1,3,4,21,32,53
Bihar,2720,957,3677,0,0,0,1,0,1,114,79,193
Chandigarh,51,238,289,0,7,7,0,2,2,1,42,43
Chhattisgarh,1355,1319,2674,0,0,0,0,0,0,467,557,1024
Dadra and Nagar Haveli,43,39,82,0,0,0,0,0,0,11,22,33
Daman and Diu,48,94,142,0,0,0,1,6,7,1,12,13
Delhi,1319,3699,5018,0,19,19,0,0,0,92,889,981
Goa,1910,6641,8551,0,68,68,1,3,4,88,1408,1496
Gujarat,34473,15314,49787,0,0,0,4,4,8,427,924,1351
Haryana,140,428,568,0,2,2,0,1,1,9,154,163
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,9,8,17,0,0,0,0,0,0,1,5,6
Jharkhand,2664,2832,5496,0,0,0,0,0,0,655,910,1565
Karnataka,37489,17555,55044,3659,1244,4903,58,11,69,4034,3494,7528
Kerala,30233,81762,111995,5,154,159,0,5,5,7141,27597,34738
Ladakh,61,6,67,0,0,0,0,0,0,54,6,60
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2520,2385,4905,0,1,1,0,0,0,622,503,1125
Maharashtra,196153,102707,298860,49,47,96,105,100,205,27631,29387,57018
Manipur,1565,1104,2669,0,1,1,0,1,1,810,552,1362
Meghalaya,8471,9411,17882,13,90,103,163,460,623,2289,3575,5864
Mizoram,1177,649,1826,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,25793,6080,31873,558,127,685,14,0,14,494,253,747
Puducherry,155,800,955,0,3,3,0,0,0,24,277,301
Punjab,1498,4171,5669,0,0,0,0,0,0,159,1257,1416
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,95,116,211,0,0,0,0,1,1,25,40,65
Tamil Nadu,21487,54543,76030,4,23,27,0,0,0,4471,25239,29710
Telangana,1004,2230,3234,0,0,0,0,0,0,356,1003,1359
Tripura,797,417,1214,0,0,0,0,0,0,134,64,198
Uttar Pradesh,61482,16247,77729,9,5,14,25,11,36,2168,1818,3986
Uttarakhand,2994,1919,4913,1,1,2,0,2,2,41,166,207
West Bengal,763,764,1527,0,0,0,0,0,0,224,297,521
