"India/State /UT",Number of Teachers in Government Aided Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,819847,82153,109482,53544,93941,61988,54565,147462,128408,57895,30409
Andaman and Nicobar Islands,73,0,0,0,0,0,0,73,0,0,0
Andhra Pradesh,8815,3287,1270,0,51,2910,0,0,32,0,1265
Arunachal Pradesh,924,80,180,0,355,0,0,309,0,0,0
Assam,37131,0,21,25506,107,1554,6593,169,475,20,2686
Bihar,3677,93,1614,87,448,481,297,29,256,372,0
Chandigarh,289,0,0,0,0,0,0,226,63,0,0
Chhattisgarh,2674,741,347,284,84,4,3,448,491,272,0
Dadra and Nagar Haveli,82,19,0,0,63,0,0,0,0,0,0
Daman and Diu,142,0,0,0,25,0,0,75,42,0,0
Delhi,5018,258,136,52,133,217,0,2806,1413,3,0
Goa,8551,529,43,32,3836,2296,7,0,0,0,1808
Gujarat,49787,433,1444,1210,25,89,6920,732,1398,37228,308
Haryana,568,20,0,0,43,12,0,413,80,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,17,0,17,0,0,0,0,0,0,0,0
Jharkhand,5496,892,2695,38,142,1153,87,104,152,32,201
Karnataka,55044,808,17392,131,1002,536,27339,252,111,3286,4187
Kerala,111995,20339,26029,5605,2434,6681,1461,6329,30303,12756,58
Ladakh,67,55,12,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4905,893,877,177,62,47,123,1026,1015,677,8
Maharashtra,298860,20864,40147,4,81889,19316,115,114813,8412,184,13116
Manipur,2669,1080,439,118,453,342,61,49,0,0,127
Meghalaya,17882,6508,98,4376,87,1799,3136,156,441,605,676
Mizoram,1826,0,0,512,0,0,977,0,0,0,337
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,31873,653,165,2806,308,15236,7169,0,22,0,5514
Puducherry,955,28,0,0,377,0,0,550,0,0,0
Punjab,5669,195,204,9,388,138,2,3438,1295,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0,0
Sikkim,211,16,12,0,15,14,0,123,31,0,0
Tamil Nadu,76030,21513,12847,120,407,5069,13,3106,32839,116,0
Telangana,3234,1066,395,0,363,1315,0,0,0,0,95
Tripura,1214,32,12,0,63,0,2,838,267,0,0
Uttar Pradesh,77729,1219,2970,11760,701,2424,224,10497,45786,2130,18
Uttarakhand,4913,58,72,702,36,299,36,633,2858,214,5
West Bengal,1527,474,44,15,44,56,0,268,626,0,0
