"India/State/ UT",Enrolment of age group - All ages,,,,,,,,
"",Pre-Primary to Higher Secondary,Pre-Primary,Primary (1 to 5),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,135350365,124943851,260294216,6492773,5462859,11955632,62509126,57721044,120230170
Andaman and Nicobar Islands,39305,38195,77500,4413,4092,8505,15248,14587,29835
Andhra Pradesh,4090935,3770964,7861899,0,0,0,1909109,1703014,3612123
Arunachal Pradesh,173989,172889,346878,9248,8192,17440,86215,83219,169434
Assam,3703357,3750645,7454002,273452,250111,523563,1853314,1816419,3669733
Bihar,12587272,12326062,24913334,368392,228833,597225,6653044,6442653,13095697
Chandigarh,145225,123665,268890,14125,12395,26520,50102,44099,94201
Chhattisgarh,2991766,2961588,5953354,145997,128176,274173,1350470,1285811,2636281
Dadra and Nagar Haveli,45277,40298,85575,1869,1411,3280,21900,19588,41488
Daman and Diu,22155,19754,41909,1306,1153,2459,10197,8882,19079
Delhi,2335948,2080823,4416771,143385,129143,272528,960317,843183,1803500
Goa,160605,150919,311524,15014,14365,29379,64005,59877,123882
Gujarat,6354525,5401087,11755612,154507,119753,274260,2869419,2549065,5418484
Haryana,3252060,2642425,5894485,187558,142750,330308,1398262,1148267,2546529
Himachal Pradesh,774950,700801,1475751,55553,46063,101616,303536,277143,580679
Jammu and Kashmir,1335778,1202735,2538513,176338,155428,331766,566321,517635,1083956
Jharkhand,4180695,3982728,8163423,311115,243514,554629,2082267,1946604,4028871
Karnataka,6177799,5772723,11950522,326896,269651,596547,2862959,2639544,5502503
Kerala,3232568,3129043,6361611,281291,263774,545065,1258948,1205351,2464299
Ladakh,28156,28514,56670,5568,5149,10717,11355,11162,22517
Lakshadweep,6427,6376,12803,585,543,1128,2470,2364,4834
Madhya Pradesh,8580700,7704078,16284778,316983,256770,573753,3942871,3621229,7564100
Maharashtra,12398763,10832930,23231693,469420,406240,875660,5268893,4652459,9921352
Manipur,360830,346109,706939,35299,33149,68448,171156,163186,334342
Meghalaya,563584,581247,1144831,114325,109045,223370,261738,258411,520149
Mizoram,156340,150478,306818,19280,18354,37634,70525,66627,137152
Nagaland,235681,228015,463696,45545,41850,87395,96158,91183,187341
Odisha,4235833,4022997,8258830,85983,70516,156499,1864042,1741497,3605539
Puducherry,137747,133346,271093,16684,15367,32051,52345,49494,101839
Punjab,3282931,2737152,6020083,410213,345180,755393,1250693,1056325,2307018
Rajasthan,9502688,8017339,17520027,594716,457749,1052465,4278269,3805179,8083448
Sikkim,73370,73099,146469,9945,9472,19417,26268,23326,49594
Tamil Nadu,6857526,6559165,13416691,661392,575942,1237334,2748544,2556001,5304545
Telangana,3435507,3265710,6701217,78359,66157,144516,1587999,1464116,3052115
Tripura,375804,365572,741376,16729,13888,30617,168537,162844,331381
Uttar Pradesh,23247214,21242344,44489558,204057,155087,359144,11788991,10997867,22786858
Uttarakhand,1294165,1158976,2453141,71099,56430,127529,564850,496740,1061590
West Bengal,8972890,9223060,18195950,866132,807167,1673299,4037789,3896093,7933882
