"India/State/ UT",Enrolment – Government Aided,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,226170,222807,448977,2894720,2835879,5730599,4080205,3846627,7926832,6974925,6682506,13657431
Andaman and Nicobar Islands,24,36,60,284,246,530,235,219,454,519,465,984
Andhra Pradesh,0,0,0,49308,51326,100634,30134,34585,64719,79442,85911,165353
Arunachal Pradesh,255,249,504,4890,4522,9412,2963,2463,5426,7853,6985,14838
Assam,249,265,514,1061,1382,2443,139986,160628,300614,141047,162010,303057
Bihar,702,418,1120,25668,27299,52967,27515,31257,58772,53183,58556,111739
Chandigarh,157,232,389,907,1009,1916,880,746,1626,1787,1755,3542
Chhattisgarh,442,500,942,16111,15206,31317,12314,11279,23593,28425,26485,54910
Dadra and Nagar Haveli,0,0,0,746,616,1362,383,243,626,1129,859,1988
Daman and Diu,0,0,0,515,401,916,963,710,1673,1478,1111,2589
Delhi,471,522,993,20267,24104,44371,27776,23565,51341,48043,47669,95712
Goa,9694,9674,19368,36433,35141,71574,31114,28676,59790,67547,63817,131364
Gujarat,1417,1355,2772,33241,29660,62901,60411,46047,106458,93652,75707,169359
Haryana,413,241,654,2671,1867,4538,2467,1752,4219,5138,3619,8757
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,23,36,59,44,42,86,30,22,52,74,64,138
Jharkhand,7212,7488,14700,78984,85693,164677,44787,51090,95877,123771,136783,260554
Karnataka,4807,4401,9208,210971,199561,410532,225522,201403,426925,436493,400964,837457
Kerala,74982,73488,148470,457826,459939,917765,360252,354086,714338,818078,814025,1632103
Ladakh,0,0,0,361,42,403,69,0,69,430,42,472
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1054,934,1988,23650,23150,46800,15288,14507,29795,38938,37657,76595
Maharashtra,86743,85762,172505,1313929,1190467,2504396,1732891,1554054,3286945,3046820,2744521,5791341
Manipur,427,404,831,8425,8467,16892,2965,3195,6160,11390,11662,23052
Meghalaya,29779,28253,58032,68418,67969,136387,45480,51673,97153,113898,119642,233540
Mizoram,0,0,0,884,881,1765,2581,2730,5311,3465,3611,7076
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,324,283,607,13184,12764,25948,80685,71917,152602,93869,84681,178550
Puducherry,1047,1441,2488,3964,7136,11100,3053,5206,8259,7017,12342,19359
Punjab,1084,1290,2374,29479,27885,57364,31318,26446,57764,60797,54331,115128
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,53,100,153,402,562,964,384,711,1095,786,1273,2059
Tamil Nadu,1380,1463,2843,330095,352369,682464,341123,358767,699890,671218,711136,1382354
Telangana,825,1146,1971,20973,30045,51018,10584,17907,28491,31557,47952,79509
Tripura,26,31,57,3999,3323,7322,4449,3297,7746,8448,6620,15068
Uttar Pradesh,513,457,970,125953,158707,284660,807141,754479,1561620,933094,913186,1846280
Uttarakhand,411,350,761,3061,5553,8614,27154,26723,53877,30215,32276,62491
West Bengal,1656,1988,3644,8016,8545,16561,7308,6244,13552,15324,14789,30113
