"India/State/ UT",Enrolment – Private Unaided Recognized,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,4471639,3600074,8071713,23398805,18184573,41583378,11192642,8376870,19569512,34591447,26561443,61152890
Andaman and Nicobar Islands,2730,2359,5089,5480,4948,10428,2174,2049,4223,7654,6997,14651
Andhra Pradesh,0,0,0,999373,761266,1760639,470070,345587,815657,1469443,1106853,2576296
Arunachal Pradesh,7760,6681,14441,31368,25405,56773,10442,7810,18252,41810,33215,75025
Assam,127483,103109,230592,402339,319186,721525,166620,134355,300975,568959,453541,1022500
Bihar,159906,97182,257088,616228,393272,1009500,272647,177234,449881,888875,570506,1459381
Chandigarh,7993,6747,14740,18574,15186,33760,11308,8523,19831,29882,23709,53591
Chhattisgarh,129680,111786,241466,429337,359882,789219,203349,160317,363666,632686,520199,1152885
Dadra and Nagar Haveli,1829,1379,3208,7189,4932,12121,3094,2132,5226,10283,7064,17347
Daman and Diu,1223,1038,2261,4779,3574,8353,1704,1180,2884,6483,4754,11237
Delhi,102213,80142,182355,524385,375719,900104,251458,159697,411155,775843,535416,1311259
Goa,4957,4335,9292,14711,12400,27111,2093,1833,3926,16804,14233,31037
Gujarat,147478,112183,259661,1217039,905137,2122176,689469,482552,1172021,1906508,1387689,3294197
Haryana,161717,120905,282622,890224,624483,1514707,502290,334816,837106,1392514,959299,2351813
Himachal Pradesh,52644,43194,95838,152302,122165,274467,74364,56243,130607,226666,178408,405074
Jammu and Kashmir,138325,115517,253842,296546,232885,529431,145634,112421,258055,442180,345306,787486
Jharkhand,38804,28499,67303,183190,132345,315535,146275,109675,255950,329465,242020,571485
Karnataka,321451,264561,586012,1472227,1151333,2623560,635059,501402,1136461,2107286,1652735,3760021
Kerala,113601,102850,216451,444282,405005,849287,189895,175356,365251,634177,580361,1214538
Ladakh,3455,3051,6506,6986,6073,13059,3377,2783,6160,10363,8856,19219
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,312124,251981,564105,1812906,1397157,3210063,912780,644132,1556912,2725686,2041289,4766975
Maharashtra,313167,253059,566226,1809412,1351680,3161092,770768,552174,1322942,2580180,1903854,4484034
Manipur,27504,25496,53000,96706,88811,185517,55564,51540,107104,152270,140351,292621
Meghalaya,28367,27815,56182,57085,56941,114026,13596,14625,28221,70681,71566,142247
Mizoram,13985,13460,27445,35861,34491,70352,14047,13711,27758,49908,48202,98110
Nagaland,24904,21497,46401,60276,53249,113525,32818,29106,61924,93094,82355,175449
Odisha,43549,31957,75506,368819,272728,641547,151462,103493,254955,520281,376221,896502
Puducherry,12263,10348,22611,35705,29302,65007,18540,14316,32856,54245,43618,97863
Punjab,290421,226494,516915,742002,567616,1309618,389164,284553,673717,1131166,852169,1983335
Rajasthan,588322,451286,1039608,2259266,1624942,3884208,1155210,734043,1889253,3414476,2358985,5773461
Sikkim,7090,6558,13648,12196,10648,22844,3952,3164,7116,16148,13812,29960
Tamil Nadu,637799,555214,1193013,1540381,1313560,2853941,642035,497879,1139914,2182416,1811439,3993855
Telangana,76716,64235,140951,1001727,823336,1825063,437730,348199,785929,1439457,1171535,2610992
Tripura,13899,11607,25506,32538,25931,58469,13361,10528,23889,45899,36459,82358
Uttar Pradesh,183509,136540,320049,4859635,3900465,8760100,2497489,2060932,4558421,7357124,5961397,13318521
Uttarakhand,67923,53653,121576,346086,268048,614134,163707,118035,281742,509793,386083,895876
West Bengal,306848,253356,560204,611645,510472,1122117,139097,120475,259572,750742,630947,1381689
