"India/State/ UT",Total Schools,"Number of schools having ramps with handrails forCWSN",% of Schools having ramps with handrails for CWSN,,,,,,,,,,,,
"","Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1551000,1083747,84623,326228,56402,640944,525019,30782,77464,7679,41.32,48.44,36.38,23.75,13.61
Andaman and Nicobar Islands,414,339,2,72,1,93,84,0,9,0,22.46,24.78,0,12.5,0
Andhra Pradesh,63621,45013,2346,15862,400,13638,11943,124,1549,22,21.44,26.53,5.29,9.77,5.5
Arunachal Pradesh,3793,3179,64,503,47,476,443,7,25,1,12.55,13.94,10.94,4.97,2.13
Assam,66324,47223,5065,6084,7952,31653,31175,114,293,71,47.72,66.02,2.25,4.82,0.89
Bihar,89224,72630,698,6249,9647,31120,28342,145,1189,1444,34.88,39.02,20.77,19.03,14.97
Chandigarh,229,121,7,74,27,113,68,2,40,3,49.34,56.2,28.57,54.05,11.11
Chhattisgarh,56274,48671,434,6842,327,21350,20878,43,426,3,37.94,42.9,9.91,6.23,0.92
Dadra and Nagar Haveli,346,300,10,35,1,270,266,1,3,0,78.03,88.67,10,8.57,0
Daman and Diu,140,112,4,23,1,88,80,1,7,0,62.86,71.43,25,30.43,0
Delhi,5703,2784,253,2666,0,3308,1935,79,1294,0,58,69.5,31.23,48.54,0
Goa,1486,833,514,139,0,749,683,54,12,0,50.4,81.99,10.51,8.63,0
Gujarat,54581,35202,5734,13641,4,29745,24218,1877,3649,1,54.5,68.8,32.73,26.75,25
Haryana,23534,14516,26,7913,1079,9186,6327,14,2677,168,39.03,43.59,53.85,33.83,15.57
Himachal Pradesh,18212,15433,0,2778,1,9818,9545,0,273,0,53.91,61.85,0,9.83,0
Jammu and Kashmir,28654,23167,1,5439,47,3369,3057,0,312,0,11.76,13.2,0,5.74,0
Jharkhand,45908,35954,1177,1400,7377,15319,14334,79,216,690,33.37,39.87,6.71,15.43,9.35
Karnataka,78233,50184,7417,20604,28,29701,24602,1417,3681,1,37.96,49.02,19.1,17.87,3.57
Kerala,16701,5011,7195,3156,1339,8195,3431,4190,421,153,49.07,68.47,58.23,13.34,11.43
Ladakh,1054,913,28,113,0,74,66,0,8,0,7.02,7.23,0,7.08,0
Lakshadweep,45,45,0,0,0,10,10,0,0,0,22.22,22.22,0,0,0
Madhya Pradesh,154064,122056,874,29182,1952,45207,35451,289,9162,305,29.34,29.04,33.07,31.4,15.63
Maharashtra,109942,66033,23554,19400,955,80148,54019,15349,10453,327,72.9,81.81,65.17,53.88,34.24
Manipur,4844,3073,587,1003,181,1784,1595,104,76,9,36.83,51.9,17.72,7.58,4.97
Meghalaya,14669,7802,4181,2220,466,2140,1838,213,75,14,14.59,23.56,5.09,3.38,3
Mizoram,3913,2564,231,1025,93,690,656,9,24,1,17.63,25.59,3.9,2.34,1.08
Nagaland,2752,2007,0,745,0,379,335,0,44,0,13.77,16.69,0,5.91,0
Odisha,68717,55483,5770,4957,2507,44766,39414,1951,2295,1106,65.15,71.04,33.81,46.3,44.12
Puducherry,739,423,33,283,0,388,344,3,41,0,52.5,81.32,9.09,14.49,0
Punjab,28637,19404,458,8495,280,14669,12239,68,2270,92,51.22,63.07,14.85,26.72,32.86
Rajasthan,105883,67607,0,35776,2500,35139,28030,0,7022,87,33.19,41.46,0,19.63,3.48
Sikkim,1290,854,19,417,0,134,120,0,14,0,10.39,14.05,0,3.36,0
Tamil Nadu,59152,37728,8355,12439,630,25133,21432,1716,1910,75,42.49,56.81,20.54,15.35,11.9
Telangana,42355,29822,707,11621,205,7872,6496,38,1302,36,18.59,21.78,5.37,11.2,17.56
Tripura,4945,4309,46,343,247,939,900,8,21,10,18.99,20.89,17.39,6.12,4.05
Uttar Pradesh,273235,163142,8090,87433,14570,124576,93653,2784,25529,2610,45.59,57.41,34.41,29.2,17.91
Uttarakhand,23559,16934,616,5519,490,7769,7110,57,564,38,32.98,41.99,9.25,10.22,7.76
West Bengal,97828,82876,127,11777,3048,40936,39900,46,578,412,41.84,48.14,36.22,4.91,13.52
