"India/State/ UT",Projected population by age group – Scheduled Tribes (ST),,,,,,,,
"",Age 6-13,Age 14-15,Age 16-17,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,9578560,9080955,18659515,2323509,2215345,4538855,2232968,2152853,4385821
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-
Andhra Pradesh,200856,186161,387017,48163,45869,94032,46343,43573,89916
Arunachal Pradesh,-,-,-,-,-,-,-,-,-
Assam,321779,305213,626992,91567,92371,183938,91235,95080,186315
Bihar,149990,143293,293282,36664,36035,72700,35729,35065,70793
Chandigarh,0,0,0,0,0,0,0,0,0
Chhattisgarh,725310,701798,1427107,168460,164169,332629,162263,161827,324091
"Dadra and Nagar Haveli andDaman and Diu",25240,23080,48319,6072,5296,11369,5514,4975,10490
Delhi,-,-,-,-,-,-,-,-,-
Goa,12100,11060,23160,3305,2874,6179,3129,3087,6216
Gujarat,815370,764277,1579647,191037,179695,370732,181848,166933,348782
Haryana,-,-,-,-,-,-,-,-,-
Himachal Pradesh,26841,24842,51684,7240,6886,14125,7337,7125,14462
Jammu and Kashmir,128878,117475,246353,35929,29445,65374,30491,24912,55403
Jharkhand,831234,796973,1628207,213373,215430,428803,203872,213231,417103
Karnataka,321983,306575,628558,83902,79447,163350,84942,77054,161996
Kerala,34419,32557,66975,7810,7743,15553,7165,6800,13964
Ladakh,23009,20591,43600,6078,5796,11874,6198,5864,12062
Lakshadweep,-,-,-,-,-,-,-,-,-
Madhya Pradesh,1635024,1593766,3228790,351996,341030,693025,332117,326737,658854
Maharashtra,929004,854925,1783930,229646,207726,437373,221374,201337,422711
Manipur,101057,91199,192256,32547,30284,62831,32288,31301,63589
Meghalaya,224341,215767,440108,61528,60771,122299,61009,60048,121058
Mizoram,74420,70614,145034,21228,20470,41698,22248,21668,43916
Nagaland,-,-,-,-,-,-,-,-,-
Odisha,835690,819507,1655197,188686,181834,370520,176513,172637,349151
Puducherry,-,-,-,-,-,-,-,-,-
Punjab,-,-,-,-,-,-,-,-,-
Rajasthan,970420,884675,1855095,217470,202440,419910,209320,200614,409934
Sikkim,14627,14098,28725,4663,4553,9216,4919,4948,9866
Tamil Nadu,61744,56583,118327,14269,12740,27009,13103,11730,24833
Telangana,271043,244020,515063,69934,63643,133577,65925,58066,123991
Tripura,89307,83803,173110,26296,24617,50913,26290,23971,50262
Uttar Pradesh,118010,110272,228283,25287,23136,48423,24580,22370,46950
Uttarakhand,22228,19835,42063,6766,6227,12993,6849,6559,13408
West Bengal,377406,365021,742427,102146,96445,198591,102203,97736,199939
