"India/State/ UT",Total Schools,Number of schools having drinking water facility within school premises – Private unaided,"No. of privateunaided schoolsnot havingdrinking waterfacility withinschool premises","Percentage ofprivate unaidedschools havingdrinking waterfacility withinschool premises",,,,,,
"",,"Any source ofdrinkingwater",Tap Water,Packed Water,Hand Pump,Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,335844,332437,223600,8528,82147,6753,395,11014,3407,99
Andaman and Nicobar Islands,72,72,71,1,0,0,0,0,0,100
Andhra Pradesh,15058,15056,11836,1867,981,77,0,295,2,100
Arunachal Pradesh,503,486,426,4,29,20,2,5,17,96.6
Assam,5852,5661,2551,98,2600,237,31,144,191,96.7
Bihar,8097,8077,4928,117,2988,6,3,35,20,99.8
Chandigarh,76,76,75,0,0,0,0,1,0,100
Chhattisgarh,7063,7063,4103,80,2736,58,2,84,0,100
"Dadra and Nagar Haveli andDaman and Diu",63,63,46,6,1,1,0,9,0,100
Delhi,2610,2610,2610,0,0,0,0,0,0,100
Goa,139,139,137,1,0,0,0,1,0,100
Gujarat,13559,13556,11956,368,617,302,15,298,3,100
Haryana,8261,8259,7018,168,475,159,4,435,2,100
Himachal Pradesh,2646,2646,2533,4,60,20,0,29,0,100
Jammu and Kashmir,5526,5500,5069,19,272,82,7,51,26,99.5
Jharkhand,1559,1554,965,20,526,16,0,27,5,99.7
Karnataka,19650,19633,17907,707,439,247,9,324,17,99.9
Kerala,3164,3164,1483,71,141,1409,5,55,0,100
Ladakh,112,111,70,5,20,3,0,13,1,99.1
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,30345,29891,18323,464,8048,971,53,2032,454,98.5
Maharashtra,19268,19250,14882,838,1452,864,13,1201,18,99.9
Manipur,1010,1001,529,127,45,72,9,219,9,99.1
Meghalaya,2120,1088,802,17,70,74,57,68,1032,51.3
Mizoram,1034,982,823,12,1,7,0,139,52,95
Nagaland,757,617,397,42,21,54,4,99,140,81.5
Odisha,6104,6045,4465,90,1400,61,2,27,59,99
Puducherry,281,281,260,4,5,3,0,9,0,100
Punjab,7978,7978,6835,21,227,29,0,866,0,100
Rajasthan,34826,34712,28694,580,2313,1352,73,1700,114,99.7
Sikkim,376,376,373,0,0,0,1,2,0,100
Tamil Nadu,12396,12396,11807,181,73,125,0,210,0,100
Telangana,12193,12123,9171,1126,836,145,10,835,70,99.4
Tripura,363,353,241,12,71,14,2,13,10,97.3
Uttar Pradesh,97808,96844,42316,682,52401,185,20,1240,964,99
Uttarakhand,5225,5170,4483,36,512,45,2,92,55,99
West Bengal,9750,9604,5415,760,2787,115,71,456,146,98.5
