"India/State /UT",Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,595105,500977,1096082,231028,163703,394731,371447,289105,660552
Andaman and Nicobar Islands,167,311,478,125,177,302,289,326,615
Andhra Pradesh,16650,13348,29998,946,1191,2137,18362,9072,27434
Arunachal Pradesh,1255,1020,2275,477,261,738,575,395,970
Assam,27076,15086,42162,4398,3296,7694,10604,7851,18455
Bihar,33517,11450,44967,9280,3062,12342,14690,4843,19533
Chandigarh,118,487,605,137,493,630,199,736,935
Chhattisgarh,10372,8692,19064,16897,14389,31286,7218,5791,13009
"Dadra and Nagar Haveli andDaman and Diu",312,387,699,81,57,138,188,239,427
Delhi,8651,17712,26363,0,0,0,11120,18839,29959
Goa,602,1784,2386,20,41,61,641,1550,2191
Gujarat,29382,17421,46803,4682,3807,8489,19724,12524,32248
Haryana,6705,10335,17040,17795,21515,39310,6080,8043,14123
Himachal Pradesh,4556,4720,9276,3752,3203,6955,8638,5843,14481
Jammu and Kashmir,13959,10010,23969,293,203,496,6431,3725,10156
Jharkhand,10909,7103,18012,3080,1601,4681,5207,3133,8340
Karnataka,53099,45189,98288,827,1027,1854,23527,17116,40643
Kerala,15826,45372,61198,333,1404,1737,11530,27117,38647
Ladakh,389,305,694,74,34,108,261,142,403
Lakshadweep,67,64,131,36,29,65,62,31,93
Madhya Pradesh,32613,24264,56877,12606,10886,23492,18766,12692,31458
Maharashtra,76834,51633,128467,3761,3944,7705,41268,27072,68340
Manipur,2442,1958,4400,748,604,1352,1791,1850,3641
Meghalaya,3943,4399,8342,217,290,507,978,1736,2714
Mizoram,2710,1529,4239,27,10,37,993,890,1883
Nagaland,1869,1898,3767,219,291,510,534,929,1463
Odisha,32381,16005,48386,955,581,1536,11667,6198,17865
Puducherry,360,689,1049,309,422,731,666,838,1504
Punjab,14194,36607,50801,2944,5715,8659,12084,22887,34971
Rajasthan,31875,14818,46693,57224,22699,79923,29292,11503,40795
Sikkim,649,719,1368,128,148,276,574,720,1294
Tamil Nadu,19567,45870,65437,11140,16043,27183,25010,32152,57162
Telangana,18211,22612,40823,1804,1986,3790,15446,8647,24093
Tripura,3618,1967,5585,530,371,901,2503,1945,4448
Uttar Pradesh,92517,46620,139137,35575,18361,53936,48214,20960,69174
Uttarakhand,9460,6620,16080,4011,3328,7339,8211,4575,12786
West Bengal,18250,11973,30223,35597,22234,57831,8104,6195,14299
