"India/State /UT",Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,441364,355267,796631,89,5082,5171,444,1109,1553,47609,96377,143986
Andaman and Nicobar Islands,17,57,74,0,1,1,0,0,0,3,15,18
Andhra Pradesh,3067,3079,6146,0,1,1,4,5,9,999,1045,2044
Arunachal Pradesh,563,437,1000,0,0,0,0,4,4,102,165,267
Assam,19663,7588,27251,1,1,2,0,3,3,18,39,57
Bihar,2540,1045,3585,0,0,0,1,0,1,122,102,224
Chandigarh,48,235,283,0,1,1,0,5,5,1,36,37
Chhattisgarh,1249,1254,2503,0,2,2,1,6,7,401,488,889
"Dadra and Nagar Haveli andDaman and Diu",75,136,211,0,0,0,0,0,0,3,39,42
Delhi,1187,3427,4614,0,19,19,0,0,0,80,825,905
Goa,1855,6971,8826,0,70,70,1,19,20,126,1525,1651
Gujarat,31272,15884,47156,2,7,9,8,21,29,347,722,1069
Haryana,31,292,323,0,0,0,0,1,1,3,90,93
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,7,6,13,0,0,0,0,0,0,1,3,4
Jharkhand,2425,2852,5277,0,13,13,13,29,42,577,1031,1608
Karnataka,28274,14498,42772,0,9,9,3,3,6,825,878,1703
Kerala,29255,87040,116295,38,4622,4660,1,30,31,7293,28058,35351
Ladakh,69,10,79,0,0,0,0,0,0,53,8,61
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2228,2363,4591,0,12,12,3,19,22,471,531,1002
Maharashtra,183452,103296,286748,12,54,66,109,148,257,25960,28008,53968
Manipur,1424,1192,2616,0,3,3,19,28,47,706,549,1255
Meghalaya,8097,9561,17658,12,133,145,183,561,744,2176,3533,5709
Mizoram,1151,699,1850,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,25582,6622,32204,0,0,0,0,0,0,539,273,812
Puducherry,127,736,863,0,31,31,1,4,5,12,235,247
Punjab,1245,3466,4711,0,13,13,0,13,13,111,890,1001
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,109,135,244,0,5,5,1,1,2,22,39,61
Tamil Nadu,22231,56102,78333,0,33,33,0,2,2,4084,24138,28222
Telangana,905,2432,3337,1,8,9,15,84,99,275,926,1201
Tripura,727,398,1125,0,0,0,0,0,0,114,64,178
Uttar Pradesh,69014,20718,89732,1,0,1,4,5,9,2147,1942,4089
Uttarakhand,3016,2153,5169,0,0,0,0,0,0,25,126,151
West Bengal,459,583,1042,22,44,66,77,118,195,13,54,67
