"India/State/ UT",Total Schools,Schools with hand wash facility,Percentage of Schools with hand wash facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1489115,1022386,82480,335844,48405,1394464,962531,75602,315522,40809,93.6,94.2,91.7,94,84.3
Andaman and Nicobar Islands,416,342,2,72,0,416,342,2,72,0,100,100,100,100,0
Andhra Pradesh,61948,45137,1542,15058,211,60971,44286,1507,14974,204,98.4,98.1,97.7,99.4,96.7
Arunachal Pradesh,3603,2985,68,503,47,1630,1067,65,458,40,45.2,35.8,95.6,91.1,85.1
Assam,60859,45490,3841,5852,5676,54294,44063,2656,5085,2490,89.2,96.9,69.2,86.9,43.9
Bihar,93165,75558,742,8097,8768,80461,64329,583,7676,7873,86.4,85.1,78.6,94.8,89.8
Chandigarh,233,123,7,76,27,233,123,7,76,27,100,100,100,100,100
Chhattisgarh,56512,48743,417,7063,289,55486,47756,416,7027,287,98.2,98,99.8,99.5,99.3
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,460,388,8,63,1,100,100,100,100,100
Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0,100,100,100,100,0
Goa,1510,814,557,139,0,1510,814,557,139,0,100,100,100,100,0
Gujarat,53851,34699,5590,13559,3,52090,34037,5002,13048,3,96.7,98.1,89.5,96.2,100
Haryana,23726,14562,16,8261,887,23598,14474,16,8226,882,99.5,99.4,100,99.6,99.4
Himachal Pradesh,18028,15380,0,2646,2,17918,15273,0,2643,2,99.4,99.3,0,99.9,100
Jammu and Kashmir,28805,23173,1,5526,105,27730,22190,1,5437,102,96.3,95.8,100,98.4,97.1
Jharkhand,44855,35840,1175,1559,6281,41020,32693,1001,1480,5846,91.5,91.2,85.2,94.9,93.1
Karnataka,76450,49679,7110,19650,11,68297,43556,6589,18142,10,89.3,87.7,92.7,92.3,90.9
Kerala,16240,5010,7183,3164,883,16113,4947,7153,3137,876,99.2,98.7,99.6,99.2,99.2
Ladakh,978,838,28,112,0,621,496,28,97,0,63.5,59.2,100,86.6,0
Lakshadweep,38,38,0,0,0,38,38,0,0,0,100,100,0,0,0
Madhya Pradesh,125582,92695,740,30345,1802,116775,85451,692,28946,1686,93,92.2,93.5,95.4,93.6
Maharashtra,109605,65639,24037,19268,661,107899,64269,23835,19136,659,98.4,97.9,99.2,99.3,99.7
Manipur,4617,2889,583,1010,135,3843,2338,497,918,90,83.2,80.9,85.3,90.9,66.7
Meghalaya,14600,7783,4172,2120,525,5531,2929,1660,722,220,37.9,37.6,39.8,34.1,41.9
Mizoram,3911,2563,230,1034,84,2845,1988,117,689,51,72.7,77.6,50.9,66.6,60.7
Nagaland,2718,1960,0,757,1,1645,1058,0,586,1,60.5,54,0,77.4,100
Odisha,62291,49072,5807,6104,1308,60248,47679,5416,5909,1244,96.7,97.2,93.3,96.8,95.1
Puducherry,736,422,33,281,0,733,419,33,281,0,99.6,99.3,100,100,0
Punjab,27701,19259,450,7978,14,27690,19249,450,7977,14,100,100,100,100,100
Rajasthan,106373,68948,0,34826,2599,102958,66400,0,34214,2344,96.8,96.3,0,98.2,90.2
Sikkim,1259,864,19,376,0,1225,836,18,371,0,97.3,96.8,94.7,98.7,0
Tamil Nadu,58801,37636,8323,12396,446,58801,37636,8323,12396,446,100,100,100,100,100
Telangana,43083,30023,700,12193,167,38121,26155,569,11262,135,88.5,87.1,81.3,92.4,80.8
Tripura,4929,4262,43,363,261,4219,3619,41,342,217,85.6,84.9,95.4,94.2,83.1
Uttar Pradesh,258054,137024,8113,97808,15109,239002,131277,7451,87162,13112,92.6,95.8,91.8,89.1,86.8
Uttarakhand,22815,16484,608,5225,498,21998,15835,583,5089,491,96.4,96.1,95.9,97.4,98.6
West Bengal,94744,83302,88,9750,1604,92426,81759,79,9132,1456,97.6,98.2,89.8,93.7,90.8
