India/State/UT,Number of Schools having,"Number of Schools which have introduced peerlearning at","Percentage of Schools which have introducedpeer learning at",,,,,,,,,
"",Primary,"UpperPrimary",Secondary,"HigherSecondary",Primary,"UpperPrimary",Secondary,"HigherSecondary",Primary,"UpperPrimary",Secondary,"HigherSecondary"
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,650146,293590,83537,77593,337643,152010,42061,32744,51.9,51.8,50.4,42.2
Andaman and Nicobar Islands,185,57,46,56,156,51,40,42,84.3,89.5,87.0,75.0
Andhra Pradesh,34642,4285,6525,1227,28777,3302,5286,705,83.1,77.1,81.0,57.5
Arunachal Pradesh,1685,1002,232,134,333,254,102,56,19.8,25.4,44.0,41.8
Assam,34948,8585,4250,1548,23032,4556,2308,680,65.9,53.1,54.3,43.9
Bihar,40563,25993,2516,7228,8002,5928,565,1212,19.7,22.8,22.5,16.8
Chandigarh,8,12,54,56,7,12,53,54,87.5,100,98.2,96.4
Chhattisgarh,30892,13284,1949,3035,20782,8918,1193,1702,67.3,67.1,61.2,56.1
Dadra and Nagar Haveli and Daman and Diu,167,163,31,35,162,155,27,28,97.0,95.1,87.1,80.0
Delhi,1671,39,122,1177,1324,28,97,946,79.2,71.8,79.5,80.4
Goa,795,67,400,109,718,45,231,45,90.3,67.2,57.8,41.3
Gujarat,12545,20680,3031,4033,9442,15613,1030,1218,75.3,75.5,34.0,30.2
Haryana,8677,2450,1108,2343,6186,1643,719,1498,71.3,67.1,64.9,63.9
Himachal Pradesh,10563,1952,942,1923,6616,1222,639,1172,62.6,62.6,67.8,61.0
Jammu and Kashmir,12974,7612,1754,834,6485,4504,1035,425,50.0,59.2,59.0,51.0
Jharkhand,21814,12122,1914,1165,9397,5915,969,496,43.1,48.8,50.6,42.6
Karnataka,21240,24635,8554,2360,12875,15060,4679,790,60.6,61.1,54.7,33.5
Kerala,5967,3486,778,1962,4929,2904,649,1600,82.6,83.3,83.4,81.6
Ladakh,355,382,85,44,114,154,43,32,32.1,40.3,50.6,72.7
Lakshadweep,16,9,0,13,16,9,0,11,100,100,0.0,84.6
Madhya Pradesh,58826,24917,4921,4771,24826,11235,2548,2329,42.2,45.1,51.8,48.8
Maharashtra,46217,24885,12040,6534,22357,11958,4637,2315,48.4,48.1,38.5,35.4
Manipur,2309,605,461,97,367,111,115,42,15.9,18.4,25.0,43.3
Meghalaya,7928,3157,699,171,831,520,162,49,10.5,16.5,23.2,28.7
Mizoram,1277,1015,439,62,47,44,22,8,3.7,4.3,5.0,12.9
Nagaland,1032,617,255,56,272,172,84,19,26.4,27.9,32.9,33.9
Odisha,27438,17508,8610,1323,18788,12295,5146,392,68.5,70.2,59.8,29.6
Puducherry,236,48,91,80,222,44,68,63,94.1,91.7,74.7,78.8
Punjab,12880,2541,1800,2488,11354,2123,1396,1869,88.2,83.6,77.6,75.1
Rajasthan,33781,19498,3758,11911,15518,10171,1944,6229,45.9,52.2,51.7,52.3
Sikkim,481,173,125,104,224,93,85,66,46.6,53.8,68.0,63.5
Tamil Nadu,29274,8526,3692,4467,0,0,0,0,0.0,0.0,0.0,0.0
Telangana,20080,3379,5913,1351,10353,1823,3224,450,51.6,54.0,54.5,33.3
Tripura,2137,1126,609,433,847,516,352,228,39.6,45.8,57.8,52.7
Uttar Pradesh,87964,49339,2065,5769,51281,26480,575,1469,58.3,53.7,27.9,25.5
Uttarakhand,11511,2778,991,1812,6651,1501,554,1037,57.8,54.0,55.9,57.2
West Bengal,67068,6663,2777,6882,34352,2651,1484,3467,51.2,39.8,53.4,50.4
