"India/State/ UT",Total Schools,Number of schools having drinking water facility within school premises –others,"No. of otherschools nothaving drinkingwater facilitywithin schoolpremises","Percentage ofother schoolshaving drinkingwater facilitywithin schoolpremises",,,,,,
"",,"Any source ofdrinkingwater",Tap Water,Packed Water,Hand Pump,Well,"Unprotected Well","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,48405,45813,21004,741,21634,1010,179,1245,2592,94.7
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,211,211,155,27,21,1,0,7,0,100
Arunachal Pradesh,47,45,32,1,7,3,1,1,2,95.7
Assam,5676,3830,306,38,2921,221,122,222,1846,67.5
Bihar,8768,8742,3952,115,4659,5,0,11,26,99.7
Chandigarh,27,27,27,0,0,0,0,0,0,100
Chhattisgarh,289,289,115,5,161,3,0,5,0,100
"Dadra and Nagar Haveli andDaman and Diu",1,1,1,0,0,0,0,0,0,100
Delhi,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0
Gujarat,3,3,2,0,1,0,0,0,0,100
Haryana,887,887,754,6,50,19,0,58,0,100
Himachal Pradesh,2,2,2,0,0,0,0,0,0,100
Jammu and Kashmir,105,105,91,1,6,0,1,6,0,100
Jharkhand,6281,6226,2951,186,2825,154,6,104,55,99.1
Karnataka,11,11,8,1,0,1,0,1,0,100
Kerala,883,883,413,27,34,388,3,18,0,100
Ladakh,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1802,1729,1206,33,350,21,5,114,73,96
Maharashtra,661,660,578,33,31,9,0,9,1,99.9
Manipur,135,131,45,14,12,9,2,49,4,97
Meghalaya,525,280,220,10,12,17,2,19,245,53.3
Mizoram,84,82,73,4,0,0,1,4,2,97.6
Nagaland,1,1,1,0,0,0,0,0,0,100
Odisha,1308,1278,858,39,353,15,3,10,30,97.7
Puducherry,0,0,0,0,0,0,0,0,0,0
Punjab,14,14,10,0,3,0,0,1,0,100
Rajasthan,2599,2519,1752,17,295,93,18,344,80,96.9
Sikkim,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,446,446,424,7,5,2,0,8,0,100
Telangana,167,167,133,10,11,0,0,13,0,100
Tripura,261,221,117,2,75,10,0,17,40,84.7
Uttar Pradesh,15109,14959,5749,61,8999,11,1,138,150,99
Uttarakhand,498,495,305,0,167,3,0,20,3,99.4
West Bengal,1604,1569,724,104,636,25,14,66,35,97.8
