"India/State /UT",Number of teachers in Others Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
India,287399,98862,139891,5630,23712,1959,4356,10346,430,546,1667
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,648,135,441,9,60,3,0,0,0,0,0
Arunachal Pradesh,360,172,188,0,0,0,0,0,0,0,0
Assam,18844,10569,313,2491,387,627,3062,76,89,209,1021
Bihar,71555,9397,57762,25,1768,53,104,2140,25,152,129
Chandigarh,297,57,175,0,49,0,0,16,0,0,0
Chhattisgarh,930,548,150,229,0,0,0,3,0,0,0
"Dadra and Nagar Haveli andDaman and Diu",25,0,0,0,0,0,0,25,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0
Gujarat,30,0,0,0,8,0,0,22,0,0,0
Haryana,6563,1872,4403,9,178,1,0,100,0,0,0
Himachal Pradesh,5,5,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,714,230,340,0,120,0,0,14,0,10,0
Jharkhand,51863,10439,35542,165,4834,421,99,257,2,18,86
Karnataka,45,11,3,0,17,14,0,0,0,0,0
Kerala,7378,2330,3853,27,1031,22,8,62,18,13,14
Ladakh,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,6264,2023,4145,60,14,0,0,22,0,0,0
Maharashtra,4032,1568,1739,1,487,33,107,74,18,0,5
Manipur,1247,461,784,2,0,0,0,0,0,0,0
Meghalaya,2392,939,311,104,237,69,455,76,15,0,186
Mizoram,540,93,219,4,0,0,153,0,0,0,71
Nagaland,6,6,0,0,0,0,0,0,0,0,0
Odisha,8899,4026,3523,119,583,299,159,81,0,0,109
Puducherry,0,0,0,0,0,0,0,0,0,0,0
Punjab,78,22,50,0,6,0,0,0,0,0,0
Rajasthan,7164,4835,1879,0,230,8,3,180,8,21,0
Sikkim,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,3559,1925,870,14,212,0,0,533,0,0,5
Telangana,377,185,189,0,3,0,0,0,0,0,0
Tripura,1076,926,71,0,25,0,0,54,0,0,0
Uttar Pradesh,78435,36679,20444,1261,13001,262,101,6399,170,109,9
Uttarakhand,2359,1293,482,386,33,10,105,0,4,14,32
West Bengal,11714,8116,2015,724,429,137,0,212,81,0,0
