"India/State/ UT",Enrolment of age group 16-17 years,,,,,,,,
"",All,Primary (1 to 5),Upper Primary (1to 8),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(65),(66),(67),(68),(69),(70),(71),(72),(73)
India,10840074,10185144,21025218,4256,2948,7204,142978,121524,264502
Andaman and Nicobar Islands,4198,4215,8413,2,2,4,46,33,79
Andhra Pradesh,343851,326734,670585,262,182,444,4691,2948,7639
Arunachal Pradesh,12219,12860,25079,22,10,32,621,592,1213
Assam,212802,233059,445861,45,19,64,2151,2123,4274
Bihar,583220,562544,1145764,79,53,132,1958,2342,4300
Chandigarh,20061,16439,36500,3,0,3,182,112,294
Chhattisgarh,296384,332753,629137,60,36,96,1909,1262,3171
"Dadra and Nagar Haveli andDaman and Diu",6587,6041,12628,3,2,5,157,134,291
Delhi,265569,263651,529220,29,38,67,3649,4045,7694
Goa,17359,17011,34370,7,7,14,143,80,223
Gujarat,418946,354407,773353,85,45,130,2628,1874,4502
Haryana,299073,234547,533620,176,106,282,5220,3609,8829
Himachal Pradesh,72835,66642,139477,14,14,28,428,301,729
Jammu and Kashmir,102580,88638,191218,44,36,80,936,761,1697
Jharkhand,265146,286245,551391,95,64,159,4418,4729,9147
Karnataka,485761,478372,964133,19,9,28,111,134,245
Kerala,289109,297537,586646,113,100,213,1018,642,1660
Ladakh,2562,2510,5072,1,3,4,78,40,118
Lakshadweep,879,840,1719,0,0,0,0,0,0
Madhya Pradesh,707249,631347,1338596,290,202,492,14964,11247,26211
Maharashtra,1347077,1171430,2518507,665,341,1006,9320,6520,15840
Manipur,34378,34175,68553,29,30,59,274,264,538
Meghalaya,32566,38955,71521,45,46,91,3868,3850,7718
Mizoram,13614,14773,28387,11,8,19,740,601,1341
Nagaland,15179,17170,32349,63,63,126,993,1062,2055
Odisha,218911,228852,447763,130,76,206,835,718,1553
Puducherry,10779,11327,22106,0,0,0,3,9,12
Punjab,376554,310584,687138,526,312,838,17631,10916,28547
Rajasthan,862255,714824,1577079,447,288,735,17567,15448,33015
Sikkim,7647,8024,15671,86,6,92,375,313,688
Tamil Nadu,553557,557236,1110793,0,0,0,0,0,0
Telangana,334001,301567,635568,45,27,72,7546,4521,12067
Tripura,37438,39339,76777,2,5,7,91,70,161
Uttar Pradesh,1593087,1339360,2932447,699,681,1380,28331,29687,58018
Uttarakhand,114952,106088,221040,49,41,90,1658,1534,3192
West Bengal,881689,1075048,1956737,110,96,206,8438,9003,17441
