"India/State/ UT",Projected population by age group – Scheduled Tribes (ST),,,,,,,,
"",Age 3-5,Age 6-10,Age 11-13,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,4377009,4104266,8481275,6075719,5701885,11777604,3502841,3379070,6881911
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-
Andhra Pradesh,86089,79906,165994,129320,118261,247581,71536,67901,139436
Arunachal Pradesh,-,-,-,-,-,-,-,-,-
Assam,135725,123440,259165,192879,177900,370778,128901,127313,256214
Bihar,67266,62760,130026,94951,88440,183391,55039,54852,109891
Chandigarh,0,0,0,0,0,0,0,0,0
Chhattisgarh,342004,331349,673354,475057,454810,929867,250253,246988,497240
"Dadra and Nagar Haveli andDaman and Diu",10205,9690,19895,15370,13996,29365,9870,9084,18954
Delhi,-,-,-,-,-,-,-,-,-
Goa,4823,4505,9328,7299,6727,14026,4801,4333,9134
Gujarat,409275,371445,780720,525402,485127,1010529,289968,279150,569118
Haryana,-,-,-,-,-,-,-,-,-
Himachal Pradesh,10952,10380,21332,16147,14834,30982,10694,10008,20702
Jammu and Kashmir,43392,42673,86065,68420,65572,133993,60458,51903,112361
Jharkhand,372580,350777,723358,511690,477562,989252,319544,319411,638955
Karnataka,144693,135699,280392,202608,190734,393342,119375,115841,235216
Kerala,14397,13573,27970,21364,19872,41236,13055,12684,25740
Ladakh,10289,9638,19927,13954,12625,26579,9056,7966,17021
Lakshadweep,-,-,-,-,-,-,-,-,-
Madhya Pradesh,830127,788367,1618493,1098937,1056824,2155760,536087,536942,1073030
Maharashtra,381953,357096,739049,572299,525900,1098199,356706,329025,685730
Manipur,32440,29140,61580,55380,49577,104957,45678,41621,87299
Meghalaya,98974,93682,192656,128164,121717,249882,96176,94050,190227
Mizoram,30698,28998,59695,42226,39874,82100,32194,30740,62934
Nagaland,-,-,-,-,-,-,-,-,-
Odisha,376701,370454,747156,538899,532050,1070948,296791,287458,584249
Puducherry,-,-,-,-,-,-,-,-,-
Punjab,-,-,-,-,-,-,-,-,-
Rajasthan,473218,428744,901962,639595,577041,1216636,330825,307634,638459
Sikkim,4493,4220,8712,7792,7444,15236,6835,6654,13489
Tamil Nadu,27448,24410,51858,39932,36056,75988,21812,20527,42339
Telangana,116087,101582,217669,170221,151729,321951,100821,92291,193113
Tripura,36552,34287,70839,49147,45902,95050,40159,37901,78060
Uttar Pradesh,61061,56003,117064,80399,74015,154414,37611,36257,73868
Uttarakhand,8546,7610,16156,12957,11318,24276,9271,8516,17787
West Bengal,159675,153171,312846,232619,222866,455485,144787,142155,286942
