India/ State/ UT,"Number of Government and GovernmentAided Schools with level","Number of Schools created criterion-referenced items in Previous Academic Year","Percentage of Schools created criterion-referenced items in Previous Academic Year",,,,,,
"","UpperPrimary",Secondary,"HigherSecondary","UpperPrimary",Secondary,"HigherSecondary","UpperPrimary",Secondary,"HigherSecondary"
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,293590,83537,77593,76272,24823,18169,26.0,29.7,23.4
Andaman and Nicobar Islands,57,46,56,18,22,17,31.6,47.8,30.4
Andhra Pradesh,4285,6525,1227,1873,3459,349,43.7,53.0,28.4
Arunachal Pradesh,1002,232,134,94,47,27,9.4,20.3,20.2
Assam,8585,4250,1548,1511,933,261,17.6,22.0,16.9
Bihar,25993,2516,7228,848,98,135,3.3,3.9,1.9
Chandigarh,12,54,56,11,45,33,91.7,83.3,58.9
Chhattisgarh,13284,1949,3035,4596,674,836,34.6,34.6,27.6
Dadra and Nagar Haveli and Daman and Diu,163,31,35,143,27,30,87.7,87.1,85.7
Delhi,39,122,1177,27,90,927,69.2,73.8,78.8
Goa,67,400,109,26,163,30,38.8,40.8,27.5
Gujarat,20680,3031,4033,12015,721,767,58.1,23.8,19.0
Haryana,2450,1108,2343,944,486,897,38.5,43.9,38.3
Himachal Pradesh,1952,942,1923,713,330,439,36.5,35.0,22.8
Jammu and Kashmir,7612,1754,834,1419,407,185,18.6,23.2,22.2
Jharkhand,12122,1914,1165,2059,385,228,17.0,20.1,19.6
Karnataka,24635,8554,2360,9528,3723,460,38.7,43.5,19.5
Kerala,3486,778,1962,1846,500,1170,53.0,64.3,59.6
Ladakh,382,85,44,46,26,15,12.0,30.6,34.1
Lakshadweep,9,0,13,3,0,7,33.3,0.0,53.9
Madhya Pradesh,24917,4921,4771,4444,1448,1269,17.8,29.4,26.6
Maharashtra,24885,12040,6534,9636,3611,1739,38.7,30.0,26.6
Manipur,605,461,97,30,35,25,5.0,7.6,25.8
Meghalaya,3157,699,171,542,141,29,17.2,20.2,17.0
Mizoram,1015,439,62,133,69,9,13.1,15.7,14.5
Nagaland,617,255,56,127,66,15,20.6,25.9,26.8
Odisha,17508,8610,1323,3268,2224,174,18.7,25.8,13.2
Puducherry,48,91,80,31,48,37,64.6,52.8,46.3
Punjab,2541,1800,2488,1369,947,1047,53.9,52.6,42.1
Rajasthan,19498,3758,11911,7163,1274,4011,36.7,33.9,33.7
Sikkim,173,125,104,34,52,32,19.7,41.6,30.8
Tamil Nadu,8526,3692,4467,0,0,0,0.0,0.0,0.0
Telangana,3379,5913,1351,593,1177,141,17.6,19.9,10.4
Tripura,1126,609,433,262,228,149,23.3,37.4,34.4
Uttar Pradesh,49339,2065,5769,8893,233,508,18.0,11.3,8.8
Uttarakhand,2778,991,1812,879,383,648,31.6,38.7,35.8
West Bengal,6663,2777,6882,1148,751,1523,17.2,27.0,22.1
