"India/State /UT",Number of Teachers in Government Aided Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
India,796631,81441,104110,42683,88545,59064,47553,140626,141767,56897,33945
Andaman and Nicobar Islands,74,0,0,0,0,0,0,74,0,0,0
Andhra Pradesh,6146,1788,610,3,43,2348,0,0,24,0,1330
Arunachal Pradesh,1000,87,219,0,347,0,0,347,0,0,0
Assam,27251,4,37,16719,103,1422,5900,136,408,33,2489
Bihar,3585,76,1340,73,400,411,425,32,276,395,157
Chandigarh,283,0,0,0,0,0,0,215,68,0,0
Chhattisgarh,2503,641,287,279,108,4,6,428,464,286,0
"Dadra and Nagar Haveli andDaman and Diu",211,0,0,0,88,0,0,55,68,0,0
Delhi,4614,218,120,45,111,199,0,2630,1278,13,0
Goa,8826,593,188,28,3919,2219,6,28,0,0,1845
Gujarat,47156,397,1294,1190,7,59,6070,214,1122,36554,249
Haryana,323,5,0,0,37,6,0,270,5,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,13,0,0,0,13,0,0,0,0,0,0
Jharkhand,5277,902,2512,28,148,1170,58,93,170,37,159
Karnataka,42772,534,12310,81,1020,448,20885,234,83,2198,4979
Kerala,116295,23502,27794,5527,2326,6534,1312,6303,29879,13057,61
Ladakh,79,52,12,0,15,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4591,692,795,113,82,21,110,1043,984,751,0
Maharashtra,286748,20010,40245,0,76569,19114,74,107787,8730,183,14036
Manipur,2616,1050,421,132,479,341,64,35,0,0,94
Meghalaya,17658,6513,87,4271,99,1724,3025,175,521,617,626
Mizoram,1850,0,0,536,0,0,984,0,0,0,330
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,32204,752,141,2539,98,13096,8288,0,7,0,7283
Puducherry,863,32,0,0,307,0,0,524,0,0,0
Punjab,4711,159,169,6,327,119,2,2937,992,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0,0
Sikkim,244,17,11,0,16,14,0,154,32,0,0
Tamil Nadu,78333,21299,12702,123,369,5280,11,3338,35092,119,0
Telangana,3337,1014,362,0,508,1174,0,0,0,0,279
Tripura,1125,20,6,0,61,0,0,781,257,0,0
Uttar Pradesh,89732,727,2394,10298,922,3028,283,11942,57685,2437,16
Uttarakhand,5169,44,44,692,8,290,50,628,3184,217,12
West Bengal,1042,313,10,0,15,43,0,223,438,0,0
