India/ State/ UT,"Number of Government Schools withUpper Primary, Secondary and HigherSecondary sections  having","Number of Government Aided Schools withUpper Primary, Secondary and HigherSecondary sections  having","Percentage of Government Schoolswith Upper Primary, Secondary andHigher Secondary sections  having","Percentage of Government AidedSchools with Upper Primary, Secondaryand Higher Secondary sections  having",,,,,,
"",Total,ICT labs,"FunctionalICT Labs",Total,ICT labs,"FunctionalICT Labs",ICT labs,"Functional ICTLabs",ICT labs,"Functional ICTLabs"
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,389932,68172,54575,64788,18010,13571,17.5,14.0,27.8,21.0
Andaman and Nicobar Islands,157,123,120,2,1,1,78.3,76.4,50.0,50.0
Andhra Pradesh,11374,965,563,663,19,15,8.5,5.0,2.9,2.3
Arunachal Pradesh,1312,134,99,56,12,11,10.2,7.6,21.4,19.6
Assam,10543,3103,2259,3840,69,31,29.4,21.4,1.8,0.8
Bihar,35035,855,308,702,30,20,2.4,0.9,4.3,2.9
Chandigarh,115,111,109,7,7,7,96.5,94.8,100,100
Chhattisgarh,18055,1732,982,213,3,3,9.6,5.4,1.4,1.4
"Dadra and Nagar Haveli and Damanand Diu",221,89,87,8,7,7,40.3,39.4,87.5,87.5
Delhi,1136,1028,968,202,140,82,90.5,85.2,69.3,40.6
Goa,134,63,56,442,252,242,47.0,41.8,57.0,54.8
Gujarat,22218,1578,1064,5526,2754,1964,7.1,4.8,49.8,35.5
Haryana,5886,2851,2254,15,2,1,48.4,38.3,13.3,6.7
Himachal Pradesh,4817,2192,2122,0,0,0,45.5,44.1,0.0,0.0
Jammu and Kashmir,10199,2544,2196,1,0,0,24.9,21.5,0.0,0.0
Jharkhand,14522,1166,1104,679,29,27,8.0,7.6,4.3,4.0
Karnataka,28634,3924,1999,6915,1221,270,13.7,7.0,17.7,3.9
Kerala,2416,2104,1987,3810,3479,3298,87.1,82.2,91.3,86.6
Ladakh,507,148,132,4,0,0,29.2,26.0,0.0,0.0
Lakshadweep,22,15,15,0,0,0,68.2,68.2,0.0,0.0
Madhya Pradesh,34177,473,313,432,9,6,1.4,0.9,2.1,1.4
Maharashtra,22605,1679,1242,20854,7800,6239,7.4,5.5,37.4,29.9
Manipur,979,337,306,184,9,6,34.4,31.3,4.9,3.3
Meghalaya,2355,129,94,1672,249,197,5.5,4.0,14.9,11.8
Mizoram,1286,114,72,230,21,8,8.9,5.6,9.1,3.5
Nagaland,928,130,101,0,0,0,14.0,10.9,0.0,0.0
Odisha,21927,4281,2953,5514,266,196,19.5,13.5,4.8,3.6
Puducherry,189,184,168,30,8,8,97.4,88.9,26.7,26.7
Punjab,6429,6177,5926,400,264,256,96.1,92.2,66.0,64.0
Rajasthan,35167,11370,9180,0,0,0,32.3,26.1,0.0,0.0
Sikkim,389,229,216,13,7,5,58.9,55.5,53.9,38.5
Tamil Nadu,13361,5815,5815,3324,0,0,43.5,43.5,0.0,0.0
Telangana,10231,2679,942,412,1,0,26.2,9.2,0.2,0.0
Tripura,2133,419,372,35,7,5,19.6,17.4,20.0,14.3
Uttar Pradesh,49213,1208,757,7960,1284,624,2.5,1.5,16.1,7.8
Uttarakhand,4982,621,549,599,58,40,12.5,11.0,9.7,6.7
West Bengal,16278,7602,7145,44,2,2,46.7,43.9,4.6,4.6
