"India/State /UT",Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,23445,17157,40602,80342,66615,146957,35051,22686,57737
Andaman and Nicobar Islands,0,1,1,1,9,10,2,10,12
Andhra Pradesh,133,110,243,205,186,391,589,627,1216
Arunachal Pradesh,112,118,230,80,47,127,117,65,182
Assam,21,25,46,12829,4441,17270,419,149,568
Bihar,156,77,233,939,415,1354,178,69,247
Chandigarh,7,16,23,1,9,10,13,69,82
Chhattisgarh,53,75,128,282,297,579,36,42,78
"Dadra and Nagar Haveli andDaman and Diu",2,5,7,15,34,49,4,4,8
Delhi,0,0,0,310,914,1224,0,0,0
Goa,32,139,171,201,894,1095,507,1613,2120
Gujarat,28,25,53,985,1084,2069,2,1,3
Haryana,0,18,18,2,12,14,4,58,62
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,0,0,0,6,1,7,0,2,2
Jharkhand,420,414,834,636,539,1175,297,430,727
Karnataka,6315,4499,10814,469,487,956,63,35,98
Kerala,56,170,226,7849,21953,29802,54,77,131
Ladakh,2,0,2,7,1,8,2,0,2
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,47,144,191,461,579,1040,53,87,140
Maharashtra,15082,9508,24590,31660,17623,49283,19331,8347,27678
Manipur,93,115,208,250,191,441,165,142,307
Meghalaya,8,20,28,2576,2283,4859,248,285,533
Mizoram,0,0,0,290,246,536,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,54,30,84,2339,386,2725,2255,694,2949
Puducherry,16,114,130,12,42,54,39,164,203
Punjab,8,78,86,126,440,566,45,127,172
Rajasthan,0,0,0,0,0,0,0,0,0
Sikkim,1,3,4,24,26,50,19,13,32
Tamil Nadu,402,996,1398,4033,8564,12597,3917,6786,10703
Telangana,63,146,209,83,200,283,190,477,667
Tripura,4,1,5,68,42,110,12,3,15
Uttar Pradesh,324,282,606,12930,4229,17159,6066,1916,7982
Uttarakhand,3,20,23,620,403,1023,358,311,669
West Bengal,3,8,11,53,38,91,66,83,149
