India/State/UT,Total Schools,"Number of Books available inLibrary/Book Bank/ReadingCorner","Number of Books available inLibrary/Book Bank/ReadingCorner per School"
India,1489115,1062399262,713
Andaman and Nicobar Islands,416,1779876,4279
Andhra Pradesh,61948,45104819,728
Arunachal Pradesh,3603,1227647,341
Assam,60859,27137916,446
Bihar,93165,27073930,291
Chandigarh,233,1986207,8524
Chhattisgarh,56512,29067427,514
Dadra and Nagar Haveli and Daman and Diu,460,770745,1676
Delhi,5619,31892398,5676
Goa,1510,3945645,2613
Gujarat,53851,59041160,1096
Haryana,23726,47031100,1982
Himachal Pradesh,18028,16358270,907
Jammu and Kashmir,28805,9352077,325
Jharkhand,44855,24027510,536
Karnataka,76450,118237718,1547
Kerala,16240,41899204,2580
Ladakh,978,494839,506
Lakshadweep,38,131231,3453
Madhya Pradesh,125582,33975315,271
Maharashtra,109605,123653015,1128
Manipur,4617,1572789,341
Meghalaya,14600,1389234,95
Mizoram,3911,606105,155
Nagaland,2718,1060751,390
Odisha,62291,49683358,798
Puducherry,736,2482604,3373
Punjab,27701,41800637,1509
Rajasthan,106373,67967762,639
Sikkim,1259,573827,456
Tamil Nadu,58801,74692129,1270
Telangana,43083,20678230,480
Tripura,4929,1386878,281
Uttar Pradesh,258054,97769727,379
Uttarakhand,22815,14265839,625
West Bengal,94744,42281343,446
