"India/State/ UT",Enrolment – Private Unaided Recognized,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,7229787,5617494,12847281,5879924,4773497,10653421,46005967,36444358,82450325,49171889,39099427,88271316
Andaman and Nicobar Islands,1071,1091,2162,678,663,1341,9254,8572,17826,10762,10040,20802
Andhra Pradesh,266457,205300,471757,319839,299048,618887,1793929,1455496,3249425,1833343,1488449,3321792
Arunachal Pradesh,3884,3226,7110,1601,1635,3236,43529,35572,79101,52009,42931,94940
Assam,103964,91565,195529,66065,66500,132565,748838,647438,1396276,856490,738645,1595135
Bihar,286714,220909,507623,333463,274262,607725,1793191,1281328,3074519,1930948,1375309,3306257
Chandigarh,7496,5797,13293,6008,4887,10895,42117,34452,76569,48414,40105,88519
Chhattisgarh,94175,78880,173055,79893,68450,148343,762866,656515,1419381,881376,762224,1643600
"Dadra and Nagar Haveli andDaman and Diu",2769,1872,4641,1602,1170,2772,18552,13479,32031,20331,14892,35223
Delhi,121935,82184,204119,106445,74109,180554,871282,624406,1495688,941476,683046,1624522
Goa,1180,1120,2300,866,700,1566,17239,14999,32238,20891,18222,39113
Gujarat,313106,211188,524294,256138,176429,432567,2298432,1699545,3997977,2386067,1769701,4155768
Haryana,311080,211566,522646,235324,170214,405538,1806503,1280081,3086584,1927140,1374727,3301867
Himachal Pradesh,40523,30945,71468,23054,18016,41070,263575,210415,473990,297306,238898,536204
Jammu and Kashmir,74806,59635,134441,27366,21010,48376,545068,443000,988068,677809,557224,1235033
Jharkhand,181921,151905,333826,169167,146928,316095,694796,550687,1245483,729927,577560,1307487
Karnataka,375777,310929,686706,314949,297961,612910,2674566,2240316,4914882,2802254,2350931,5153185
Kerala,95902,92501,188403,58373,56586,114959,744119,690973,1435092,841471,782750,1624221
Ladakh,1588,1519,3107,388,494,882,12374,11356,23730,15623,14135,29758
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,399644,289275,688919,322007,229547,551554,3279793,2531453,5811246,3667679,2855817,6523496
Maharashtra,513065,379242,892307,373015,283148,656163,3420818,2639321,6060139,3599537,2792868,6392405
Manipur,32990,32035,65025,26631,25560,52191,198870,187879,386749,221327,208839,430166
Meghalaya,15276,18366,33642,10774,12966,23740,102389,108365,210754,130162,135505,265667
Mizoram,6431,6551,12982,6025,6155,12180,58352,58109,116461,68679,68533,137212
Nagaland,19863,19397,39260,11483,12627,24110,120909,113241,234150,141462,132029,273491
Odisha,69405,53710,123115,124069,123983,248052,730490,590321,1320811,752582,608469,1361051
Puducherry,11383,8964,20347,9964,8099,18063,67434,54798,122232,73787,60193,133980
Punjab,215569,165008,380577,164146,130394,294540,1379741,1077087,2456828,1604819,1259578,2864397
Rajasthan,578170,365255,943425,515921,318289,834210,4181853,2917046,7098899,4454188,3130750,7584938
Sikkim,1748,1391,3139,677,617,1294,18568,15888,34456,25465,22116,47581
Tamil Nadu,378268,302205,680473,317638,270486,588124,2532412,2138757,4671169,2823713,2406234,5229947
Telangana,281920,230182,512102,251183,218283,469466,1831754,1538617,3370371,1909321,1605017,3514338
Tripura,7955,6489,14444,4048,3685,7733,58877,48958,107835,70152,58880,129032
Uttar Pradesh,2251866,1855152,4107018,1621512,1358160,2979672,11390015,9318844,20708859,11607534,9487914,21095448
Uttarakhand,89234,64062,153296,69889,50493,120382,649080,496863,1145943,700356,538358,1238714
West Bengal,72652,58078,130730,49723,41943,91666,844382,710181,1554563,1047489,888538,1936027
