"India/State /UT",Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,369475,476023,845498,981040,909665,1890705,372256,326052,698308
Andaman and Nicobar Islands,94,170,264,223,436,659,323,555,878
Andhra Pradesh,11603,15523,27126,9006,10516,19522,51582,41411,92993
Arunachal Pradesh,2097,1785,3882,2311,2291,4602,760,531,1291
Assam,9803,10741,20544,49313,25012,74325,22161,15804,37965
Bihar,44502,26886,71388,139675,93434,233109,6127,2800,8927
Chandigarh,140,542,682,198,772,970,505,1860,2365
Chhattisgarh,5282,10550,15832,36045,24627,60672,2456,3409,5865
"Dadra and Nagar Haveli andDaman and Diu",36,111,147,359,661,1020,32,57,89
Delhi,0,0,0,10142,26039,36181,0,0,0
Goa,58,272,330,340,1259,1599,682,2028,2710
Gujarat,4807,11412,16219,49474,55890,105364,1823,2615,4438
Haryana,2848,10765,13613,17379,23866,41245,9367,13130,22497
Himachal Pradesh,1108,4276,5384,7884,7279,15163,9094,9283,18377
Jammu and Kashmir,2857,3565,6422,27828,23035,50863,1471,1056,2527
Jharkhand,20764,11274,32038,26247,15358,41605,4738,3884,8622
Karnataka,52576,78269,130845,12086,25123,37209,4754,7720,12474
Kerala,534,3732,4266,12975,49456,62431,607,2919,3526
Ladakh,470,307,777,765,835,1600,282,137,419
Lakshadweep,33,34,67,34,51,85,31,24,55
Madhya Pradesh,21286,27615,48901,90217,83868,174085,7577,8689,16266
Maharashtra,25652,29568,55220,67462,53089,120551,25111,19052,44163
Manipur,2297,2731,5028,2701,2656,5357,2061,1820,3881
Meghalaya,331,795,1126,7379,7860,15239,520,796,1316
Mizoram,365,417,782,4785,3609,8394,39,25,64
Nagaland,1046,1556,2602,3966,4108,8074,742,771,1513
Odisha,38768,39493,78261,22891,16820,39711,10204,8756,18960
Puducherry,184,904,1088,278,767,1045,710,1471,2181
Punjab,803,5955,6758,9791,34248,44039,6460,14255,20715
Rajasthan,52087,41675,93762,83772,54291,138063,65115,30367,95482
Sikkim,113,191,304,959,1329,2288,457,497,954
Tamil Nadu,10001,51445,61446,23374,55117,78491,23917,46882,70799
Telangana,11601,28297,39898,9639,19444,29083,35770,33714,69484
Tripura,599,469,1068,4544,2012,6556,1033,541,1574
Uttar Pradesh,39016,43962,82978,194129,145227,339356,24103,16818,40921
Uttarakhand,2031,5646,7677,9975,10962,20937,4404,4106,8510
West Bengal,3683,5090,8773,42894,28318,71212,47238,28269,75507
