India/ State/ UT,"Number of Government and Government AidedSchools with level","Number of Schools where teachers created teachingaids/tools for teaching and learning","Percentage of Schools where teachers created teachingaids/tools for teaching and learning",,,,,,,,,
"",Primary,"UpperPrimary",Secondary,"HigherSecondary",Primary,"UpperPrimary",Secondary,"HigherSecondary",Primary,"UpperPrimary",Secondary,"HigherSecondary"
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,650146,293590,83537,77593,474486,226834,66154,55058,73.0,77.3,79.2,71.0
Andaman and Nicobar Islands,185,57,46,56,170,54,45,51,91.9,94.7,97.8,91.1
Andhra Pradesh,34642,4285,6525,1227,32211,3821,6274,955,93.0,89.2,96.2,77.8
Arunachal Pradesh,1685,1002,232,134,632,489,169,105,37.5,48.8,72.8,78.4
Assam,34948,8585,4250,1548,28157,6280,3465,1169,80.6,73.2,81.5,75.5
Bihar,40563,25993,2516,7228,15477,12112,1047,2398,38.2,46.6,41.6,33.2
Chandigarh,8,12,54,56,8,12,54,53,100,100,100,94.6
Chhattisgarh,30892,13284,1949,3035,28356,12426,1752,2656,91.8,93.5,89.9,87.5
"Dadra and Nagar Haveli andDaman and Diu",167,163,31,35,166,161,30,35,99.4,98.8,96.8,100
Delhi,1671,39,122,1177,1595,34,114,1112,95.5,87.2,93.4,94.5
Goa,795,67,400,109,780,56,386,103,98.1,83.6,96.5,94.5
Gujarat,12545,20680,3031,4033,11389,19278,1953,2445,90.8,93.2,64.4,60.6
Haryana,8677,2450,1108,2343,7737,2185,1007,2064,89.2,89.2,90.9,88.1
Himachal Pradesh,10563,1952,942,1923,8663,1684,870,1739,82.0,86.3,92.4,90.4
Jammu and Kashmir,12974,7612,1754,834,7741,5644,1492,748,59.7,74.2,85.1,89.7
Jharkhand,21814,12122,1914,1165,13605,8530,1499,806,62.4,70.4,78.3,69.2
Karnataka,21240,24635,8554,2360,18493,22124,7867,1605,87.1,89.8,92.0,68.0
Kerala,5967,3486,778,1962,5783,2673,742,1810,96.9,76.7,95.4,92.3
Ladakh,355,382,85,44,192,220,80,41,54.1,57.6,94.1,93.2
Lakshadweep,16,9,0,13,16,9,0,13,100,100,0.0,100
Madhya Pradesh,58826,24917,4921,4771,47729,20768,4058,3885,81.1,83.4,82.5,81.4
Maharashtra,46217,24885,12040,6534,39825,21677,9637,5081,86.2,87.1,80.0,77.8
Manipur,2309,605,461,97,519,165,217,74,22.5,27.3,47.1,76.3
Meghalaya,7928,3157,699,171,2557,1569,448,122,32.3,49.7,64.1,71.4
Mizoram,1277,1015,439,62,656,633,277,37,51.4,62.4,63.1,59.7
Nagaland,1032,617,255,56,497,377,168,40,48.2,61.1,65.9,71.4
Odisha,27438,17508,8610,1323,21272,13869,7506,850,77.5,79.2,87.2,64.3
Puducherry,236,48,91,80,232,48,85,74,98.3,100.0,93.4,92.5
Punjab,12880,2541,1800,2488,12437,2495,1615,2234,96.6,98.2,89.7,89.8
Rajasthan,33781,19498,3758,11911,28937,17587,3360,10633,85.7,90.2,89.4,89.3
Sikkim,481,173,125,104,346,151,117,97,71.9,87.3,93.6,93.3
Tamil Nadu,29274,8526,3692,4467,0,0,0,0,0.0,0.0,0.0,0.0
Telangana,20080,3379,5913,1351,13432,2394,4780,778,66.9,70.9,80.8,57.6
Tripura,2137,1126,609,433,1181,763,552,405,55.3,67.8,90.6,93.5
Uttar Pradesh,87964,49339,2065,5769,73501,40291,1255,3204,83.6,81.7,60.8,55.5
Uttarakhand,11511,2778,991,1812,9083,2235,871,1618,78.9,80.5,87.9,89.3
West Bengal,67068,6663,2777,6882,41111,4020,2362,6018,61.3,60.3,85.1,87.5
