India/State/ UT,Percentage of Trained Teachers – All Types of Management,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,76.6,61.6,67.6,89.1,88.3,88.7,88.3,88.9,88.6
Andaman and Nicobar Islands,54.2,58.1,57.4,88.5,87.2,87.6,88.6,90.6,89.9
Andhra Pradesh,18.9,26.7,25.5,87.1,85.4,86.1,91.2,91.6,91.4
Arunachal Pradesh,48.9,44.4,45.5,80.5,75.4,78.0,84.7,84.2,84.4
Assam,60.2,54.0,56.7,70.4,69.7,70.1,64.9,68.1,66.1
Bihar,50.1,50.5,50.4,79.7,78.7,79.2,78.2,76.7,77.6
Chandigarh,45.5,43.8,43.9,94.7,92.9,93.3,90.3,87.4,88.0
Chhattisgarh,48.2,47.6,47.7,92.3,85.7,88.9,91.4,87.0,89.4
"Dadra and Nagar Haveli and Damanand Diu",100,67.4,67.6,91.8,89.7,90.3,91.3,92.6,92.2
Delhi,71.8,65.3,65.4,98.7,98.1,98.2,96.5,97.0,96.8
Goa,71.4,69.4,69.4,94.4,91.5,91.8,95.5,98.0,97.4
Gujarat,39.4,51.4,50.1,98.3,96.2,97.0,95.7,95.1,95.4
Haryana,40.9,38.4,38.4,95.7,90.9,92.4,93.7,91.9,92.6
Himachal Pradesh,64.2,51.5,53.4,96.4,94.3,95.2,95.0,94.7,94.8
Jammu and Kashmir,18.7,22.5,21.4,74.5,65.6,69.9,78.1,70.0,74.3
Jharkhand,53.6,46.9,48.6,87.6,83.4,85.9,85.6,84.9,85.3
Karnataka,38.2,67.3,66.1,98.1,96.8,97.3,97.2,96.8,96.9
Kerala,75.5,90.0,89.9,97.0,97.3,97.3,96.8,97.2,97.1
Ladakh,45.3,53.4,50.5,77.8,81.3,79.7,80.0,76.8,78.5
Lakshadweep,0.0,74.3,66.7,87.9,87.4,87.7,92.9,93.6,93.2
Madhya Pradesh,49.5,44.8,45.6,92.0,84.2,88.3,86.3,81.3,83.8
Maharashtra,49.0,60.3,59.2,97.7,95.8,96.7,95.8,94.6,95.3
Manipur,62.8,61.6,61.8,72.3,73.1,72.8,71.5,75.6,73.6
Meghalaya,42.8,37.8,39.1,52.5,47.9,49.6,53.1,55.7,54.5
Mizoram,57.4,65.7,63.9,87.0,86.0,86.4,89.2,86.2,87.9
Nagaland,52.9,50.1,50.9,59.7,60.4,60.2,63.1,66.1,64.7
Odisha,39.0,43.3,42.7,91.8,89.5,90.6,92.6,91.6,92.1
Puducherry,60.0,65.1,65.0,95.8,96.4,96.3,90.0,95.4,93.9
Punjab,39.4,41.0,40.7,88.7,88.6,88.6,92.3,90.7,91.1
Rajasthan,27.6,35.4,33.7,93.8,89.5,91.8,95.7,93.5,94.8
Sikkim,48.2,54.2,53.7,73.2,66.6,69.2,78.0,78.3,78.2
Tamil Nadu,39.0,67.3,66.6,96.6,97.9,97.7,90.6,94.3,93.3
Telangana,24.3,42.0,39.4,95.8,91.6,92.9,91.8,92.2,92.1
Tripura,34.2,38.5,37.0,58.2,60.0,58.8,70.7,73.9,71.7
Uttar Pradesh,35.1,43.3,42.1,87.1,86.1,86.6,87.1,86.7,86.9
Uttarakhand,34.4,43.3,42.5,89.0,85.9,86.9,93.3,90.6,91.8
West Bengal,83.1,74.0,78.9,91.0,83.5,87.6,93.8,93.9,93.8
