""
""
"India/State /UT"
India/
State /UT
"","able 5.3: Enrolment of students by school management and level of school education, 2021-22",,,,,,,,,,,,,,,,,,,,,,
"",,Enrolment – Government Aided Schools,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,
"India/State /UT",,Total,,"Pre-Primary","Primary(1 to 5)",,Upper,,"Elementary(1-8)","Secondary(9-10)",,Higher,,,,,,,,,,,
"",India/,Pre-,Primary,Elementary,Secondary,,,,,,,,,,,,,,,,,,
"",,,,(Pre-primary,Primary,Secondary,,,,,,,,,,,,,,,,,
"",State /UT,Primary,(1 to 5),(1-8),(9-10),,,,,,,,,,,,,,,,,,
"",,,,to 12),(6-8),(11-12),,,,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),
"",ndia,,27039457,391597,5413098,7443846,12856944,7632234,6158682,,,,,,,,,,,,,,
Andaman and Nicobar Islands,1891,36,491,441,932,371,552,,,,,,,,,,,,,,,,
Andhra Pradesh,211692,328,77156,50076,127232,33103,51029,,,,,,,,,,,,,,,,
Arunachal Pradesh,20860,856,10401,5783,16184,2844,976,,,,,,,,,,,,,,,,
Assam,381954,632,2375,216948,219323,90653,71346,,,,,,,,,,,,,,,,
Bihar,197306,476,47755,56653,104408,57715,34707,,,,,,,,,,,,,,,,
Chandigarh,8800,373,2158,1618,3776,1377,3274,,,,,,,,,,,,,,,,
Chhattisgarh,74249,531,27247,18476,45723,12660,15335,,,,,,,,,,,,,,,,
"Dadra and Nagar Haveli andDaman and Diu",7109,0,1527,2416,3943,1544,1622,,,,,,,,,,,,,,,,
Delhi,150909,1016,39738,48726,88464,31990,29439,,,,,,,,,,,,,,,,
Goa,222937,14711,73337,60078,133415,39402,35409,,,,,,,,,,,,,,,,
Gujarat,1814425,1424,52449,88311,140760,1036120,636121,,,,,,,,,,,,,,,,
Haryana,9146,296,2458,2126,4584,1903,2363,,,,,,,,,,,,,,,,
Himachal Pradesh,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jammu and Kashmir,209,47,86,43,129,33,0,,,,,,,,,,,,,,,,
Jharkhand,315854,6491,140452,96911,237363,51747,20253,,,,,,,,,,,,,,,,
Karnataka,1492350,4288,378536,391496,770032,497449,220581,,,,,,,,,,,,,,,,
Kerala,2828548,192159,1001380,738361,1739741,507520,389128,,,,,,,,,,,,,,,,
Ladakh,718,0,520,165,685,33,0,,,,,,,,,,,,,,,,
Lakshadweep,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Madhya Pradesh,111896,1347,34527,19317,53844,24103,32602,,,,,,,,,,,,,,,,
Maharashtra,10238929,99691,2291484,3098892,5390376,2583231,2165631,,,,,,,,,,,,,,,,
Manipur,30452,1157,17830,6602,24432,3798,1065,,,,,,,,,,,,,,,,
Meghalaya,384856,55220,135751,98761,234512,66978,28146,,,,,,,,,,,,,,,,
Mizoram,22096,0,1624,5665,7289,9421,5386,,,,,,,,,,,,,,,,
Nagaland,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Odisha,858901,119,24873,127036,151909,364952,341921,,,,,,,,,,,,,,,,
Puducherry,24198,1031,8423,7036,15459,5271,2437,,,,,,,,,,,,,,,,
Punjab,191635,2719,54128,47546,101674,38719,48523,,,,,,,,,,,,,,,,
Rajasthan,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sikkim,3971,216,923,1210,2133,853,769,,,,,,,,,,,,,,,,
Tamil Nadu,2239360,2597,685037,656268,1341305,472193,423265,,,,,,,,,,,,,,,,
Telangana,90601,1293,38576,25248,63824,16054,9430,,,,,,,,,,,,,,,,
Tripura,26799,138,7252,6241,13493,5508,7660,,,,,,,,,,,,,,,,
Uttar Pradesh,4886841,541,236524,1508645,1745169,1620725,1520406,,,,,,,,,,,,,,,,
Uttarakhand,156815,115,6646,48492,55138,48079,53483,,,,,,,,,,,,,,,,
West Bengal,33150,1749,11434,8259,19693,5885,5823,,,,,,,,,,,,,,,,
"Pre-Primary"
Pre-
Primary
"Primary(1 to 5)"
Primary
(1 to 5)
"Elementary(1-8)"
Elementary
(1-8)
"Secondary(9-10)"
Secondary
(9-10)
