"India/State /UT",Number of teachers by Gender and Classes Taught – Others,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,19346,15740,35086,51022,36105,87127,2583,1733,4316
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0
Andhra Pradesh,105,168,273,26,52,78,8,7,15
Arunachal Pradesh,27,24,51,36,18,54,0,0,0
Assam,69,37,106,2019,854,2873,201,107,308
Bihar,7650,4174,11824,24480,14564,39044,323,137,460
Chandigarh,6,36,42,13,53,66,2,17,19
Chhattisgarh,19,30,49,98,175,273,0,0,0
"Dadra and Nagar Haveli andDaman and Diu",2,0,2,2,0,2,0,0,0
Delhi,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0
Gujarat,0,0,0,1,5,6,1,0,1
Haryana,150,374,524,507,1081,1588,8,20,28
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,60,40,100,80,80,160,12,1,13
Jharkhand,4933,4266,9199,9190,6962,16152,532,287,819
Karnataka,2,2,4,6,3,9,0,11,11
Kerala,35,343,378,120,1698,1818,13,71,84
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,278,453,731,1102,1839,2941,2,8,10
Maharashtra,71,195,266,216,487,703,37,63,100
Manipur,122,125,247,119,65,184,0,0,0
Meghalaya,43,140,183,57,162,219,24,84,108
Mizoram,24,34,58,35,33,68,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,465,1284,1749,332,474,806,109,102,211
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,0,0,0,17,7,24,0,1,1
Rajasthan,325,205,530,546,329,875,81,40,121
Sikkim,0,0,0,0,0,0,0,0,0
Tamil Nadu,60,344,404,60,417,477,13,44,57
Telangana,30,58,88,7,8,15,1,0,1
Tripura,6,6,12,40,6,46,15,0,15
Uttar Pradesh,4429,3089,7518,10457,6048,16505,1139,679,1818
Uttarakhand,42,54,96,263,224,487,4,6,10
West Bengal,393,259,652,1193,461,1654,58,48,106
