"",Enrolment – Others,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,137476,140638,278114,46081,50816,96897,3251707,2892013,6143720,3556476,3128101,6684577
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,164,244,408,0,0,0,6968,7880,14848,7017,7939,14956
Arunachal Pradesh,0,0,0,0,0,0,2042,1596,3638,2591,2083,4674
Assam,18695,22138,40833,9706,10771,20477,136173,139326,275499,143423,146777,290200
Bihar,23204,28152,51356,14598,18835,33433,960480,825164,1785644,1073911,905773,1979684
Chandigarh,41,30,71,7,9,16,2609,1767,4376,3606,2546,6152
Chhattisgarh,0,0,0,0,0,0,7026,5269,12295,7026,5269,12295
"Dadra and Nagar Haveli andDaman and Diu",0,0,0,0,0,0,0,0,0,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,145,150,295,22,99,121,534,674,1208,534,674,1208
Haryana,555,349,904,161,165,326,57913,42197,100110,70239,51943,122182
Himachal Pradesh,0,0,0,0,0,0,38,31,69,38,31,69
Jammu and Kashmir,193,279,472,0,55,55,4580,3379,7959,5734,4300,10034
Jharkhand,20155,17593,37748,1266,1577,2843,527539,402270,929809,627241,477300,1104541
Karnataka,96,126,222,0,0,0,493,342,835,505,352,857
Kerala,505,554,1059,133,231,364,44205,39527,83732,57123,51208,108331
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,32,42,74,14,23,37,52951,50395,103346,53324,50815,104139
Maharashtra,2675,1927,4602,663,68,731,51871,40815,92686,56987,45280,102267
Manipur,0,0,0,0,0,0,5823,5458,11281,8263,7677,15940
Meghalaya,2348,3310,5658,954,1375,2329,14568,16518,31086,20229,21736,41965
Mizoram,579,618,1197,322,331,653,3042,2977,6019,3651,3600,7251
Nagaland,0,0,0,0,0,0,23,32,55,39,47,86
Odisha,4051,3352,7403,1066,881,1947,54028,40976,95004,57810,43933,101743
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,0,0,0,0,0,0,571,326,897,670,362,1032
Rajasthan,1396,1512,2908,507,531,1038,86789,81472,168261,87866,82426,170292
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,991,812,1803,581,455,1036,20644,17687,38331,25092,21707,46799
Telangana,16,2,18,0,0,0,3049,3397,6446,3130,3473,6603
Tripura,254,56,310,113,23,136,7268,5050,12318,8781,6358,15139
Uttar Pradesh,58100,55872,113972,14661,14015,28676,1081392,1053913,2135305,1085090,1057408,2142498
Uttarakhand,1499,1907,3406,886,696,1582,37939,34767,72706,38382,35207,73589
West Bengal,1782,1613,3395,421,676,1097,81149,68808,149957,108174,91877,200051
