"India/State/ UT",Number of Secondary Schools,"Number of Secondary schools having vocationalcourses under NSQF at Secondary level",Total enrolment under NSQF at Secondary level,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,150452,59416,24121,63297,3618,2436,2404,32,0,0,196054,193326,2728,0,0
Andaman and Nicobar Islands,53,46,0,7,0,24,24,0,0,0,793,793,0,0,0
Andhra Pradesh,11877,6156,369,5337,15,232,232,0,0,0,20055,20055,0,0,0
Arunachal Pradesh,319,207,25,87,0,0,0,0,0,0,0,0,0,0,0
Assam,7290,3405,845,2532,508,5,5,0,0,0,449,449,0,0,0
Bihar,3855,2270,246,1101,238,0,0,0,0,0,0,0,0,0,0
Chandigarh,71,54,0,14,3,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2737,1938,11,788,0,1,1,0,0,0,80,80,0,0,0
"Dadra and Nagar Haveli andDaman and Diu",45,26,5,14,0,0,0,0,0,0,0,0,0,0,0
Delhi,357,97,25,235,0,5,5,0,0,0,1485,1485,0,0,0
Goa,420,80,320,20,0,108,79,29,0,0,6029,3834,2195,0,0
Gujarat,4638,1187,1844,1606,1,84,81,3,0,0,4369,3836,533,0,0
Haryana,3009,1104,4,1879,22,19,19,0,0,0,2333,2333,0,0,0
Himachal Pradesh,1728,942,0,786,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,3150,1753,1,1387,9,400,400,0,0,0,13644,13644,0,0,0
Jharkhand,3191,1771,143,788,489,4,4,0,0,0,504,504,0,0,0
Karnataka,15385,5051,3503,6825,6,71,71,0,0,0,2612,2612,0,0,0
Kerala,1941,292,486,1083,80,0,0,0,0,0,0,0,0,0,0
Ladakh,112,84,1,27,0,8,8,0,0,0,463,463,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,8306,4886,35,3383,2,0,0,0,0,0,0,0,0,0,0
Maharashtra,17741,1514,10526,5617,84,367,367,0,0,0,31869,31869,0,0,0
Manipur,958,373,88,497,0,47,47,0,0,0,2761,2761,0,0,0
Meghalaya,1462,95,604,603,160,33,33,0,0,0,1667,1667,0,0,0
Mizoram,706,302,137,237,30,32,32,0,0,0,3049,3049,0,0,0
Nagaland,576,255,0,321,0,5,5,0,0,0,530,530,0,0,0
Odisha,9497,5277,3333,789,98,879,879,0,0,0,97858,97858,0,0,0
Puducherry,190,73,18,99,0,5,5,0,0,0,386,386,0,0,0
Punjab,4186,1726,74,2385,1,0,0,0,0,0,0,0,0,0,0
Rajasthan,10775,3758,0,6991,26,0,0,0,0,0,0,0,0,0,0
Sikkim,150,122,3,25,0,105,105,0,0,0,5110,5110,0,0,0
Tamil Nadu,5499,3105,587,1794,13,0,0,0,0,0,0,0,0,0,0
Telangana,12045,5656,257,6130,2,0,0,0,0,0,0,0,0,0,0
Tripura,702,605,4,90,3,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,12783,1508,557,8977,1741,0,0,0,0,0,0,0,0,0,0
Uttarakhand,1407,930,61,381,35,0,0,0,0,0,0,0,0,0,0
West Bengal,3291,2768,9,462,52,2,2,0,0,0,8,8,0,0,0
