"India/State /UT",Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,4630391,4876732,9507123,17776,92924,110700,172347,196222,368569,1519917,1922061,3441978
Andaman and Nicobar Islands,1805,3476,5281,42,180,222,17,85,102,525,1236,1761
Andhra Pradesh,158677,162047,320724,17,317,334,374,1673,2047,50137,68996,119133
Arunachal Pradesh,12205,11502,23707,12,118,130,123,290,413,4595,4811,9406
Assam,208192,144752,352944,145,823,968,3391,3912,7303,81301,62227,143528
Bihar,348160,234716,582876,307,1034,1341,975,1861,2836,99087,89346,188433
Chandigarh,1816,7529,9345,3,446,449,8,106,114,508,2087,2595
Chhattisgarh,135873,124909,260782,89,1747,1836,654,2783,3437,56860,52921,109781
"Dadra and Nagar Haveli andDaman and Diu",1604,2885,4489,0,131,131,1,10,11,595,1232,1827
Delhi,40152,111448,151600,85,7188,7273,0,0,0,10154,41670,51824
Goa,2697,11139,13836,0,274,274,7,62,69,347,3869,4216
Gujarat,174389,203729,378118,70,1567,1637,428,2559,2987,63999,95934,159933
Haryana,89050,148544,237594,31,2215,2246,57,864,921,28788,57811,86599
Himachal Pradesh,48190,51947,100137,31,949,980,329,1039,1368,12798,15355,28153
Jammu and Kashmir,86779,80327,167106,253,2558,2811,2706,4615,7321,30981,31560,62541
Jharkhand,127297,83121,210418,105,976,1081,863,1799,2662,55384,37993,93377
Karnataka,180182,251204,431386,39,2767,2806,168,1912,2080,33106,72081,105187
Kerala,55188,213285,268473,90,10407,10497,16,300,316,13277,72578,85855
Ladakh,3033,3122,6155,32,117,149,105,134,239,655,1111,1766
Lakshadweep,383,423,806,4,33,37,0,2,2,116,155,271
Madhya Pradesh,317981,283227,601208,401,3959,4360,1451,5395,6846,133064,105859,238923
Maharashtra,386196,362393,748589,95,2805,2900,438,2313,2751,145575,172917,318492
Manipur,19504,23180,42684,33,382,415,392,1434,1826,7039,9745,16784
Meghalaya,22933,32227,55160,63,461,524,964,2428,3392,8538,13462,22000
Mizoram,12356,11010,23366,9,106,115,52,124,176,3376,4300,7676
Nagaland,13954,17448,31402,32,322,354,348,611,959,5198,6962,12160
Odisha,177442,153894,331336,30,486,516,165,770,935,60381,64785,125166
Puducherry,3081,9274,12355,2,563,565,13,177,190,559,3443,4002
Punjab,63701,193433,257134,323,6697,7020,3484,11290,14774,13618,55779,69397
Rajasthan,437175,287350,724525,513,5488,6001,3485,8584,12069,113812,97925,211737
Sikkim,5443,8170,13613,46,684,730,39,188,227,2478,3694,6172
Tamil Nadu,142317,427603,569920,165,8193,8358,135,4325,4460,29008,167576,196584
Telangana,126479,194415,320894,197,5147,5344,1996,7612,9608,31815,66956,98771
Tripura,23699,12734,36433,40,113,153,182,295,477,10650,5021,15671
Uttar Pradesh,819073,688755,1507828,271,4370,4641,1275,4445,5720,383973,387992,771965
Uttarakhand,55448,67764,123212,28,1036,1064,187,1146,1333,17141,30345,47486
West Bengal,327937,253750,581687,14173,18265,32438,147519,121079,268598,10479,12327,22806
