"India/State/ UT",Total Schools,Number of schools with ramps for CWSN,Percentage of Schools with ramps for CWSN,,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),,(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1489115,1022386,82480,335844,48405,,1069795,840062,52621,163635,13477,71.8,82.2,63.8,48.7,27.8
Andaman and Nicobar Islands,416,342,2,72,0,,261,238,0,23,0,62.7,69.6,0,31.9,0
Andhra Pradesh,61948,45137,1542,15058,211,,33306,27232,573,5441,60,53.8,60.3,37.2,36.1,28.4
Arunachal Pradesh,3603,2985,68,503,47,,884,776,14,85,9,24.5,26,20.6,16.9,19.2
Assam,60859,45490,3841,5852,5676,,42188,40760,362,839,227,69.3,89.6,9.4,14.3,4
Bihar,93165,75558,742,8097,8768,,66179,59611,356,3120,3092,71,78.9,48,38.5,35.3
Chandigarh,233,123,7,76,27,,204,119,6,69,10,87.6,96.8,85.7,90.8,37
Chhattisgarh,56512,48743,417,7063,289,,47177,43137,251,3682,107,83.5,88.5,60.2,52.1,37
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,,427,386,8,32,1,92.8,99.5,100,50.8,100
Delhi,5619,2762,247,2610,0,,5619,2762,247,2610,0,100,100,100,100,0
Goa,1510,814,557,139,0,,917,722,160,35,0,60.7,88.7,28.7,25.2,0
Gujarat,53851,34699,5590,13559,3,,44126,33490,3727,6906,3,81.9,96.5,66.7,50.9,100
Haryana,23726,14562,16,8261,887,,17236,12354,9,4555,318,72.7,84.8,56.3,55.1,35.9
Himachal Pradesh,18028,15380,0,2646,2,,13987,13402,0,585,0,77.6,87.1,0,22.1,0
Jammu and Kashmir,28805,23173,1,5526,105,,11334,10238,0,1080,16,39.4,44.2,0,19.5,15.2
Jharkhand,44855,35840,1175,1559,6281,,28803,26482,328,578,1415,64.2,73.9,27.9,37.1,22.5
Karnataka,76450,49679,7110,19650,11,,53834,41290,3777,8765,2,70.4,83.1,53.1,44.6,18.2
Kerala,16240,5010,7183,3164,883,,12675,4558,6415,1363,339,78.1,91,89.3,43.1,38.4
Ladakh,978,838,28,112,0,,770,725,6,39,0,78.7,86.5,21.4,34.8,0
Lakshadweep,38,38,0,0,0,,36,36,0,0,0,94.7,94.7,0,0,0
Madhya Pradesh,125582,92695,740,30345,1802,,100824,79711,573,19765,775,80.3,86,77.4,65.1,43
Maharashtra,109605,65639,24037,19268,661,,101637,63278,21895,16065,399,92.7,96.4,91.1,83.4,60.4
Manipur,4617,2889,583,1010,135,,2291,1933,165,180,13,49.6,66.9,28.3,17.8,9.6
Meghalaya,14600,7783,4172,2120,525,,4436,3465,685,229,57,30.4,44.5,16.4,10.8,10.9
Mizoram,3911,2563,230,1034,84,,1732,1543,57,123,9,44.3,60.2,24.8,11.9,10.7
Nagaland,2718,1960,0,757,1,,1029,911,0,118,0,37.9,46.5,0,15.6,0
Odisha,62291,49072,5807,6104,1308,,50128,42392,2279,4609,848,80.5,86.4,39.3,75.5,64.8
Puducherry,736,422,33,281,0,,481,387,6,88,0,65.4,91.7,18.2,31.3,0
Punjab,27701,19259,450,7978,14,,24849,18048,333,6454,14,89.7,93.7,74,80.9,100
Rajasthan,106373,68948,0,34826,2599,,69459,51103,0,17950,406,65.3,74.1,0,51.5,15.6
Sikkim,1259,864,19,376,0,,366,317,3,46,0,29.1,36.7,15.8,12.2,0
Tamil Nadu,58801,37636,8323,12396,446,,43520,33691,5307,4389,133,74,89.5,63.8,35.4,29.8
Telangana,43083,30023,700,12193,167,,32393,23777,204,8343,69,75.2,79.2,29.1,68.4,41.3
Tripura,4929,4262,43,363,261,,3105,2887,27,96,95,63,67.7,62.8,26.5,36.4
Uttar Pradesh,258054,137024,8113,97808,15109,,166323,115655,4595,41471,4602,64.5,84.4,56.6,42.4,30.5
Uttarakhand,22815,16484,608,5225,498,,14072,12339,203,1395,135,61.7,74.9,33.4,26.7,27.1
West Bengal,94744,83302,88,9750,1604,,73187,70307,50,2507,323,77.3,84.4,56.8,25.7,20.1
