"India/State/ UT",Enrolment of age group 11-13 years,,,,,
"",All,Primary (1 to 5),,,,
"",Boys,Girls,Total,Boys,Girls,Total
(1),(38),(39),(40),(41),(42),(43)
India,33676967,31381268,65058235,1891861,1608132,3499993
Andaman and Nicobar Islands,8833,8460,17293,560,448,1008
Andhra Pradesh,1109852,1026512,2136364,60542,35659,96201
Arunachal Pradesh,40169,41459,81628,4609,4336,8945
Assam,866406,938931,1805337,28815,27747,56562
Bihar,3817518,3808948,7626466,61976,56409,118385
Chandigarh,33421,29094,62515,3138,2414,5552
Chhattisgarh,702239,688953,1391192,30753,26511,57264
"Dadra and Nagar Haveli andDaman and Diu",19225,17203,36428,2538,1973,4511
Delhi,593434,506578,1100012,30783,28848,59631
Goa,36415,33889,70304,2248,2118,4366
Gujarat,1570270,1372756,2943026,57311,47938,105249
Haryana,805528,664482,1470010,70651,53190,123841
Himachal Pradesh,171843,157851,329694,4213,3374,7587
Jammu and Kashmir,289453,262992,552445,13883,12060,25943
Jharkhand,1046125,1036857,2082982,48236,43983,92219
Karnataka,1628601,1535295,3163896,38966,26302,65268
Kerala,793110,755722,1548832,23248,20129,43377
Ladakh,5672,6057,11729,630,616,1246
Lakshadweep,1441,1307,2748,75,83,158
Madhya Pradesh,1990085,1832319,3822404,152395,130064,282459
Maharashtra,3047772,2695915,5743687,238580,193583,432163
Manipur,76527,75136,151663,6575,6077,12652
Meghalaya,112063,123979,236042,29087,28004,57091
Mizoram,34062,33497,67559,5688,5186,10874
Nagaland,46717,47382,94099,6956,6875,13831
Odisha,1000897,950589,1951486,11497,10260,21757
Puducherry,30829,29548,60377,260,173,433
Punjab,710947,615620,1326567,146565,110768,257333
Rajasthan,2188202,1899278,4087480,206788,179992,386780
Sikkim,14234,13877,28111,2189,1534,3723
Tamil Nadu,1612085,1525034,3137119,11068,7380,18448
Telangana,922428,861151,1783579,91629,57935,149564
Tripura,88215,87670,175885,2361,2126,4487
Uttar Pradesh,5829622,5322353,11151975,302032,282284,584316
Uttarakhand,305798,273639,579437,21146,18106,39252
West Bengal,2126929,2100935,4227864,173870,173647,347517
