"India/State/ UT","TotalSchools","Schools forwhichaffiliationboard is NotApplicable upto elementary",Affiliation Board at Secondary Level,Affiliation Board at Higher Secondary Level,,,,,,,,,,
"",,,"Affiliationboard notapplicable forsecondaryandapplicable forhighersecondary","StateGovernment.Board",CBSE,"BothCBSEand State",ICSE,Others,"Affiliationboard notapplicablefor highersecondary","StateGovernment.Board",CBSE,"BothCBSEand State",ICSE,Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15)
India,1489115,1196265,16010,150452,247889,21943,351,2193,3620,123759,14883,207,974,2303
Andaman and Nicobar Islands,416,294,0,53,0,121,0,1,0,0,68,0,1,0
Andhra Pradesh,61948,46907,2596,11877,12050,324,10,52,9,3023,30,6,0,105
Arunachal Pradesh,3603,3120,0,319,8,455,6,13,1,0,160,2,2,0
Assam,60859,51154,868,7290,8353,338,12,4,123,2144,191,4,2,68
Bihar,93165,80690,526,3855,10436,980,49,31,409,7481,599,45,12,463
Chandigarh,233,60,0,71,0,164,0,5,4,0,99,0,2,1
Chhattisgarh,56512,49165,10,2737,6817,473,10,22,14,4168,411,7,11,12
"Dadra and Nagar Haveli andDaman and Diu",460,361,3,45,77,18,0,0,1,37,16,0,0,1
Delhi,5619,3420,0,357,0,2171,0,2,26,0,1815,0,1,26
Goa,1510,967,106,420,410,17,0,5,5,107,12,0,2,2
Gujarat,53851,41087,765,4638,11420,523,8,32,16,7729,353,5,21,18
Haryana,23726,15139,2,3009,6697,1848,7,23,10,3978,1570,8,12,10
Himachal Pradesh,18028,13762,7,1728,3893,304,3,23,36,2285,218,1,14,20
Jammu and Kashmir,28805,24389,4,3150,4256,148,1,2,5,1147,117,0,1,1
Jharkhand,44855,39907,314,3191,3884,475,11,114,142,1353,323,1,49,28
Karnataka,76450,55394,3805,15385,15734,1102,13,369,32,5232,321,7,80,31
Kerala,16240,11327,59,1941,3241,1373,3,159,78,2195,679,3,63,32
Ladakh,978,816,1,112,90,65,2,0,3,24,24,1,0,1
Lakshadweep,38,25,0,0,5,3,5,0,0,11,2,0,0,0
Madhya Pradesh,125582,107519,11,8306,16676,1255,23,33,58,8619,1033,18,24,58
Maharashtra,109605,80993,2597,17741,24292,1280,25,264,151,10085,589,25,64,106
Manipur,4617,3388,67,958,1076,77,0,1,8,210,57,0,1,3
Meghalaya,14600,12752,210,1462,1545,28,1,7,57,356,22,0,3,5
Mizoram,3911,3000,196,706,698,17,0,0,0,197,8,0,0,0
Nagaland,2718,1944,13,576,688,36,1,1,35,170,20,0,1,7
Odisha,62291,50375,1880,9497,9252,681,1,96,3,1871,459,2,24,62
Puducherry,736,349,6,190,333,41,0,2,5,168,26,0,2,1
Punjab,27701,18178,159,4186,7731,1435,1,172,25,4201,1061,0,60,15
Rajasthan,106373,74967,2,10775,29961,1234,37,15,157,19466,1026,19,9,111
Sikkim,1259,992,0,150,0,250,0,9,8,0,106,0,5,6
Tamil Nadu,58801,44305,16,5499,14480,0,0,0,0,8997,0,0,0,0
Telangana,43083,28399,1714,12045,12551,385,0,34,0,2549,82,0,8,0
Tripura,4929,3748,0,702,1058,101,3,4,15,397,73,1,2,6
Uttar Pradesh,258054,224508,31,12783,27280,3149,84,305,1946,16867,2448,30,233,954
Uttarakhand,22815,18830,23,1407,3064,716,26,101,38,1833,616,19,74,33
West Bengal,94744,84034,19,3291,9833,356,9,292,200,6859,249,3,191,117
