"India/State/ UT",New Admissions in Class 1 – Others,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"","sameschool","anotherschool","anganwadi/ECCEcentre","sameschool","anotherschool","anganwadi/ECCEcentre","sameschool","anotherschool","anganwadi/ECCEcentre",,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,734338,126446,50466,21279,394501,69317,27773,11289,339837,57129,22693,9990
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,859,228,105,58,430,115,54,17,429,113,51,41
Arunachal Pradesh,501,292,20,26,286,164,12,16,215,128,8,10
Assam,35920,7745,2034,4928,18088,3867,1027,2478,17832,3878,1007,2450
Bihar,221105,18943,10474,4062,122540,11004,6023,2208,98565,7939,4451,1854
Chandigarh,700,540,45,2,389,304,24,1,311,236,21,1
Chhattisgarh,1411,32,173,190,793,15,93,117,618,17,80,73
"Dadra and Nagar Haveli andDaman and Diu",0,0,0,0,0,0,0,0,0,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,99,0,0,0,54,0,0,0,45,0,0,0
Haryana,14617,5092,1792,393,8500,2957,1024,229,6117,2135,768,164
Himachal Pradesh,5,0,0,0,3,0,0,0,2,0,0,0
Jammu and Kashmir,901,362,45,43,531,217,37,21,370,145,8,22
Jharkhand,84494,29177,12226,3892,47969,16502,7091,2224,36525,12675,5135,1668
Karnataka,62,15,20,25,50,8,20,20,12,7,0,5
Kerala,15236,8536,1179,163,8032,4456,646,87,7204,4080,533,76
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,9118,688,826,520,4568,350,414,265,4550,338,412,255
Maharashtra,11620,4274,1291,135,6181,2234,669,61,5439,2040,622,74
Manipur,2224,1233,503,48,1155,642,262,31,1069,591,241,17
Meghalaya,4314,3931,296,13,2203,2023,146,5,2111,1908,150,8
Mizoram,617,382,29,28,312,197,17,14,305,185,12,14
Nagaland,10,6,4,0,5,3,2,0,5,3,2,0
Odisha,9505,3305,868,689,5386,1907,441,395,4119,1398,427,294
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,62,0,20,0,56,0,20,0,6,0,0,0
Rajasthan,26707,992,1203,936,13694,511,648,474,13013,481,555,462
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,6565,5931,524,110,3501,3138,306,57,3064,2793,218,53
Telangana,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2102,393,36,527,1172,221,24,284,930,172,12,243
Uttar Pradesh,243550,9137,11264,3298,126154,4877,5915,1672,117396,4260,5349,1626
Uttarakhand,9314,246,1942,842,4899,135,1028,414,4415,111,914,428
West Bengal,32720,24966,3547,351,17550,13470,1830,199,15170,11496,1717,152
