"India/State/ UT",Enrolment – Government Aided,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,4011259,3620975,7632234,3234985,2923697,6158682,13796981,12850879,26647860,13993799,13045658,27039457
Andaman and Nicobar Islands,199,172,371,293,259,552,961,894,1855,983,908,1891
Andhra Pradesh,15039,18064,33103,25050,25979,51029,101817,109547,211364,101995,109697,211692
Arunachal Pradesh,1458,1386,2844,511,465,976,10187,9817,20004,10612,10248,20860
Assam,40433,50220,90653,34028,37318,71346,177167,204155,381322,177473,204481,381954
Bihar,28980,28735,57715,15815,18892,34707,94810,102020,196830,95122,102184,197306
Chandigarh,769,608,1377,2147,1127,3274,4789,3638,8427,4970,3830,8800
Chhattisgarh,6185,6475,12660,7440,7895,15335,37063,36655,73718,37314,36935,74249
"Dadra and Nagar Haveli andDaman and Diu",839,705,1544,796,826,1622,3812,3297,7109,3812,3297,7109
Delhi,17257,14733,31990,16287,13152,29439,78328,71565,149893,78837,72072,150909
Goa,20357,19045,39402,17692,17717,35409,106683,101543,208226,113993,108944,222937
Gujarat,550415,485705,1036120,324930,311191,636121,951402,861599,1813001,952129,862296,1814425
Haryana,896,1007,1903,1011,1352,2363,4139,4711,8850,4287,4859,9146
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,19,14,33,0,0,0,80,82,162,100,109,209
Jharkhand,23091,28656,51747,9043,11210,20253,142506,166857,309363,145658,170196,315854
Karnataka,252831,244618,497449,115656,104925,220581,764769,723293,1488062,767111,725239,1492350
Kerala,259165,248355,507520,188835,200293,389128,1326903,1309486,2636389,1423814,1404734,2828548
Ladakh,9,24,33,0,0,0,491,227,718,491,227,718
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,13190,10913,24103,18617,13985,32602,58526,52023,110549,59267,52629,111896
Maharashtra,1351687,1231544,2583231,1136083,1029548,2165631,5303071,4836167,10139238,5352720,4886209,10238929
Manipur,1872,1926,3798,630,435,1065,14743,14552,29295,15340,15112,30452
Meghalaya,30286,36692,66978,11789,16357,28146,155729,173907,329636,183878,200978,384856
Mizoram,4370,5051,9421,2488,2898,5386,10380,11716,22096,10380,11716,22096
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,185111,179841,364952,167903,174018,341921,430853,427929,858782,430906,427995,858901
Puducherry,1994,3277,5271,601,1836,2437,8508,14659,23167,8857,15341,24198
Punjab,21583,17136,38719,29409,19114,48523,104702,84214,188916,105972,85663,191635
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,301,552,853,224,545,769,1350,2405,3755,1427,2544,3971
Tamil Nadu,230994,241199,472193,191411,231854,423265,1078131,1158632,2236763,1079449,1159911,2239360
Telangana,5713,10341,16054,3852,5578,9430,34831,54477,89308,35353,55248,90601
Tripura,3226,2282,5508,4307,3353,7660,15004,11657,26661,15077,11722,26799
Uttar Pradesh,914234,706491,1620725,876601,643805,1520406,2677697,2208603,4886300,2677985,2208856,4886841
Uttarakhand,25472,22607,48079,28064,25419,53483,80355,76345,156700,80409,76406,156815
West Bengal,3284,2601,5885,3472,2351,5823,17194,14207,31401,18078,15072,33150
