"India/State/ UT",Total Schools,"Schools having functional Smart Classrooms used forteaching with Digital Boards/ Smart Boards/ VirtualClassrooms/ Smart TV availability","Percentage of Schools having functional SmartClassrooms used for teaching with Digital Boards/ SmartBoards/ Virtual Classrooms/ Smart TV availability",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1489115,1022386,82480,335844,48405,222155,147670,10531,60536,3418,14.9,14.4,12.8,18,7.1
Andaman and Nicobar Islands,416,342,2,72,0,155,132,0,23,0,37.3,38.6,0,31.9,0
Andhra Pradesh,61948,45137,1542,15058,211,11171,5982,79,5093,17,18,13.3,5.1,33.8,8.1
Arunachal Pradesh,3603,2985,68,503,47,334,221,13,97,3,9.3,7.4,19.1,19.3,6.4
Assam,60859,45490,3841,5852,5676,1469,991,11,463,4,2.4,2.2,0.3,7.9,0.1
Bihar,93165,75558,742,8097,8768,4293,2291,37,1393,572,4.6,3,5,17.2,6.5
Chandigarh,233,123,7,76,27,96,25,5,55,11,41.2,20.3,71.4,72.4,40.7
Chhattisgarh,56512,48743,417,7063,289,3358,2461,10,885,2,5.9,5.1,2.4,12.5,0.7
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,96,63,5,28,0,20.9,16.2,62.5,44.4,0
Delhi,5619,2762,247,2610,0,2447,1050,46,1351,0,43.6,38,18.6,51.8,0
Goa,1510,814,557,139,0,140,20,99,21,0,9.3,2.5,17.8,15.1,0
Gujarat,53851,34699,5590,13559,3,11816,6940,1166,3709,1,21.9,20,20.9,27.4,33.3
Haryana,23726,14562,16,8261,887,4171,2013,1,2068,89,17.6,13.8,6.3,25,10
Himachal Pradesh,18028,15380,0,2646,2,2393,1679,0,714,0,13.3,10.9,0,27,0
Jammu and Kashmir,28805,23173,1,5526,105,2346,1490,0,852,4,8.1,6.4,0,15.4,3.8
Jharkhand,44855,35840,1175,1559,6281,1999,1065,32,436,466,4.5,3,2.7,28,7.4
Karnataka,76450,49679,7110,19650,11,8016,2510,687,4817,2,10.5,5.1,9.7,24.5,18.2
Kerala,16240,5010,7183,3164,883,6259,1956,2410,1678,215,38.5,39,33.6,53,24.4
Ladakh,978,838,28,112,0,149,120,0,29,0,15.2,14.3,0,25.9,0
Lakshadweep,38,38,0,0,0,18,18,0,0,0,47.4,47.4,0,0,0
Madhya Pradesh,125582,92695,740,30345,1802,6510,2126,44,4319,21,5.2,2.3,6,14.2,1.2
Maharashtra,109605,65639,24037,19268,661,18997,8384,4867,5651,95,17.3,12.8,20.3,29.3,14.4
Manipur,4617,2889,583,1010,135,280,74,2,199,5,6.1,2.6,0.3,19.7,3.7
Meghalaya,14600,7783,4172,2120,525,336,42,182,89,23,2.3,0.5,4.4,4.2,4.4
Mizoram,3911,2563,230,1034,84,25,16,4,4,1,0.6,0.6,1.7,0.4,1.2
Nagaland,2718,1960,0,757,1,327,204,0,122,1,12,10.4,0,16.1,100
Odisha,62291,49072,5807,6104,1308,3509,2075,381,935,118,5.6,4.2,6.6,15.3,9
Puducherry,736,422,33,281,0,290,147,17,126,0,39.4,34.8,51.5,44.8,0
Punjab,27701,19259,450,7978,14,14921,11779,65,3077,0,53.9,61.2,14.4,38.6,0
Rajasthan,106373,68948,0,34826,2599,6854,2803,0,3982,69,6.4,4.1,0,11.4,2.7
Sikkim,1259,864,19,376,0,318,245,2,71,0,25.3,28.4,10.5,18.9,0
Tamil Nadu,58801,37636,8323,12396,446,0,0,0,0,0,0,0,0,0,0
Telangana,43083,30023,700,12193,167,1525,752,24,747,2,3.5,2.5,3.4,6.1,1.2
Tripura,4929,4262,43,363,261,211,139,5,64,3,4.3,3.3,11.6,17.6,1.2
Uttar Pradesh,258054,137024,8113,97808,15109,10599,3611,215,6691,82,4.1,2.6,2.7,6.8,0.5
Uttarakhand,22815,16484,608,5225,498,2085,1019,35,1021,10,9.1,6.2,5.8,19.5,2
West Bengal,94744,83302,88,9750,1604,94642,83227,87,9726,1602,99.9,99.9,98.9,99.8,99.9
