"India/State/ UT",Enrolment – All Types of Management,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,20071918,18456713,38528631,14747732,13831318,28579050,132849055,122891568,255740623,137900578,127335252,265235830
Andaman and Nicobar Islands,5976,5834,11810,5730,5753,11483,34087,32889,66976,37536,36325,73861
Andhra Pradesh,694292,646958,1341250,466603,465576,932179,4236067,3931189,8167256,4278015,3966632,8244647
Arunachal Pradesh,22471,22984,45455,16377,17483,33860,163819,164487,328306,177336,177046,354382
Assam,465492,539190,1004682,264216,281536,545752,3491251,3610321,7101572,3720048,3824912,7544960
Bihar,1804240,1814058,3618298,1023011,972054,1995065,13802553,13243885,27046438,14054053,13418639,27472692
Chandigarh,23967,19828,43795,23053,19670,42723,132204,114364,246568,143711,124916,268627
Chhattisgarh,410149,430023,840172,349429,395698,745127,2892710,2871520,5764230,3013246,2978951,5992197
"Dadra and Nagar Haveli andDaman and Diu",10087,8584,18671,7250,7390,14640,67330,60917,128247,70068,63290,133358
Delhi,386581,338694,725275,333718,314284,648002,2282356,2036126,4318482,2411323,2160784,4572107
Goa,24279,22587,46866,21181,20713,41894,145570,136856,282426,157027,147955,304982
Gujarat,959454,791062,1750516,621145,527749,1148894,6067875,5309710,11377585,6158736,5383540,11542276
Haryana,526975,425168,952143,423787,356503,780290,3170244,2621790,5792034,3306187,2729492,6035679
Himachal Pradesh,114016,102413,216429,116213,105818,222031,697619,634529,1332148,752697,684325,1437022
Jammu and Kashmir,182592,161893,344485,157488,136985,294473,1217924,1105471,2323395,1423914,1294730,2718644
Jharkhand,536799,552270,1089069,367113,376807,743920,3903186,3785021,7688207,4060838,3909912,7970750
Karnataka,1010732,959584,1970316,598618,605247,1203865,6092637,5734716,11827353,6234114,5858267,12092381
Kerala,511005,485085,996090,428740,442875,871615,2982480,2872468,5854948,3272192,3150928,6423120
Ladakh,3639,3943,7582,2975,3455,6430,24130,24940,49070,29663,30125,59788
Lakshadweep,986,887,1873,965,958,1923,6183,5821,12004,6997,6589,13586
Madhya Pradesh,1159009,1037499,2196508,867196,781974,1649170,8055356,7371930,15427286,8458385,7710880,16169265
Maharashtra,1996741,1738906,3735647,1550240,1354029,2904269,11678264,10382570,22060834,11954636,10632059,22586695
Manipur,45649,45356,91005,40185,39395,79580,320440,311031,631471,352199,340995,693194
Meghalaya,53164,64332,117496,27502,35542,63044,463013,491925,954938,572522,597198,1169720
Mizoram,19791,20814,40605,13360,14774,28134,139814,137523,277337,156216,153688,309904
Nagaland,28441,30280,58721,16067,17993,34060,183187,183988,367175,222509,221287,443796
Odisha,636275,610106,1246381,338141,352087,690228,3853640,3673877,7527517,3880763,3696130,7576893
Puducherry,20928,20074,41002,17669,18502,36171,119177,113851,233028,130772,124774,255546
Punjab,473876,394014,867890,426833,358064,784897,2894639,2457407,5352046,3319404,2828096,6147500
Rajasthan,1315438,1105136,2420574,1205746,983714,2189460,9176266,7998737,17175003,9451991,8215519,17667510
Sikkim,11331,11820,23151,7957,9862,17819,58495,57834,116329,68708,67255,135963
Tamil Nadu,1070118,1010024,2080142,884038,928942,1812980,6234611,5932689,12167300,6578995,6251956,12830951
Telangana,572937,545440,1118377,402633,400103,802736,3504309,3259340,6763649,3585691,3329550,6915241
Tripura,54715,55821,110536,39770,41916,81686,343607,340572,684179,359315,354547,713862
Uttar Pradesh,3395055,2828266,6223321,2620079,2158275,4778354,24647659,22126745,46774404,24875681,22305757,47181438
Uttarakhand,192364,173332,365696,172806,159590,332396,1244222,1111546,2355768,1296206,1153720,2449926
West Bengal,1332354,1434448,2766802,889898,1120002,2009900,8522131,8642983,17165114,9328884,9404483,18733367
