"India/State/ UT",Projected population by age group – Overall,,,,,,,,
"",Age 6-13,Age 14-15,Age 16-17,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,98740000,89654000,188392000,25179000,23246000,48425000,25896000,23751000,49647000
Andaman and Nicobar Islands,32890,30213,63103,9185,8026,17211,9249,8192,17441
Andhra Pradesh,3043000,2843000,5887000,805000,766000,1571000,845000,799000,1644000
Arunachal Pradesh,115408,111224,226632,34575,33767,68342,31873,31172,63044
Assam,2601000,2452000,5054000,686000,663000,1349000,695000,668000,1362000
Bihar,11538000,10735000,22274000,2858000,2714000,5573000,2875000,2686000,5561000
Chandigarh,101277,79553,180830,27929,20702,48631,30282,22007,52289
Chhattisgarh,2229000,2131000,4360000,545000,528000,1073000,556000,538000,1094000
"Dadra and Nagar Haveli andDaman and Diu",56916,48861,105777,14026,10868,24894,16205,10445,26650
Delhi,1320000,1111000,2429000,350000,302000,652000,366000,316000,683000
Goa,111954,100623,212576,30141,26353,56494,29739,27139,56878
Gujarat,4946000,4233000,9178000,1243000,1086000,2329000,1279000,1105000,2384000
Haryana,2155000,1779000,3933000,549000,456000,1005000,564000,469000,1033000
Himachal Pradesh,444000,398000,843000,122000,108000,230000,125000,111000,236000
Jammu and Kashmir,992000,877000,1869000,305000,264000,569000,295000,259000,554000
Jharkhand,3112000,2922000,6034000,809000,783000,1592000,817000,785000,1602000
Karnataka,4181000,3899000,8078000,1069000,1011000,2080000,1097000,1030000,2128000
Kerala,2016000,1931000,3948000,520000,498000,1017000,524000,501000,1025000
Ladakh,24918,22265,47183,6668,6235,12904,6696,6309,13005
Lakshadweep,5611,5596,11207,1524,1434,2958,1487,1597,3084
Madhya Pradesh,6780000,6283000,13064000,1624000,1516000,3140000,1670000,1543000,3213000
Maharashtra,7876000,6908000,14784000,2109000,1880000,3989000,2153000,1910000,4062000
Manipur,203252,188707,391959,61135,58627,119762,57411,56521,113932
Meghalaya,254265,243271,497535,69893,68140,138033,69767,67416,137183
Mizoram,77927,73759,151685,22226,21269,43495,23402,22490,45892
Nagaland,164262,149937,314199,49242,45129,94371,48676,46387,95063
Odisha,3016000,2847000,5863000,794000,757000,1552000,809000,775000,1585000
Puducherry,105434,96890,202324,28526,25382,53908,27342,25310,52652
Punjab,1822000,1553000,3375000,500000,413000,913000,526000,431000,956000
Rajasthan,6547000,5798000,12345000,1597000,1458000,3055000,1629000,1484000,3112000
Sikkim,41477,39652,81129,13137,12853,25991,14062,13693,27755
Tamil Nadu,4352000,4027000,8379000,1118000,1058000,2176000,1144000,1082000,2225000
Telangana,2292000,2102000,4396000,612000,577000,1189000,638000,600000,1239000
Tripura,232414,218475,450889,69808,66231,136039,75793,69353,145146
Uttar Pradesh,19316000,17162000,36478000,4713000,4272000,8984000,4967000,4467000,9434000
U   t t a  r a k  h  a nd,790000,675000,1464000,216000,191000,408000,224000,198000,422000
West Bengal,5844000,5579000,11422000,1597000,1540000,3137000,1656000,1586000,3242000
