"India/State/ UT",Total Schools,"Schools having PCs with functional IntegratedTeaching Learning Devices","Percentage of Schools having PCs with functionalIntegrated Teaching Learning Devices",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1489115,1022386,82480,335844,48405,99564,37112,10318,50316,1818,6.7,3.6,12.5,15,3.8
Andaman and Nicobar Islands,416,342,2,72,0,58,37,0,21,0,13.9,10.8,0,29.2,0
Andhra Pradesh,61948,45137,1542,15058,211,5432,1153,62,4197,20,8.8,2.6,4,27.9,9.5
Arunachal Pradesh,3603,2985,68,503,47,234,120,7,102,5,6.5,4,10.3,20.3,10.6
Assam,60859,45490,3841,5852,5676,1015,557,10,441,7,1.7,1.2,0.3,7.5,0.1
Bihar,93165,75558,742,8097,8768,1723,180,11,1055,477,1.9,0.2,1.5,13,5.4
Chandigarh,233,123,7,76,27,93,42,3,40,8,39.9,34.2,42.9,52.6,29.6
Chhattisgarh,56512,48743,417,7063,289,1507,733,12,758,4,2.7,1.5,2.9,10.7,1.4
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,51,21,3,27,0,11.1,5.4,37.5,42.9,0
Delhi,5619,2762,247,2610,0,1988,789,55,1144,0,35.4,28.6,22.3,43.8,0
Goa,1510,814,557,139,0,155,18,109,28,0,10.3,2.2,19.6,20.1,0
Gujarat,53851,34699,5590,13559,3,12196,5067,1911,5218,0,22.7,14.6,34.2,38.5,0
Haryana,23726,14562,16,8261,887,2734,687,2,1945,100,11.5,4.7,12.5,23.5,11.3
Himachal Pradesh,18028,15380,0,2646,2,1339,781,0,558,0,7.4,5.1,0,21.1,0
Jammu and Kashmir,28805,23173,1,5526,105,1343,632,0,707,4,4.7,2.7,0,12.8,3.8
Jharkhand,44855,35840,1175,1559,6281,1302,553,27,341,381,2.9,1.5,2.3,21.9,6.1
Karnataka,76450,49679,7110,19650,11,6405,1496,582,4327,0,8.4,3,8.2,22,0
Kerala,16240,5010,7183,3164,883,2111,418,544,1014,135,13,8.3,7.6,32.1,15.3
Ladakh,978,838,28,112,0,65,44,0,21,0,6.7,5.3,0,18.8,0
Lakshadweep,38,38,0,0,0,10,10,0,0,0,26.3,26.3,0,0,0
Madhya Pradesh,125582,92695,740,30345,1802,3631,505,28,3043,55,2.9,0.5,3.8,10,3.1
Maharashtra,109605,65639,24037,19268,661,15307,3833,5568,5785,121,14,5.8,23.2,30,18.3
Manipur,4617,2889,583,1010,135,208,29,2,171,6,4.5,1,0.3,16.9,4.4
Meghalaya,14600,7783,4172,2120,525,273,60,123,71,19,1.9,0.8,3,3.4,3.6
Mizoram,3911,2563,230,1034,84,86,47,14,23,2,2.2,1.8,6.1,2.2,2.4
Nagaland,2718,1960,0,757,1,164,48,0,116,0,6,2.5,0,15.3,0
Odisha,62291,49072,5807,6104,1308,2087,805,152,968,162,3.4,1.6,2.6,15.9,12.4
Puducherry,736,422,33,281,0,168,63,10,95,0,22.8,14.9,30.3,33.8,0
Punjab,27701,19259,450,7978,14,5843,3678,38,2126,1,21.1,19.1,8.4,26.7,7.1
Rajasthan,106373,68948,0,34826,2599,6333,2151,0,4144,38,6,3.1,0,11.9,1.5
Sikkim,1259,864,19,376,0,235,158,2,75,0,18.7,18.3,10.5,20,0
Tamil Nadu,58801,37636,8323,12396,446,9635,4441,788,4297,109,16.4,11.8,9.5,34.7,24.4
Telangana,43083,30023,700,12193,167,5045,4159,25,859,2,11.7,13.9,3.6,7.1,1.2
Tripura,4929,4262,43,363,261,138,71,3,59,5,2.8,1.7,7,16.3,1.9
Uttar Pradesh,258054,137024,8113,97808,15109,5662,478,195,4896,93,2.2,0.4,2.4,5,0.6
Uttarakhand,22815,16484,608,5225,498,1141,326,21,786,8,5,2,3.5,15,1.6
West Bengal,94744,83302,88,9750,1604,3847,2922,11,858,56,4.1,3.5,12.5,8.8,3.5
