India/ State/ UT,"Number of Government and Government AidedSchools with level","Number of Government and Government AidedSchools providing orientation on cyber safety tostudents","Percentage of Government and Government AidedSchools providing orientation on cyber safety tostudents",,,,,,,,,
"",Primary,"UpperPrimary",Secondary,"HigherSecondary",Primary,"UpperPrimary",Secondary,"HigherSecondary",Primary,"UpperPrimary",Secondary,"HigherSecondary"
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,650146,293590,83537,77593,52143,46615,20018,19577,8.0,15.9,24.0,25.2
Andaman and Nicobar Islands,185,57,46,56,44,25,23,26,23.8,43.9,50.0,46.4
Andhra Pradesh,34642,4285,6525,1227,5416,951,3194,431,15.6,22.2,49.0,35.1
Arunachal Pradesh,1685,1002,232,134,36,35,40,33,2.1,3.5,17.2,24.6
Assam,34948,8585,4250,1548,1456,390,464,219,4.2,4.5,10.9,14.2
Bihar,40563,25993,2516,7228,649,709,79,141,1.6,2.7,3.1,2.0
Chandigarh,8,12,54,56,4,12,49,39,50.0,100.0,90.7,69.6
Chhattisgarh,30892,13284,1949,3035,2826,2182,436,775,9.2,16.4,22.4,25.5
"Dadra and Nagar Haveli andDaman and Diu",167,163,31,35,44,144,27,30,26.4,88.3,87.1,85.7
Delhi,1671,39,122,1177,495,25,87,865,29.6,64.1,71.3,73.5
Goa,795,67,400,109,41,13,226,51,5.2,19.4,56.5,46.8
Gujarat,12545,20680,3031,4033,3519,10619,1140,1356,28.1,51.4,37.6,33.6
Haryana,8677,2450,1108,2343,1852,716,408,892,21.3,29.2,36.8,38.1
Himachal Pradesh,10563,1952,942,1923,1064,377,267,547,10.1,19.3,28.3,28.5
Jammu and Kashmir,12974,7612,1754,834,926,1022,542,348,7.1,13.4,30.9,41.7
Jharkhand,21814,12122,1914,1165,945,1191,363,245,4.3,9.8,19.0,21.0
Karnataka,21240,24635,8554,2360,1910,3508,2740,407,9.0,14.2,32.0,17.3
Kerala,5967,3486,778,1962,3596,1816,530,1233,60.3,52.1,68.1,62.8
Ladakh,355,382,85,44,7,20,16,17,2.0,5.2,18.8,38.6
Lakshadweep,16,9,0,13,4,1,0,8,25.0,11.1,0.0,61.5
Madhya Pradesh,58826,24917,4921,4771,3791,2449,1285,1445,6.4,9.8,26.1,30.3
Maharashtra,46217,24885,12040,6534,3994,3662,2440,1350,8.6,14.7,20.3,20.7
Manipur,2309,605,461,97,9,9,20,19,0.4,1.5,4.3,19.6
Meghalaya,7928,3157,699,171,88,81,50,28,1.1,2.6,7.2,16.4
Mizoram,1277,1015,439,62,16,21,15,6,1.3,2.1,3.4,9.7
Nagaland,1032,617,255,56,34,36,24,16,3.3,5.8,9.4,28.6
Odisha,27438,17508,8610,1323,1727,1527,1080,150,6.3,8.7,12.5,11.3
Puducherry,236,48,91,80,53,24,40,42,22.5,50.0,44.0,52.5
Punjab,12880,2541,1800,2488,1339,721,799,1064,10.4,28.4,44.4,42.8
Rajasthan,33781,19498,3758,11911,3390,7538,1599,5038,10.0,38.7,42.6,42.3
Sikkim,481,173,125,104,40,31,48,28,8.3,17.9,38.4,26.9
Tamil Nadu,29274,8526,3692,4467,0,0,0,0,0.0,0.0,0.0,0.0
Telangana,20080,3379,5913,1351,334,95,846,98,1.7,2.8,14.3,7.3
Tripura,2137,1126,609,433,52,32,67,75,2.4,2.8,11.0,17.3
Uttar Pradesh,87964,49339,2065,5769,7489,5710,259,676,8.5,11.6,12.5,11.7
Uttarakhand,11511,2778,991,1812,1040,454,285,638,9.0,16.3,28.8,35.2
West Bengal,67068,6663,2777,6882,3913,469,530,1241,5.8,7.0,19.1,18.0
