"India/State/ UT",Projected population  by age group – Scheduled Castes (SC),,,,,,,,
"",Age 3-5,Age 6-10,Age 11-13,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,7810288,7114686,14924974,10910882,9904707,20815589,6276582,5894760,12171342
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-
Andhra Pradesh,242282,226660,468942,347553,328275,675828,210470,211423,421893
Arunachal Pradesh,-,-,-,-,-,-,-,-,-
Assam,73117,67415,140533,103825,95975,199800,72438,71201,143640
Bihar,932397,860398,1792796,1276277,1170302,2446579,695280,654058,1349337
Chandigarh,9192,7811,17003,13679,11443,25122,8426,7026,15452
Chhattisgarh,144047,135471,279518,194474,185778,380252,108356,105876,214233
"Dadra and Nagar Haveli andDaman and Diu",471,438,910,656,605,1262,461,428,889
Delhi,100915,88542,189457,145572,124878,270450,87758,79530,167288
Goa,876,843,1719,1279,1188,2467,760,753,1513
Gujarat,145506,125490,270996,208651,177737,386388,125477,113095,238572
Haryana,213470,188914,402384,297953,257872,555826,172354,151087,323441
Himachal Pradesh,49947,46451,96398,71864,67426,139290,46980,43891,90871
Jammu and Kashmir,20617,18927,39545,35906,31614,67520,35495,29959,65454
Jharkhand,187555,176574,364129,256593,239072,495665,153980,148455,302436
Karnataka,348466,324243,672709,502385,469381,971766,296540,285695,582235
Kerala,73471,70097,143568,105338,101111,206449,69397,66300,135697
Ladakh,6,1,7,10,5,15,6,5,11
Lakshadweep,-,-,-,-,-,-,-,-,-
Madhya Pradesh,527164,481545,1008709,724535,659882,1384417,391807,369724,761531
Maharashtra,397556,359189,756746,575476,519697,1095173,374983,347646,722629
Manipur,2582,2347,4929,4144,3852,7996,3269,3069,6338
Meghalaya,482,489,971,735,647,1383,591,568,1158
Mizoram,17,27,44,43,38,82,33,24,57
Nagaland,-,-,-,-,-,-,-,-,-
Odisha,237198,225324,462523,325565,308760,634325,210792,201427,412219
Puducherry,7372,6917,14289,11485,10700,22185,7326,6907,14233
Punjab,277369,256449,533818,402204,369558,771761,249748,225346,475095
Rajasthan,574417,503893,1078310,800838,701943,1502781,445380,407141,852521
Sikkim,716,700,1416,1147,1074,2221,975,899,1873
Tamil Nadu,394760,366355,761115,596848,552072,1148921,360953,349604,710557
Telangana,151154,139209,290362,218536,201863,420399,140444,138460,278903
Tripura,16277,15137,31414,21742,20135,41878,18029,17137,35166
Uttar Pradesh,2087944,1859733,3947676,2786257,2458575,5244832,1415271,1295171,2710443
Uttarakhand,72156,63429,135585,100516,87596,188112,65114,58954,124068
West Bengal,520788,495665,1016454,778793,745653,1524446,507688,503900,1011588
