"India/State/ UT",Enrolment – Government Aided,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,196818,194779,391597,2722646,2690452,5413098,3828091,3615755,7443846,6550737,6306207,12856944
Andaman and Nicobar Islands,22,14,36,241,250,491,228,213,441,469,463,932
Andhra Pradesh,178,150,328,37851,39305,77156,23877,26199,50076,61728,65504,127232
Arunachal Pradesh,425,431,856,5232,5169,10401,2986,2797,5783,8218,7966,16184
Assam,306,326,632,1078,1297,2375,101628,115320,216948,102706,116617,219323
Bihar,312,164,476,23310,24445,47755,26705,29948,56653,50015,54393,104408
Chandigarh,181,192,373,1056,1102,2158,817,801,1618,1873,1903,3776
Chhattisgarh,251,280,531,14062,13185,27247,9376,9100,18476,23438,22285,45723
"Dadra and Nagar Haveli andDaman and Diu",0,0,0,852,675,1527,1325,1091,2416,2177,1766,3943
Delhi,509,507,1016,18082,21656,39738,26702,22024,48726,44784,43680,88464
Goa,7310,7401,14711,37440,35897,73337,31194,28884,60078,68634,64781,133415
Gujarat,727,697,1424,27376,25073,52449,48681,39630,88311,76057,64703,140760
Haryana,148,148,296,1203,1255,2458,1029,1097,2126,2232,2352,4584
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,20,27,47,40,46,86,21,22,43,61,68,129
Jharkhand,3152,3339,6491,65788,74664,140452,44584,52327,96911,110372,126991,237363
Karnataka,2342,1946,4288,194667,183869,378536,201615,189881,391496,396282,373750,770032
Kerala,96911,95248,192159,505415,495965,1001380,373488,364873,738361,878903,860838,1739741
Ladakh,0,0,0,388,132,520,94,71,165,482,203,685
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,741,606,1347,17270,17257,34527,9449,9868,19317,26719,27125,53844
Maharashtra,49649,50042,99691,1184891,1106593,2291484,1630410,1468482,3098892,2815301,2575075,5390376
Manipur,597,560,1157,9023,8807,17830,3218,3384,6602,12241,12191,24432
Meghalaya,28149,27071,55220,68069,67682,135751,45585,53176,98761,113654,120858,234512
Mizoram,0,0,0,759,865,1624,2763,2902,5665,3522,3767,7289
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,53,66,119,12557,12316,24873,65282,61754,127036,77839,74070,151909
Puducherry,349,682,1031,3204,5219,8423,2709,4327,7036,5913,9546,15459
Punjab,1270,1449,2719,27777,26351,54128,25933,21613,47546,53710,47964,101674
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,77,139,216,366,557,923,459,751,1210,825,1308,2133
Tamil Nadu,1318,1279,2597,335129,349908,685037,320597,335671,656268,655726,685579,1341305
Telangana,522,771,1293,15676,22900,38576,9590,15658,25248,25266,38558,63824
Tripura,73,65,138,3791,3461,7252,3680,2561,6241,7471,6022,13493
Uttar Pradesh,288,253,541,102146,134378,236524,784716,723929,1508645,886862,858307,1745169
Uttarakhand,54,61,115,2289,4357,6646,24530,23962,48492,26819,28319,55138
West Bengal,884,865,1749,5618,5816,11434,4820,3439,8259,10438,9255,19693
