"India/State/ UT",Enrolment of age group  < 6 years,,,,,,,,
"",All,Pre-Primary,Primary (1 to 5),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(20),(21),(22),(23),(24),(25),(26),(27),(28)
India,12055399,10856325,22911724,4811883,4253596,9065479,7243516,6602729,13846245
Andaman and Nicobar Islands,3907,3925,7832,3172,3220,6392,735,705,1440
Andhra Pradesh,321631,307968,629599,40794,34539,75333,280837,273429,554266
Arunachal Pradesh,27123,25847,52970,12628,11866,24494,14495,13981,28476
Assam,406919,384303,791222,223899,210225,434124,183020,174078,357098
Bihar,863747,730769,1594516,236051,164875,400926,627696,565894,1193590
Chandigarh,14262,13123,27385,10613,9782,20395,3649,3341,6990
Chhattisgarh,238786,218783,457569,115102,102673,217775,123684,116110,239794
"Dadra and Nagar Haveli andDaman and Diu",3373,2991,6364,2530,2218,4748,843,773,1616
Delhi,217642,202787,420429,125348,121646,246994,92294,81141,173435
Goa,17938,16860,34798,11215,10910,22125,6723,5950,12673
Gujarat,518050,461861,979911,87393,71407,158800,430657,390454,821111
Haryana,348724,300040,648764,129112,103090,232202,219612,196950,416562
Himachal Pradesh,106364,97139,203503,54096,49028,103124,52268,48111,100379
Jammu and Kashmir,319410,294195,613605,200515,184098,384613,118895,110097,228992
Jharkhand,334142,281474,615616,147541,116986,264527,186601,164488,351089
Karnataka,419768,389270,809038,139245,121632,260877,280523,267638,548161
Kerala,454512,435007,889519,285009,274161,559170,169503,160846,330349
Ladakh,7427,6968,14395,5177,4821,9998,2250,2147,4397
Lakshadweep,881,849,1730,799,761,1560,82,88,170
Madhya Pradesh,960041,851462,1811503,377570,318777,696347,582471,532685,1115156
Maharashtra,509621,466994,976615,263143,238588,501731,246478,228406,474884
Manipur,54316,51127,105443,30396,28877,59273,23920,22250,46170
Meghalaya,124744,121297,246041,97743,94690,192433,27001,26607,53608
Mizoram,24024,23267,47291,15788,15597,31385,8236,7670,15906
Nagaland,45833,44049,89882,36110,34429,70539,9723,9620,19343
Odisha,303057,278013,581070,26439,21683,48122,276618,256330,532948
Puducherry,20748,19235,39983,11530,10847,22377,9218,8388,17606
Punjab,457048,403749,860797,359646,317229,676875,97402,86520,183922
Rajasthan,910105,784571,1694676,248364,196330,444694,661741,588241,1249982
Sikkim,12151,11373,23524,9536,8925,18461,2615,2448,5063
Tamil Nadu,708355,667060,1375415,344384,319267,663651,363971,347793,711764
Telangana,261871,250589,512460,75270,66156,141426,186601,184433,371034
Tripura,20891,18737,39628,15545,13810,29355,5346,4927,10273
Uttar Pradesh,2033557,1773111,3806668,213894,168599,382493,1819663,1604512,3424175
Uttarakhand,137496,118464,255960,49533,40354,89887,87963,78110,166073
West Bengal,846935,799068,1646003,806753,761500,1568253,40182,37568,77750
