India/ State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,25.7,24.9,73.5,66.6,39,24.8,26.1,29.4,15.6
Andaman and Nicobar Islands,22.4,23.8,100,66.7,0,22.9,0,16.7,0
Andhra Pradesh,18.9,13.1,75.6,100,0,13,13.8,36.3,26.9
Arunachal Pradesh,5.8,4,57.9,37.5,0,3.5,10,14.4,14.9
Assam,17.4,20.5,75.9,88.9,8.3,20.4,5.3,15.1,3.2
Bihar,14,12.3,51,35.9,25,12.2,14.2,24.2,19.2
Chandigarh,73.9,82.1,100,100,50,81.9,66.7,81.1,18.5
Chhattisgarh,66.9,68.7,83.3,78.6,33.3,68.7,49.7,56.7,46.5
"Dadra and Nagar Haveli and Damanand Diu",84.4,94,100,33.3,0,94.5,50,30.2,100
Delhi,100,100,100,100,0,100,100,100,0
Goa,6.5,3.2,80,50,0,2.6,10.5,10.8,0
Gujarat,34.4,45,53.3,58.8,57.1,44.9,16.5,14.6,0
Haryana,41.6,58.5,62.9,52.4,0,58.5,6.7,17.2,13.5
Himachal Pradesh,22.5,20.8,80,75,36.4,20.7,0,32.5,50
Jammu and Kashmir,3.9,1.8,50,25,0,1.7,100,12.3,15
Jharkhand,4.5,3.3,34.2,57.7,16.7,3.3,4.8,18.5,7.8
Karnataka,15.5,11.4,78.9,80,10.5,11.3,14.1,26.4,0
Kerala,23.5,40.8,74.4,42.9,0,40.5,16.5,15.4,12.3
Ladakh,23.9,26.7,0,50,0,26.7,0,8.9,0
Lakshadweep,60.5,60.5,100,100,0,58.3,0,0,0
Madhya Pradesh,9.6,5.6,64.3,57.4,23.1,5.5,12.9,21.9,5.8
Maharashtra,48.6,45.6,83.3,91.2,63.6,45.5,49.7,57.6,48.1
Manipur,7.6,4,55.6,63.6,0,3.6,2.3,20.3,10.5
Meghalaya,2.3,1.9,100,0,0,1.8,2.5,3.7,1.9
Mizoram,14.1,19.3,75,28.6,0,19.2,5.3,3.5,7.1
Nagaland,4.6,4.5,33.3,72.7,0,4,0,5,0
Odisha,53.2,55.2,88.9,74.2,60,55.1,31.2,58.1,47.4
Puducherry,35.6,42.5,75,100,0,41.6,13.3,28.1,0
Punjab,79.2,76.8,98.1,100,90,76.7,74.8,85.1,100
Rajasthan,18.3,9.3,87,88.6,28.6,9.1,0,35.7,13.2
Sikkim,13.5,16.7,100,75,50,16.1,5.6,6.7,0
Tamil Nadu,29.9,36.2,80,0,25,36.1,9.5,24.5,19.4
Telangana,4.5,3.4,45.7,44.4,0,3.3,3.8,7,0.7
Tripura,7.5,7.2,66.7,50,0,7,18.6,13.6,1.5
Uttar Pradesh,22.5,21.7,78.5,73.3,59.3,21.6,21.5,24.4,17.6
Uttarakhand,6.1,4.6,66.7,46.2,14.3,4.4,5.1,10.9,5.7
West Bengal,30,29.8,82.3,94.1,57.9,29.7,23.5,32.1,31.5
