"India/State/ UT",Enrolment of age group 14-15 years,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),,,,,
"",Boys,Girls,Total,Boys,Girls,Total,
(1),(59),(60),(61),(62),(63),,(64)
India,12057135,11158039,23215174,4228769,3889588,,8118357
Andaman and Nicobar Islands,4000,3960,7960,1170,1265,,2435
Andhra Pradesh,416895,375202,792097,143727,143639,,287366
Arunachal Pradesh,12524,12984,25508,4782,5109,,9891
Assam,301297,354504,655801,59358,63304,,122662
Bihar,958472,970494,1928966,456918,435486,,892404
Chandigarh,16175,13665,29840,3567,3752,,7319
Chhattisgarh,287474,304042,591516,59529,65654,,125183
"Dadra and Nagar Haveli and Damanand Diu",6458,5586,12044,1515,1916,,3431
Delhi,246413,220222,466635,77569,48313,,125882
Goa,16302,15800,32102,2662,3010,,5672
Gujarat,580216,477707,1057923,222933,187533,,410466
Haryana,296590,230276,526866,133528,125934,,259462
Himachal Pradesh,65185,57989,123174,41899,38198,,80097
Jammu and Kashmir,93420,82997,176417,44597,40275,,84872
Jharkhand,322501,334316,656817,99845,96170,,196015
Karnataka,713814,675691,1389505,91105,95147,,186252
Kerala,309648,295927,605575,135743,141465,,277208
Ladakh,1822,2037,3859,634,1085,,1719
Lakshadweep,793,735,1528,96,147,,243
Madhya Pradesh,685157,626308,1311465,209324,189168,,398492
Maharashtra,1341499,1174245,2515744,226020,214372,,440392
Manipur,36110,35745,71855,5163,5076,,10239
Meghalaya,29372,35755,65127,2965,4310,,7275
Mizoram,10774,11699,22473,2645,2661,,5306
Nagaland,16595,17750,34345,2241,2687,,4928
Odisha,389894,376669,766563,116642,119643,,236285
Puducherry,11030,10978,22008,6751,7145,,13896
Punjab,253845,225520,479365,55764,54558,,110322
Rajasthan,731588,618410,1349998,378663,298432,,677095
Sikkim,5515,6030,11545,1494,1938,,3432
Tamil Nadu,661805,603457,1265262,330803,370394,,701197
Telangana,368024,343270,711294,92583,114589,,207172
Tripura,45838,46849,92687,2653,2895,,5548
Uttar Pradesh,1657822,1374691,3032513,1106535,893108,,1999643
Uttarakhand,105104,95265,200369,60462,55507,,115969
West Bengal,1057164,1121264,2178428,46884,55703,,102587
