"India/State /UT",Number of Schools – all types of management,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
India,1489115,760460,342092,93713,73936,46566,29950,64366,37701,24321,16010
Andaman and Nicobar Islands,416,218,76,0,49,4,0,49,16,4,0
Andhra Pradesh,61948,38430,8425,52,2746,9131,0,246,322,0,2596
Arunachal Pradesh,3603,1847,1228,45,261,56,2,74,51,39,0
Assam,60859,40482,4596,6076,3363,2226,1701,602,772,173,868
Bihar,93165,42505,37926,259,2547,221,1087,2431,91,5572,526
Chandigarh,233,21,39,0,71,0,0,97,3,2,0
Chhattisgarh,56512,32723,3152,13290,817,24,1896,1705,188,2707,10
"Dadra and Nagar Haveli andDaman and Diu",460,184,172,5,20,0,25,22,5,24,3
Delhi,5619,2594,797,29,261,96,0,1263,555,24,0
Goa,1510,892,67,8,190,226,4,15,2,0,106
Gujarat,53851,13827,26515,745,981,65,3592,2049,310,5002,765
Haryana,23726,9716,2971,2452,1879,1130,0,3213,2360,3,2
Himachal Pradesh,18028,11085,728,1949,792,936,0,617,1901,13,7
Jammu and Kashmir,28805,14824,9443,122,2766,350,34,632,152,478,4
Jharkhand,44855,23706,16140,61,2247,563,381,627,475,341,314
Karnataka,76450,24470,30542,382,5523,1158,8704,711,124,1031,3805
Kerala,16240,6812,3869,646,1421,362,158,1433,1005,475,59
Ladakh,978,379,427,10,87,24,1,13,9,27,1
Lakshadweep,38,16,9,0,0,0,0,4,4,5,0
Madhya Pradesh,125582,62413,37590,7516,5284,952,2070,6098,1403,2245,11
Maharashtra,109605,51152,29730,111,10658,6083,1000,6854,1260,160,2597
Manipur,4617,2422,926,40,849,83,26,157,38,9,67
Meghalaya,14600,9223,229,3300,165,248,1049,56,51,69,210
Mizoram,3911,1481,438,1081,13,8,685,3,6,0,196
Nagaland,2718,1157,765,22,459,114,3,137,47,1,13
Odisha,62291,29326,18550,2499,3734,3371,2392,211,328,0,1880
Puducherry,736,275,73,1,154,36,0,132,51,8,6
Punjab,27701,13536,2139,2503,2446,1737,3,2938,2181,59,159
Rajasthan,106373,38983,35764,220,10650,115,10,19842,638,149,2
Sikkim,1259,685,307,0,145,5,0,108,9,0,0
Tamil Nadu,58801,35062,9156,87,1715,3779,5,4548,4419,14,16
Telangana,43083,20711,7688,0,6696,5349,0,504,421,0,1714
Tripura,4929,2522,1224,2,695,7,0,417,62,0,0
Uttar Pradesh,258054,138078,46564,39866,3457,4472,4854,5129,10058,5545,31
Uttarakhand,22815,13404,2364,3062,311,828,268,691,1724,140,23
West Bengal,94744,75299,1463,7272,484,2807,0,738,6660,2,19
