"India/State/ UT",Enrolment of age group 14-15 years,,,,,,,,
"",All,Primary (1 to 5),Upper Primary (1to 8),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(50),(51),(52),(53),(54),(55),(56),(57),(58)
India,18371294,16880598,35251892,46280,35138,81418,2039110,1797833,3836943
Andaman and Nicobar Islands,5879,5797,11676,4,5,9,705,567,1272
Andhra Pradesh,621387,554352,1175739,2204,1520,3724,58561,33991,92552
Arunachal Pradesh,21064,21919,42983,275,203,478,3483,3623,7106
Assam,402636,464074,866710,528,433,961,41453,45833,87286
Bihar,1465063,1455781,2920844,579,492,1071,49094,49309,98403
Chandigarh,23609,20411,44020,40,25,65,3827,2969,6796
Chhattisgarh,404140,422775,826915,443,302,745,56694,52777,109471
"Dadra and Nagar Haveli and Damanand Diu",10083,9097,19180,55,41,96,2055,1554,3609
Delhi,383032,337809,720841,325,299,624,58725,68975,127700
Goa,21750,21411,43161,76,37,113,2710,2564,5274
Gujarat,850507,703142,1553649,1002,721,1723,46356,37181,83537
Haryana,492933,399890,892823,2753,1939,4692,60062,41741,101803
Himachal Pradesh,112957,100791,213748,144,100,244,5729,4504,10233
Jammu and Kashmir,150002,133656,283658,401,338,739,11584,10046,21630
Jharkhand,472738,483948,956686,1224,899,2123,49168,52563,101731
Karnataka,846390,798914,1645304,90,81,171,41381,27995,69376
Kerala,461723,451594,913317,706,482,1188,15626,13720,29346
Ladakh,3041,3686,6727,28,11,39,557,553,1110
Lakshadweep,957,979,1936,0,0,0,68,97,165
Madhya Pradesh,1066509,959270,2025779,3920,2990,6910,168108,140804,308912
Maharashtra,1866759,1629889,3496648,4501,2397,6898,294739,238875,533614
Manipur,44617,44075,88692,240,226,466,3104,3028,6132
Meghalaya,54505,63793,118298,1349,1111,2460,20819,22617,43436
Mizoram,19391,19711,39102,302,238,540,5670,5113,10783
Nagaland,25190,26771,51961,673,683,1356,5681,5651,11332
Odisha,524210,513131,1037341,366,273,639,17308,16546,33854
Puducherry,18132,18439,36571,0,0,0,351,316,667
Punjab,462260,392242,854502,5930,4014,9944,146721,108150,254871
Rajasthan,1326651,1106285,2432936,5407,4286,9693,210993,185157,396150
Sikkim,9673,9980,19653,316,70,386,2348,1942,4290
Tamil Nadu,1004591,981106,1985697,0,0,0,11983,7255,19238
Telangana,543674,508796,1052470,1231,841,2072,81836,50096,131932
Tripura,52105,53273,105378,72,59,131,3542,3470,7012
Uttar Pradesh,3048812,2542989,5591801,9002,8291,17293,275453,266899,542352
Uttarakhand,186663,169824,356487,701,549,1250,20396,18503,38899
West Bengal,1367661,1450998,2818659,1393,1182,2575,262220,272849,535069
