"India/State/ UT",Enrolment of age group 11-13 years,,,,,
"",Upper Primary (1to 8),,Secondary (9-10),,,
"",Boys,Girls,Total,Boys,Girls,Total
(1),(44),(45),(46),(47),(48),(49)
India,25942956,24371948,50314904,5842150,5401188,11243338
Andaman and Nicobar Islands,7038,6729,13767,1235,1283,2518
Andhra Pradesh,821435,747489,1568924,227875,243364,471239
Arunachal Pradesh,27929,29430,57359,7631,7693,15324
Assam,711180,771769,1482949,126411,139415,265826
Bihar,3021280,3026052,6047332,734262,726487,1460749
Chandigarh,26586,23238,49824,3697,3442,7139
Chhattisgarh,606869,595687,1202556,64617,66755,131372
"Dadra and Nagar Haveli and Damanand Diu",15181,13743,28924,1506,1487,2993
Delhi,480351,425977,906328,82300,51753,134053
Goa,28932,27511,56443,5235,4260,9495
Gujarat,1185180,1049777,2234957,327779,275041,602820
Haryana,569864,459657,1029521,165013,151635,316648
Himachal Pradesh,124758,114849,239607,42872,39628,82500
Jammu and Kashmir,199516,182712,382228,76054,68220,144274
Jharkhand,840793,841071,1681864,157096,151803,308899
Karnataka,1336090,1252625,2588715,253545,256368,509913
Kerala,581628,557148,1138776,188234,178445,366679
Ladakh,3748,4128,7876,1294,1313,2607
Lakshadweep,1321,1167,2488,45,57,102
Madhya Pradesh,1558103,1452390,3010493,279587,249865,529452
Maharashtra,2481069,2191772,4672841,328123,310560,638683
Manipur,62396,61351,123747,7556,7708,15264
Meghalaya,75882,86927,162809,7094,9048,16142
Mizoram,25394,25011,50405,2980,3300,6280
Nagaland,33845,34045,67890,5916,6462,12378
Odisha,766376,729218,1495594,223024,211111,434135
Puducherry,21214,20760,41974,9355,8615,17970
Punjab,497158,441662,938820,67224,63190,130414
Rajasthan,1601019,1407482,3008501,380395,311804,692199
Sikkim,10056,9978,20034,1989,2365,4354
Tamil Nadu,1206571,1118918,2325489,394446,398736,793182
Telangana,703395,648519,1351914,127404,154697,282101
Tripura,81250,80816,162066,4604,4728,9332
Uttar Pradesh,4117133,3869780,7986913,1410457,1170289,2580746
Uttarakhand,218727,196668,415395,65925,58865,124790
West Bengal,1893689,1865892,3759581,59370,61396,120766
