"India/State/ UT",Total Schools,"Schools with Library/Book Bank/Reading Cornerfacility","Percentage of Schools with Library/BookBank/Reading Corner facility",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1489115,1022386,82480,335844,48405,1299929,933163,72562,268179,26025,87.3,91.3,88,79.9,53.8
Andaman and Nicobar Islands,416,342,2,72,0,414,341,2,71,0,99.5,99.7,100,98.6,0
Andhra Pradesh,61948,45137,1542,15058,211,60444,44161,1472,14631,180,97.6,97.8,95.5,97.2,85.3
Arunachal Pradesh,3603,2985,68,503,47,1621,1203,61,336,21,45,40.3,89.7,66.8,44.7
Assam,60859,45490,3841,5852,5676,53168,44561,2352,4461,1794,87.4,98,61.2,76.2,31.6
Bihar,93165,75558,742,8097,8768,59021,46535,495,6486,5505,63.4,61.6,66.7,80.1,62.8
Chandigarh,233,123,7,76,27,229,123,7,76,23,98.3,100,100,100,85.2
Chhattisgarh,56512,48743,417,7063,289,55489,48365,401,6484,239,98.2,99.2,96.2,91.8,82.7
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,454,386,8,59,1,98.7,99.5,100,93.7,100
Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0,100,100,100,100,0
Goa,1510,814,557,139,0,1506,814,553,139,0,99.7,100,99.3,100,0
Gujarat,53851,34699,5590,13559,3,51693,34385,5477,11828,3,96,99.1,98,87.2,100
Haryana,23726,14562,16,8261,887,23026,14483,14,7824,705,97.1,99.5,87.5,94.7,79.5
Himachal Pradesh,18028,15380,0,2646,2,17294,14973,0,2320,1,95.9,97.4,0,87.7,50
Jammu and Kashmir,28805,23173,1,5526,105,20791,16337,1,4381,72,72.2,70.5,100,79.3,68.6
Jharkhand,44855,35840,1175,1559,6281,42119,35061,1087,1508,4463,93.9,97.8,92.5,96.7,71.1
Karnataka,76450,49679,7110,19650,11,73678,48438,6882,18348,10,96.4,97.5,96.8,93.4,90.9
Kerala,16240,5010,7183,3164,883,15987,4973,7166,3062,786,98.4,99.3,99.8,96.8,89
Ladakh,978,838,28,112,0,954,829,22,103,0,97.6,98.9,78.6,92,0
Lakshadweep,38,38,0,0,0,38,38,0,0,0,100,100,0,0,0
Madhya Pradesh,125582,92695,740,30345,1802,119074,88907,675,28007,1485,94.8,95.9,91.2,92.3,82.4
Maharashtra,109605,65639,24037,19268,661,107155,65117,23391,18072,575,97.8,99.2,97.3,93.8,87
Manipur,4617,2889,583,1010,135,1187,322,57,774,34,25.7,11.2,9.8,76.6,25.2
Meghalaya,14600,7783,4172,2120,525,3468,2085,963,353,67,23.8,26.8,23.1,16.7,12.8
Mizoram,3911,2563,230,1034,84,3230,2521,166,510,33,82.6,98.4,72.2,49.3,39.3
Nagaland,2718,1960,0,757,1,1966,1535,0,430,1,72.3,78.3,0,56.8,100
Odisha,62291,49072,5807,6104,1308,58960,46618,5335,5868,1139,94.7,95,91.9,96.1,87.1
Puducherry,736,422,33,281,0,733,421,33,279,0,99.6,99.8,100,99.3,0
Punjab,27701,19259,450,7978,14,27577,19249,423,7891,14,99.6,100,94,98.9,100
Rajasthan,106373,68948,0,34826,2599,82439,53855,0,27824,760,77.5,78.1,0,79.9,29.2
Sikkim,1259,864,19,376,0,1132,800,15,317,0,89.9,92.6,79,84.3,0
Tamil Nadu,58801,37636,8323,12396,446,58801,37636,8323,12396,446,100,100,100,100,100
Telangana,43083,30023,700,12193,167,39510,27882,585,10953,90,91.7,92.9,83.6,89.8,53.9
Tripura,4929,4262,43,363,261,3493,3164,31,225,73,70.9,74.2,72.1,62,28
Uttar Pradesh,258054,137024,8113,97808,15109,203962,131896,5757,59978,6331,79,96.3,71,61.3,41.9
Uttarakhand,22815,16484,608,5225,498,20886,15703,499,4409,275,91.6,95.3,82.1,84.4,55.2
West Bengal,94744,83302,88,9750,1604,82811,76684,62,5166,899,87.4,92.1,70.5,53,56.1
