"India/State/ UT",Number of Higher Secondary Schools,"Number of  Higher Secondary schools havingvocational courses under NSQF at secondary/ highersecondary level","Total enrolment under NSQF at secondary/ highersecondary level",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,142398,58023,19570,63500,1305,10770,10686,84,0,0,1588642,1578933,9709,0,0
Andaman and Nicobar Islands,69,54,2,13,0,49,49,0,0,0,9248,9248,0,0,0
Andhra Pradesh,3164,1097,130,1937,0,273,273,0,0,0,35783,35783,0,0,0
Arunachal Pradesh,164,125,9,30,0,99,99,0,0,0,24873,24873,0,0,0
Assam,2415,1309,239,717,150,334,334,0,0,0,40143,40143,0,0,0
Bihar,8620,7147,81,1086,306,0,0,0,0,0,0,0,0,0,0
Chandigarh,102,49,7,45,1,38,38,0,0,0,6898,6898,0,0,0
Chhattisgarh,4610,2940,95,1574,1,590,590,0,0,0,118854,118854,0,0,0
"Dadra and Nagar Haveli andDaman and Diu",54,32,3,18,1,9,9,0,0,0,1556,1556,0,0,0
Delhi,1842,1022,155,665,0,380,380,0,0,0,111910,111910,0,0,0
Goa,123,16,93,14,0,32,9,23,0,0,2349,772,1577,0,0
Gujarat,8126,812,3221,4091,2,250,245,5,0,0,18929,18652,277,0,0
Haryana,5578,2332,11,3225,10,1055,1055,0,0,0,177353,177353,0,0,0
Himachal Pradesh,2538,1923,0,615,0,1003,1003,0,0,0,86865,86865,0,0,0
Jammu and Kashmir,1266,834,0,429,3,633,633,0,0,0,66295,66295,0,0,0
Jharkhand,1757,1126,39,561,31,436,436,0,0,0,80219,80219,0,0,0
Karnataka,5671,1497,863,3311,0,133,133,0,0,0,9027,9027,0,0,0
Kerala,2972,1011,951,996,14,293,243,50,0,0,41077,33588,7489,0,0
Ladakh,50,44,0,6,0,22,22,0,0,0,1927,1927,0,0,0
Lakshadweep,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,9757,4536,235,4985,1,1195,1195,0,0,0,208260,208260,0,0,0
Maharashtra,10871,458,6076,4322,15,294,294,0,0,0,36178,36178,0,0,0
Manipur,271,95,2,174,0,50,50,0,0,0,9100,9100,0,0,0
Meghalaya,386,42,129,176,39,20,20,0,0,0,1815,1815,0,0,0
Mizoram,205,43,19,131,12,14,14,0,0,0,3293,3293,0,0,0
Nagaland,198,56,0,142,0,27,27,0,0,0,5226,5226,0,0,0
Odisha,2419,675,648,1080,16,70,65,5,0,0,5341,5095,246,0,0
Puducherry,197,68,12,117,0,13,13,0,0,0,2254,2254,0,0,0
Punjab,5337,2199,289,2849,0,989,989,0,0,0,159590,159590,0,0,0
Rajasthan,20631,11911,0,8704,16,1087,1087,0,0,0,179713,179713,0,0,0
Sikkim,117,96,8,13,0,89,89,0,0,0,11432,11432,0,0,0
Tamil Nadu,8997,3233,1234,4508,22,184,184,0,0,0,14137,14137,0,0,0
Telangana,2639,1321,30,1288,0,192,192,0,0,0,30130,30130,0,0,0
Tripura,479,404,29,42,4,135,134,1,0,0,9087,8967,120,0,0
Uttar Pradesh,20763,1178,4591,14360,634,159,159,0,0,0,5346,5346,0,0,0
Uttarakhand,2578,1474,338,754,12,0,0,0,0,0,0,0,0,0,0
West Bengal,7419,6851,31,522,15,623,623,0,0,0,74434,74434,0,0,0
