"India/State /UT",Number of teachers by Gender and Classes Taught – Government,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,2729750,2152696,4882446,11270,20025,31295,139111,104370,243481,1132307,959440,2091747
Andaman and Nicobar Islands,1595,2583,4178,38,131,169,8,30,38,473,898,1371
Andhra Pradesh,104483,86983,191466,1,0,1,25,18,43,42671,38067,80738
Arunachal Pradesh,9197,7247,16444,5,14,19,65,72,137,3714,2838,6552
Assam,137387,82880,220267,21,32,53,2677,2103,4780,65275,42490,107765
Bihar,238575,159212,397787,0,1,1,2,3,5,82654,69159,151813
Chandigarh,1421,3499,4920,2,103,105,2,11,13,473,965,1438
Chhattisgarh,110046,68585,178631,0,8,8,3,20,23,51096,30575,81671
"Dadra and Nagar Haveli andDaman and Diu",1259,1610,2869,0,10,10,1,2,3,523,716,1239
Delhi,31538,53037,84575,45,1933,1978,0,0,0,8089,16445,24534
Goa,671,2398,3069,0,6,6,0,0,0,188,1413,1601
Gujarat,101355,90745,192100,0,4,4,15,27,42,55784,53938,109722
Haryana,53403,40480,93883,0,15,15,3,4,7,21790,14524,36314
Himachal Pradesh,40390,26864,67254,15,30,45,264,196,460,11722,8738,20460
Jammu and Kashmir,61563,36785,98348,7,8,15,1654,1250,2904,24208,15427,39635
Jharkhand,84142,34714,118856,12,6,18,269,138,407,44248,18401,62649
Karnataka,100112,98945,199057,0,6,6,4,4,8,24941,24149,49090
Kerala,18896,57943,76839,19,3302,3321,1,14,15,4656,20017,24673
Ladakh,2429,2054,4483,28,14,42,88,76,164,499,721,1220
Lakshadweep,383,423,806,4,33,37,0,2,2,116,155,271
Madhya Pradesh,199824,104111,303935,6,3,9,15,20,35,111216,55871,167087
Maharashtra,148299,94210,242509,6,124,130,19,81,100,106271,72607,178878
Manipur,8736,9301,18037,12,26,38,259,496,755,5035,4996,10031
Meghalaya,10688,12213,22901,30,110,140,555,938,1493,5134,5801,10935
Mizoram,7683,5918,13601,0,2,2,15,16,31,2520,2434,4954
Nagaland,9608,9449,19057,22,68,90,291,378,669,4306,4297,8603
Odisha,118487,92874,211361,2,4,6,5,1,6,52372,42074,94446
Puducherry,1590,3140,4730,1,237,238,10,43,53,455,1227,1682
Punjab,44175,77541,121716,248,1587,1835,3283,6741,10024,11619,22516,34135
Rajasthan,259077,131794,390871,29,17,46,60,44,104,86971,52808,139779
Sikkim,4386,5460,9846,27,528,555,12,49,61,2023,2115,4138
Tamil Nadu,80390,149413,229803,7,29,36,0,3,3,21055,60155,81210
Telangana,74668,65627,140295,13,15,28,1033,1026,2059,26250,23446,49696
Tripura,19133,8908,28041,1,5,6,3,5,8,8831,3372,12203
Uttar Pradesh,324922,310790,635712,11,38,49,21,38,59,226046,228877,454923
Uttarakhand,34653,24702,59355,0,0,0,1,0,1,11780,11894,23674
West Bengal,284586,190258,474844,10658,11576,22234,128448,90521,218969,7303,5314,12617
