India/ State/ UT,"Number of Government and Government AidedSchools with level","Number of Schools actively undertaking academicenrichment activities","Percentage of Schools actively undertaking academicenrichment activities",,,,,,,,,
"",Primary,"UpperPrimary",Secondary,"HigherSecondary",Primary,"UpperPrimary",Secondary,"HigherSecondary",Primary,"UpperPrimary",Secondary,"HigherSecondary"
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,650146,293590,83537,77593,516470,233449,64865,48804,79.4,79.5,77.7,62.9
Andaman and Nicobar Islands,185,57,46,56,173,52,43,46,93.5,91.2,93.5,82.1
Andhra Pradesh,34642,4285,6525,1227,33596,3883,6227,815,97.0,90.6,95.4,66.4
Arunachal Pradesh,1685,1002,232,134,779,509,159,88,46.2,50.8,68.5,65.7
Assam,34948,8585,4250,1548,30828,6848,3493,1041,88.2,79.8,82.2,67.3
Bihar,40563,25993,2516,7228,15753,11985,1029,2238,38.8,46.1,40.9,31.0
Chandigarh,8,12,54,56,8,12,54,53,100,100,100,94.6
Chhattisgarh,30892,13284,1949,3035,29042,12417,1609,2322,94.0,93.5,82.6,76.5
"Dadra and Nagar Haveli andDaman and Diu",167,163,31,35,166,161,30,34,99.4,98.8,96.8,97.1
Delhi,1671,39,122,1177,1641,35,114,1091,98.2,89.7,93.4,92.7
Goa,795,67,400,109,790,61,383,95,99.4,91.0,95.8,87.2
Gujarat,12545,20680,3031,4033,11595,19282,1791,2223,92.4,93.2,59.1,55.1
Haryana,8677,2450,1108,2343,7780,2128,957,1948,89.7,86.9,86.4,83.1
Himachal Pradesh,10563,1952,942,1923,9337,1750,872,1543,88.4,89.7,92.6,80.2
Jammu and Kashmir,12974,7612,1754,834,9531,6179,1467,636,73.5,81.2,83.6,76.3
Jharkhand,21814,12122,1914,1165,14293,7986,1350,692,65.5,65.9,70.5,59.4
Karnataka,21240,24635,8554,2360,20062,23082,7852,1428,94.5,93.7,91.8,60.5
Kerala,5967,3486,778,1962,5830,2689,737,1817,97.7,77.1,94.7,92.6
Ladakh,355,382,85,44,229,236,68,33,64.5,61.8,80.0,75.0
Lakshadweep,16,9,0,13,16,9,0,13,100,100,0.0,100
Madhya Pradesh,58826,24917,4921,4771,49184,20741,3828,3455,83.6,83.2,77.8,72.4
Maharashtra,46217,24885,12040,6534,44431,23155,9918,4899,96.1,93.1,82.4,75.0
Manipur,2309,605,461,97,921,233,226,58,39.9,38.5,49.0,59.8
Meghalaya,7928,3157,699,171,3867,1837,456,100,48.8,58.2,65.2,58.5
Mizoram,1277,1015,439,62,670,609,249,31,52.5,60.0,56.7,50.0
Nagaland,1032,617,255,56,643,406,162,41,62.3,65.8,63.5,73.2
Odisha,27438,17508,8610,1323,24544,15362,7528,697,89.5,87.7,87.4,52.7
Puducherry,236,48,91,80,234,48,80,68,99.2,100.0,87.9,85.0
Punjab,12880,2541,1800,2488,12689,2481,1579,2101,98.5,97.6,87.7,84.5
Rajasthan,33781,19498,3758,11911,28619,16335,2875,8860,84.7,83.8,76.5,74.4
Sikkim,481,173,125,104,393,147,113,88,81.7,85.0,90.4,84.6
Tamil Nadu,29274,8526,3692,4467,0,0,0,0,0.0,0.0,0.0,0.0
Telangana,20080,3379,5913,1351,15434,2583,4833,796,76.9,76.4,81.7,58.9
Tripura,2137,1126,609,433,1551,918,555,373,72.6,81.5,91.1,86.1
Uttar Pradesh,87964,49339,2065,5769,78008,42080,1145,2673,88.7,85.3,55.5,46.3
Uttarakhand,11511,2778,991,1812,10452,2417,843,1439,90.8,87.0,85.1,79.4
West Bengal,67068,6663,2777,6882,53381,4793,2240,4969,79.6,71.9,80.7,72.2
