"India/State/ UT",Total Schools,Schools with Kitchen Garden  facility available,"Percentage of Schools with Kitchen Garden  facilityavailable",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1489115,1022386,82480,335844,48405,411677,310633,26747,67025,7272,27.7,30.4,32.4,20,15
Andaman and Nicobar Islands,416,342,2,72,0,214,194,1,19,0,51.4,56.7,50,26.4,0
Andhra Pradesh,61948,45137,1542,15058,211,17183,13531,465,3123,64,27.7,30,30.2,20.7,30.3
Arunachal Pradesh,3603,2985,68,503,47,746,475,38,219,14,20.7,15.9,55.9,43.5,29.8
Assam,60859,45490,3841,5852,5676,32144,29552,824,1028,740,52.8,65,21.5,17.6,13
Bihar,93165,75558,742,8097,8768,18208,14196,127,2001,1884,19.5,18.8,17.1,24.7,21.5
Chandigarh,233,123,7,76,27,176,111,5,52,8,75.5,90.2,71.4,68.4,29.6
Chhattisgarh,56512,48743,417,7063,289,30786,28447,236,2031,72,54.5,58.4,56.6,28.8,24.9
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,361,336,5,20,0,78.5,86.6,62.5,31.8,0
Delhi,5619,2762,247,2610,0,1955,1048,59,848,0,34.8,37.9,23.9,32.5,0
Goa,1510,814,557,139,0,359,142,178,39,0,23.8,17.4,32,28.1,0
Gujarat,53851,34699,5590,13559,3,22829,19797,850,2182,0,42.4,57.1,15.2,16.1,0
Haryana,23726,14562,16,8261,887,8318,6035,2,2104,177,35.1,41.4,12.5,25.5,20
Himachal Pradesh,18028,15380,0,2646,2,5938,5292,0,646,0,32.9,34.4,0,24.4,0
Jammu and Kashmir,28805,23173,1,5526,105,3423,2471,1,927,24,11.9,10.7,100,16.8,22.9
Jharkhand,44855,35840,1175,1559,6281,8616,6632,348,433,1203,19.2,18.5,29.6,27.8,19.2
Karnataka,76450,49679,7110,19650,11,24876,16429,2950,5494,3,32.5,33.1,41.5,28,27.3
Kerala,16240,5010,7183,3164,883,9475,3085,4643,1436,311,58.3,61.6,64.6,45.4,35.2
Ladakh,978,838,28,112,0,184,149,5,30,0,18.8,17.8,17.9,26.8,0
Lakshadweep,38,38,0,0,0,34,34,0,0,0,89.5,89.5,0,0,0
Madhya Pradesh,125582,92695,740,30345,1802,18416,13668,135,4410,203,14.7,14.8,18.2,14.5,11.3
Maharashtra,109605,65639,24037,19268,661,38528,24903,8908,4554,163,35.2,37.9,37.1,23.6,24.7
Manipur,4617,2889,583,1010,135,1311,707,126,448,30,28.4,24.5,21.6,44.4,22.2
Meghalaya,14600,7783,4172,2120,525,1776,1012,542,170,52,12.2,13,13,8,9.9
Mizoram,3911,2563,230,1034,84,1391,1221,32,130,8,35.6,47.6,13.9,12.6,9.5
Nagaland,2718,1960,0,757,1,1073,820,0,253,0,39.5,41.8,0,33.4,0
Odisha,62291,49072,5807,6104,1308,30053,25693,2041,1939,380,48.3,52.4,35.2,31.8,29.1
Puducherry,736,422,33,281,0,147,82,4,61,0,20,19.4,12.1,21.7,0
Punjab,27701,19259,450,7978,14,23994,17719,370,5895,10,86.6,92,82.2,73.9,71.4
Rajasthan,106373,68948,0,34826,2599,25691,18558,0,6831,302,24.2,26.9,0,19.6,11.6
Sikkim,1259,864,19,376,0,498,404,7,87,0,39.6,46.8,36.8,23.1,0
Tamil Nadu,58801,37636,8323,12396,446,11002,7871,1698,1394,39,18.7,20.9,20.4,11.3,8.7
Telangana,43083,30023,700,12193,167,4298,3777,32,484,5,10,12.6,4.6,4,3
Tripura,4929,4262,43,363,261,1364,1243,11,86,24,27.7,29.2,25.6,23.7,9.2
Uttar Pradesh,258054,137024,8113,97808,15109,49955,31113,1835,15632,1375,19.4,22.7,22.6,16,9.1
Uttarakhand,22815,16484,608,5225,498,9859,8272,262,1221,104,43.2,50.2,43.1,23.4,20.9
West Bengal,94744,83302,88,9750,1604,6496,5614,7,798,77,6.9,6.7,8,8.2,4.8
