"India/State/ UT",Adjusted Net Enrolment Rate (ANER),,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,97.6,100,99.1,87,87.5,87.3,95.6,97.5,96.5,64.7,64.7,64.7
Andaman and Nicobar Islands,66.2,70.1,68.1,64.4,67,65.7,67.2,70.4,68.7,56.3,65.1,60.4
Andhra Pradesh,96.7,98.2,97.4,92.6,91,91.8,97.1,96.7,96.9,69.6,67.7,68.7
Arunachal Pradesh,100,100,100,70.8,75.1,72.9,98.4,100,100,50.1,53.6,51.8
Assam,100,100,100,82.5,91.9,87.1,100,100,100,52.6,63,57.7
Bihar,99.5,100,100,87.6,90.4,89,95.6,98.4,97,49.5,51.8,50.6
Chandigarh,76.3,85.8,80.5,78.3,89.8,83.3,80.1,90.3,84.6,70.7,84.1,76.4
Chhattisgarh,91.8,92.3,92,84,85.6,84.9,90.4,91.1,90.7,63.7,70,66.8
Dadra and Nagar Haveli and Daman and Diu,81,86.6,83.6,79.7,84.6,82,85,89.9,87.3,56.8,69,62.2
Delhi,100,100,100,100,100,100,100,100,100,92.6,88.9,90.9
Goa,85.9,89.3,87.5,79.3,82,80.6,85.4,88.6,86.9,62.9,71.4,66.9
Gujarat,87.9,93.2,90.3,84,83.3,83.7,87.6,90.6,89,64.6,61.3,63
Haryana,94.8,96.7,95.7,92.7,92.8,92.7,97.3,98.2,97.7,78.3,78.1,78.2
Himachal Pradesh,100,100,100,94.7,97.8,96.4,100,100,100,87.8,89.1,88.4
Jammu and Kashmir,100,100,100,58,62,59.8,82.9,85.9,84.3,45.3,46.7,45.9
Jharkhand,98,100,98.9,82.8,84.6,83.7,93.6,95.3,94.4,52.2,55,53.6
Karnataka,100,100,100,100,100,100,100,100,100,75.3,76.2,75.8
Kerala,100,100,100,99.9,99.4,99.6,100,100,100,85.7,87.8,86.8
Ladakh,67.5,73.5,70.4,51.5,63.2,57,63.7,72.3,67.8,36.8,50.1,43.2
Lakshadweep,76.5,77.8,77.1,65,52.6,58.5,73.5,68.8,71.2,58.3,61.5,59.9
Madhya Pradesh,80.3,81,80.6,77.9,76.3,77.1,81.7,81.4,81.5,55.1,53.8,54.5
Maharashtra,100,100,100,91.2,90.9,91.1,100,100,100,74.3,73.9,74.1
Manipur,100,100,100,77.2,81,79.1,100,100,100,67.5,69.6,68.5
Meghalaya,100,100,100,76.1,90.6,83.2,100,100,100,46.3,58.8,52.5
Mizoram,100,100,100,84.3,88.4,86.3,100,100,100,60.4,67.5,63.9
Nagaland,88.4,93.4,90.8,54.4,60.6,57.4,77.5,83.3,80.3,38.3,45.3,41.6
Odisha,97.6,97.4,97.5,84.9,85.2,85,93.1,93,93,63.8,65.6,64.6
Puducherry,76.4,77,76.7,75.3,78.1,76.7,76.2,77.6,76.9,62.3,71.4,66.6
Punjab,96.4,97.4,96.9,80.4,86.2,83,98.3,100,99.2,61.9,67.8,64.6
Rajasthan,94,96.5,95.2,84.5,80.2,82.5,93.8,93.6,93.7,69.5,62.9,66.4
Sikkim,95.5,94.2,94.9,62.3,66.4,64.3,85.3,85,85.2,53.4,62,57.6
Tamil Nadu,98.6,100,99.8,98.5,98.4,98.4,98.8,100,99.5,88.8,92,90.4
Telangana,100,100,100,95.6,97.7,96.6,100,100,100,75.3,79.4,77.2
Tripura,100,100,100,82.4,86.5,84.4,100,100,100,69.5,75.1,72.2
Uttar Pradesh,95.3,100,97.5,83.1,82.7,82.9,92.7,95.5,94,58.7,53.1,56
Uttarakhand,100,100,100,91.8,93.6,92.7,100,100,100,76.7,78.9,77.5
West Bengal,100,100,100,85.4,86.7,86,100,100,100,69.1,76.4,72.7
