"India/State/ UT",Total Boys’ and Co-educational Schools,Schools with boy’s toilet facility,Schools with functional boy’s toilet facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1459459,1000883,78659,332438,47479,1404342,956246,74787,330140,43169,1353081,912557,72980,325674,41870
Andaman and Nicobar Islands,415,341,2,72,0,414,340,2,72,0,413,339,2,72,0
Andhra Pradesh,60668,44077,1467,14938,186,53031,36821,1157,14883,170,51787,35613,1140,14865,169
Arunachal Pradesh,3514,2906,60,501,47,3313,2712,60,495,46,2423,1830,60,488,45
Assam,60046,45052,3598,5807,5589,51874,41824,2247,5567,2236,46556,37795,1783,5272,1706
Bihar,92177,74857,685,7923,8712,89972,72787,662,7862,8661,89002,71854,659,7853,8636
Chandigarh,230,123,6,74,27,230,123,6,74,27,230,123,6,74,27
Chhattisgarh,55219,47528,366,7043,282,54493,46811,360,7041,281,51970,44358,355,6987,270
"Dadra and Nagar Haveli andDaman and Diu",456,384,8,63,1,456,384,8,63,1,456,384,8,63,1
Delhi,4776,1999,190,2587,0,4776,1999,190,2587,0,4776,1999,190,2587,0
Goa,1498,814,545,139,0,1498,814,545,139,0,1496,813,544,139,0
Gujarat,52065,33574,5227,13262,2,51674,33219,5204,13249,2,50669,32220,5199,13248,2
Haryana,22507,13389,15,8219,884,22166,13054,15,8215,882,22018,12916,15,8208,879
Himachal Pradesh,17954,15309,0,2643,2,17720,15078,0,2640,2,17592,14959,0,2631,2
Jammu and Kashmir,28363,22758,1,5504,100,24922,19384,1,5440,97,22688,17163,1,5427,97
Jharkhand,44110,35340,1059,1462,6249,43322,34761,939,1448,6174,42357,33944,888,1442,6083
Karnataka,74925,48716,6791,19407,11,72297,46215,6756,19315,11,71403,45345,6751,19296,11
Kerala,16015,4954,7035,3145,881,15903,4887,6997,3138,881,15863,4860,6989,3136,878
Ladakh,951,814,25,112,0,931,795,24,112,0,909,773,24,112,0
Lakshadweep,38,38,0,0,0,38,38,0,0,0,38,38,0,0,0
Madhya Pradesh,123264,90545,682,30253,1784,120722,88142,680,30139,1761,116525,84228,670,29897,1730
Maharashtra,107842,64751,23325,19123,643,104099,61135,23233,19090,641,99670,56978,23127,18924,641
Manipur,4580,2873,569,1004,134,4019,2495,400,994,130,3453,2040,297,988,128
Meghalaya,14515,7758,4126,2106,525,12598,7156,3497,1585,360,10668,5981,2989,1378,320
Mizoram,3906,2561,228,1033,84,3682,2404,213,985,80,3402,2150,203,973,76
Nagaland,2715,1960,0,754,1,2483,1743,0,739,1,2071,1348,0,722,1
Odisha,61450,48756,5449,5948,1297,58284,46388,4736,5891,1269,54591,43236,4342,5794,1219
Puducherry,703,395,30,278,0,703,395,30,278,0,703,395,30,278,0
Punjab,27233,18896,425,7898,14,26932,18604,424,7890,14,26819,18492,424,7889,14
Rajasthan,103090,65836,0,34673,2581,100403,63524,0,34543,2336,93591,58992,0,32494,2105
Sikkim,1253,859,18,376,0,1248,855,18,375,0,1240,847,18,375,0
Tamil Nadu,57703,37042,7901,12316,444,57629,37020,7862,12305,442,57628,37020,7861,12305,442
Telangana,41614,28735,631,12113,135,34643,22043,533,11942,125,29137,16605,508,11900,124
Tripura,4902,4238,43,361,260,4463,3879,43,357,184,3571,3037,41,342,151
Uttar Pradesh,254293,135736,7515,96504,14538,250071,132449,7322,95973,14327,245441,129222,7246,94868,14105
Uttarakhand,22481,16240,569,5184,488,21488,15292,555,5158,483,20087,13984,542,5096,465
West Bengal,91988,80729,68,9613,1578,91845,80676,68,9556,1545,91838,80676,68,9551,1543
