"India/State /UT",Number of Schools – Private Unaided Recognized,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
India,335844,85945,106292,16810,43887,10942,8468,38190,7053,7636,10621
Andaman and Nicobar Islands,72,33,19,0,7,0,0,13,0,0,0
Andhra Pradesh,15058,3726,4020,38,1574,3763,0,17,0,0,1920
Arunachal Pradesh,503,135,251,0,87,0,0,27,0,3,0
Assam,5852,938,1606,59,2332,54,146,320,29,40,328
Bihar,8097,623,5280,7,453,65,583,535,11,110,430
Chandigarh,76,6,11,0,14,0,0,44,1,0,0
Chhattisgarh,7063,1652,2961,88,748,12,28,1397,53,122,2
"Dadra and Nagar Haveli andDaman and Diu",63,17,14,0,14,0,0,18,0,0,0
Delhi,2610,923,782,5,230,5,0,656,7,2,0
Goa,139,97,8,0,15,5,0,9,0,0,5
Gujarat,13559,1282,6306,274,897,21,688,1978,59,1465,589
Haryana,8261,711,2440,6,1850,29,0,3156,65,2,2
Himachal Pradesh,2646,520,725,0,786,0,0,587,8,13,7
Jammu and Kashmir,5526,1798,1912,0,1385,0,2,410,4,13,2
Jharkhand,1559,15,191,4,384,310,94,323,8,2,228
Karnataka,19650,3226,6165,123,4876,80,1869,662,15,77,2557
Kerala,3164,478,590,17,1044,20,19,887,40,27,42
Ladakh,112,24,55,0,26,1,0,6,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,30345,2863,19068,46,3235,32,116,4568,111,296,10
Maharashtra,19268,4632,4596,101,3080,1813,724,2030,354,136,1802
Manipur,1010,47,285,7,482,4,11,100,6,4,64
Meghalaya,2120,1051,165,125,123,26,454,33,5,25,113
Mizoram,1034,188,412,66,11,1,225,0,0,0,131
Nagaland,757,124,170,0,320,1,0,127,2,0,13
Odisha,6104,1140,2990,105,527,146,116,144,5,0,931
Puducherry,281,39,26,0,99,0,0,114,1,0,2
Punjab,7978,650,2093,1,2375,8,2,2622,21,56,150
Rajasthan,34826,2995,16124,12,6916,66,9,8384,238,80,2
Sikkim,376,204,134,0,25,0,0,13,0,0,0
Tamil Nadu,12396,5458,628,8,1647,147,0,4207,282,5,14
Telangana,12193,527,4248,0,5904,226,0,55,1,0,1232
Tripura,363,141,90,0,89,1,0,42,0,0,0
Uttar Pradesh,97808,41025,18513,14933,1665,3967,3345,3636,5577,5119,28
Uttarakhand,5225,1619,2267,204,297,47,37,603,105,38,8
West Bengal,9750,7038,1147,581,370,92,0,467,45,1,9
