"India/State/ UT",Children With Special Needs (CWSN) enrolment,,,,,,,,
"",Secondary (9-10),Higher Secondary(11-12),Primary to Higher Secondary(1 to 12),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,161772,126459,288231,60695,49435,110130,1298828,941528,2240356
Andaman and Nicobar Islands,63,48,111,44,25,69,320,192,512
Andhra Pradesh,10052,7939,17991,1814,2908,4722,52733,39510,92243
Arunachal Pradesh,202,274,476,50,75,125,1349,1638,2987
Assam,2192,1998,4190,344,302,646,29973,24240,54213
Bihar,6557,4735,11292,1935,1260,3195,105902,71825,177727
Chandigarh,654,423,1077,153,151,304,2232,1486,3718
Chhattisgarh,3090,2978,6068,1623,1803,3426,42557,34539,77096
"Dadra and Nagar Haveli andDaman and Diu",140,101,241,60,53,113,703,470,1173
Delhi,3723,2784,6507,2426,1891,4317,14881,11385,26266
Goa,491,270,761,127,77,204,2325,1304,3629
Gujarat,5133,3269,8402,2771,1636,4407,44479,28887,73366
Haryana,2902,1975,4877,1091,821,1912,15382,10072,25454
Himachal Pradesh,607,579,1186,448,399,847,3679,3013,6692
Jammu and Kashmir,1245,994,2239,437,419,856,10489,7457,17946
Jharkhand,2659,3406,6065,655,1044,1699,28120,23147,51267
Karnataka,10483,8786,19269,1230,823,2053,56115,42068,98183
Kerala,19301,11763,31064,9130,5421,14551,82374,54510,136884
Ladakh,64,64,128,28,42,70,441,465,906
Lakshadweep,23,14,37,14,11,25,122,82,204
Madhya Pradesh,6035,4533,10568,3060,2087,5147,78090,60503,138593
Maharashtra,23683,18124,41807,7537,5884,13421,151680,105468,257148
Manipur,165,208,373,50,86,136,2400,2171,4571
Meghalaya,174,144,318,57,54,111,2317,1761,4078
Mizoram,332,561,893,75,123,198,1868,2036,3904
Nagaland,279,360,639,120,156,276,1884,1748,3632
Odisha,10816,9205,20021,1476,1199,2675,84034,62330,146364
Puducherry,280,258,538,132,148,280,1211,1047,2258
Punjab,6022,4915,10937,2993,3185,6178,36675,27526,64201
Rajasthan,6722,4596,11318,5155,3337,8492,47627,32913,80540
Sikkim,92,72,164,29,17,46,711,477,1188
Tamil Nadu,17895,12913,30808,6895,5450,12345,93078,62474,155552
Telangana,4270,3887,8157,947,639,1586,22111,17626,39737
Tripura,378,305,683,129,99,228,2278,1625,3903
Uttar Pradesh,2654,2257,4911,1782,1685,3467,191152,135441,326593
Uttarakhand,351,274,625,261,252,513,2771,2165,4936
West Bengal,12043,11447,23490,5617,5873,11490,84765,67927,152692
